AAPL,MSFT,UNH,JNJ,V,WMT,JPM,PG,CVX,HD,MRK,KO,CSCO,MCD,NKE,DIS,VZ,AMGN,HON,IBM,CRM,GS,CAT,INTC,AXP,BA,MMM,TRV,DD,WBA
145.430,252.750,497.000,164.920,230.900,144.670,139.590,143.190,171.360,328.090,106.980,61.330,48.570,266.270,129.500,109.390,41.690,246.410,206.720,135.090,171.820,365.710,249.540,29.070,173.610,214.750,115.860,185.230,74.140,37.180
150.820,264.600,470.830,165.540,229.560,143.620,138.940,142.170,169.010,339.790,103.460,60.280,49.320,263.210,129.060,113.210,41.830,246.530,207.380,136.390,174.640,369.470,244.900,30.190,173.130,209.340,120.290,181.750,74.540,37.710
154.500,258.350,472.020,164.610,230.130,141.710,141.090,142.610,169.450,331.500,102.940,59.830,48.630,264.230,127.610,110.710,41.510,245.170,202.690,136.940,171.040,369.950,247.760,30.320,178.860,206.010,117.490,182.760,72.980,37.090
151.730,256.770,475.240,163.360,229.440,140.680,141.920,141.400,169.640,329.270,104.030,60.170,47.570,267.920,125.730,109.870,41.280,243.850,204.040,136.180,169.050,370.800,251.420,28.690,176.480,206.810,116.500,185.990,72.360,36.280
154.650,267.560,476.880,163.400,231.320,140.980,143.650,140.020,174.090,325.200,105.680,60.070,47.840,267.340,125.330,111.630,40.550,244.000,205.470,135.840,171.280,374.400,249.660,29.050,178.700,214.760,116.900,189.010,77.790,36.740
151.920,266.730,483.220,163.610,230.200,140.220,142.640,138.570,170.000,320.790,106.640,59.720,46.960,262.820,122.910,111.780,40.520,240.200,202.220,135.980,169.630,375.100,248.870,28.240,179.000,213.500,115.250,187.390,76.900,36.560
150.870,263.620,485.730,161.400,229.350,141.520,140.420,137.050,168.440,315.550,106.720,59.620,46.730,260.660,122.180,110.360,39.810,240.000,199.220,133.750,173.660,367.990,246.280,27.730,179.370,211.990,112.930,185.360,75.760,35.810
151.010,263.100,494.250,162.150,227.200,143.720,141.040,138.260,171.970,316.540,108.570,59.620,47.260,262.420,122.230,108.060,40.010,242.500,200.470,135.600,167.030,371.280,247.670,27.800,179.250,212.890,113.880,186.750,75.810,36.550
153.850,271.320,495.350,162.750,228.880,145.910,142.570,140.070,171.010,323.530,109.550,60.600,47.860,266.200,125.150,107.660,40.320,243.660,203.370,137.350,171.080,374.020,248.150,28.550,181.330,215.650,115.280,187.600,76.370,37.110
153.200,272.170,492.830,162.040,229.390,145.490,143.200,139.280,172.320,318.430,108.740,59.590,47.700,266.610,126.200,107.660,40.330,241.030,201.000,136.010,169.960,371.780,244.360,28.640,181.020,218.450,114.210,184.130,76.460,36.750
155.330,269.320,491.250,159.370,228.920,146.570,143.800,138.960,169.010,320.690,107.680,59.590,48.450,266.560,127.480,109.240,40.380,240.065,201.710,136.400,171.100,374.340,248.700,28.850,180.670,217.440,114.790,185.220,76.340,36.520
153.710,262.150,487.350,158.240,225.830,144.270,141.820,137.140,166.570,321.240,106.510,59.220,50.990,265.830,124.380,105.830,39.840,234.220,199.360,135.000,168.110,370.200,246.520,28.200,177.940,212.210,112.000,183.060,75.470,36.320
152.550,258.060,499.080,160.390,223.560,146.440,142.240,140.010,162.850,317.950,109.520,60.120,50.770,269.990,124.840,105.220,40.220,240.530,201.420,135.020,165.170,368.500,247.790,27.610,177.300,211.660,112.990,185.750,75.080,36.760
152.550,258.060,499.080,160.390,223.560,146.440,142.240,140.010,162.850,317.950,109.520,60.120,50.770,269.990,124.840,105.220,40.220,240.530,201.420,135.020,165.170,368.500,247.790,27.610,177.300,211.660,112.990,185.750,75.080,36.760
148.480,252.670,491.310,158.000,220.620,147.330,139.630,139.910,161.000,295.500,109.070,59.800,49.690,268.550,121.100,102.090,39.200,238.240,196.760,131.710,161.620,361.120,240.710,26.060,173.480,205.520,109.250,185.250,72.960,36.160
148.910,251.510,488.890,157.780,220.020,144.240,138.560,140.500,160.350,296.300,109.160,59.980,49.310,268.640,119.900,101.680,39.280,236.160,195.490,130.970,163.360,360.890,237.890,25.470,174.700,205.760,108.940,186.120,72.910,36.080
149.400,254.770,491.690,157.730,221.130,142.090,139.670,140.050,161.930,299.310,110.590,60.090,49.210,266.780,119.960,101.730,38.530,237.620,195.020,130.790,164.120,363.540,237.950,25.610,175.140,208.130,108.910,185.470,72.840,36.210
146.710,249.220,484.330,155.970,219.550,142.470,140.930,139.260,162.410,296.660,109.890,59.840,48.480,263.680,118.040,100.300,38.740,233.660,192.040,130.570,162.200,363.850,236.170,25.140,174.250,198.150,107.800,185.330,72.920,35.800
147.920,250.160,483.320,155.630,220.350,141.440,142.160,139.140,162.820,296.010,109.360,59.820,48.730,264.780,118.530,100.450,38.880,234.450,192.450,130.490,163.140,365.530,239.980,24.900,173.300,200.460,108.270,185.330,73.030,35.390
147.410,249.420,475.940,153.260,219.940,142.130,143.350,137.560,160.770,296.540,106.240,59.510,48.420,263.910,118.790,99.610,38.810,231.660,191.480,129.300,163.610,351.650,239.550,24.930,173.990,201.550,107.740,185.120,73.030,35.530
