AAPL,MSFT,UNH,JNJ,V,WMT,JPM,PG,CVX,HD,MRK,KO,CSCO,MCD,NKE,DIS,VZ,AMGN,HON,IBM,CRM,GS,CAT,INTC,AXP,BA,MMM,TRV,DD,WBA
15.374,27.950,53.520,76.700,39.520,71.740,48.910,76.490,116.900,69.030,42.630,38.720,20.830,95.680,27.410,55.330,46.720,92.580,70.050,202.910,45.500,150.530,91.360,20.880,62.370,77.280,103.770,80.690,95.430,41.320
15.002,28.150,53.320,77.200,39.875,73.260,49.100,76.680,117.490,70.290,43.340,38.700,20.740,95.070,27.365,55.800,47.110,92.730,69.700,205.190,46.472,152.180,89.750,21.030,62.890,77.090,103.280,80.520,95.760,41.770
15.398,28.350,53.500,77.660,40.072,73.720,49.490,77.050,117.930,70.470,43.250,38.820,21.218,95.810,27.450,56.480,47.690,93.440,70.680,206.530,46.443,152.960,90.210,21.270,64.120,78.660,104.450,81.460,96.600,40.720
15.202,28.090,53.610,77.390,40.265,73.380,50.030,77.200,118.470,70.480,43.680,38.680,21.715,96.810,27.650,56.360,47.280,93.270,71.270,208.380,46.593,154.130,89.640,21.510,64.650,79.080,104.660,81.070,98.130,39.960
15.378,28.140,53.800,77.750,40.127,73.320,50.630,76.900,118.560,70.250,43.270,39.020,21.802,97.090,27.610,56.320,47.480,92.950,72.170,209.420,46.117,156.620,89.650,21.750,64.560,81.050,104.540,81.200,97.500,40.130
15.419,28.000,53.810,78.190,40.167,73.030,50.200,77.180,118.570,71.370,42.970,39.120,21.830,98.710,27.345,57.390,47.960,93.000,73.700,210.380,46.462,152.980,90.510,21.890,64.700,81.230,105.710,81.650,98.310,40.640
15.638,27.870,54.210,78.440,40.295,72.980,50.480,77.350,118.730,71.320,43.660,39.220,21.880,98.890,27.265,57.660,47.810,91.440,73.860,210.080,46.485,153.300,91.180,21.580,65.500,82.940,105.810,81.750,98.970,41.280
15.301,27.910,54.830,78.560,39.950,73.600,50.280,77.170,118.250,70.750,45.040,39.310,21.700,98.760,26.745,57.110,48.360,91.750,73.590,210.550,45.197,151.850,89.740,21.690,65.290,84.160,105.130,81.740,99.720,41.040
15.298,27.915,54.480,78.550,39.843,73.650,50.160,76.800,118.360,70.760,44.590,38.960,21.575,99.380,27.425,57.340,47.940,91.540,73.950,212.060,45.227,151.910,89.280,21.640,65.300,84.750,105.090,82.120,99.630,42.780
15.446,28.135,54.730,79.100,40.165,73.220,51.000,77.390,120.000,70.240,44.270,38.590,21.590,99.310,27.345,57.750,48.480,92.180,73.810,215.800,44.623,154.020,88.700,21.655,65.380,84.620,106.020,82.360,101.010,42.720
15.845,28.035,54.730,79.190,39.638,72.500,50.020,76.340,119.680,69.050,44.090,39.020,21.925,99.670,27.390,57.580,48.020,91.808,73.460,214.920,44.125,154.840,88.830,21.650,66.090,86.430,106.400,82.280,101.430,42.580
16.276,28.100,55.000,78.810,39.517,72.250,49.510,76.160,119.130,69.350,43.630,38.830,21.670,98.570,27.080,56.830,48.750,90.390,73.890,213.210,43.532,151.950,89.360,21.375,65.780,85.180,105.410,82.530,99.810,42.430
16.232,28.180,55.170,78.860,39.000,72.450,49.200,77.110,119.460,68.790,43.700,38.760,21.520,98.400,26.915,56.310,48.950,92.400,74.030,213.440,42.807,148.840,88.270,21.260,65.130,85.510,105.180,83.190,99.570,44.740
16.146,28.315,54.880,79.450,39.833,72.990,49.120,77.580,120.350,68.880,44.120,39.330,21.670,98.770,27.415,56.940,48.600,94.050,74.700,215.060,43.127,150.130,86.940,21.140,66.000,85.370,105.660,83.840,100.320,46.020
16.169,28.110,55.060,79.010,39.450,73.130,48.350,77.210,120.340,68.950,43.790,39.870,20.840,98.530,26.800,56.310,48.800,94.310,74.590,212.260,43.182,145.380,86.830,21.180,65.410,84.330,104.940,83.750,97.440,45.810
16.497,28.250,54.460,79.740,40.023,74.280,48.780,77.270,121.180,69.560,43.900,40.070,20.750,99.270,29.765,56.780,49.020,96.560,75.190,212.080,44.015,146.600,87.480,21.040,66.220,84.820,106.420,83.690,98.340,46.490
16.556,28.160,54.860,79.680,41.000,74.850,48.520,76.680,120.180,69.470,43.690,40.040,20.850,98.240,29.780,56.210,49.160,96.810,74.860,210.740,43.190,146.110,86.640,21.330,66.100,84.850,105.170,83.370,96.870,46.190
16.469,28.155,55.650,80.850,41.865,74.770,48.640,77.400,120.980,70.050,44.390,40.120,20.845,98.500,29.735,56.630,49.480,98.660,75.480,212.360,43.398,146.540,87.000,21.150,67.170,86.620,106.070,83.360,96.000,47.570
16.146,28.370,56.620,81.270,42.165,74.780,47.770,77.060,120.190,69.650,44.100,40.690,20.830,98.900,29.225,56.470,48.940,100.150,75.170,210.890,43.970,147.840,86.900,21.765,67.150,86.200,105.290,83.370,95.340,47.240
15.809,28.605,57.210,81.530,42.460,74.830,47.460,77.060,118.820,69.780,44.200,40.220,20.895,99.690,29.505,56.800,49.150,102.510,75.350,213.300,44.708,147.150,86.970,21.830,67.460,85.850,106.310,84.190,95.520,47.680
15.809,28.605,57.210,81.530,42.460,74.830,47.460,77.060,118.820,69.780,44.200,40.220,20.895,99.690,29.505,56.800,49.150,102.510,75.350,213.300,44.708,147.150,86.970,21.830,67.460,85.850,106.310,84.190,95.520,47.680
