AAPL,MSFT,UNH,JNJ,V,WMT,JPM,PG,CVX,HD,MRK,KO,CSCO,MCD,NKE,DIS,VZ,AMGN,HON,IBM,CRM,GS,CAT,INTC,AXP,BA,MMM,TRV,DD,WBA
63.955,143.720,252.210,131.200,180.930,117.620,127.800,123.870,116.210,237.340,84.940,54.430,47.030,193.940,89.180,132.750,60.370,217.950,176.120,135.530,159.740,217.390,144.490,56.510,119.140,345.190,170.090,130.720,69.640,57.380
64.375,144.550,251.250,130.230,178.950,117.570,128.820,119.070,121.570,234.920,83.900,53.900,47.480,188.660,89.860,132.920,59.870,214.410,180.000,137.670,157.600,219.870,146.920,57.610,119.620,351.090,174.900,130.200,71.300,59.650
64.282,144.460,250.300,130.420,176.370,118.860,129.100,118.900,121.940,232.200,82.920,53.140,47.760,192.180,89.880,131.450,59.500,215.080,180.680,137.890,158.150,218.640,146.370,57.550,118.770,358.290,175.270,131.270,72.380,61.210
64.310,144.060,250.520,130.960,176.770,119.500,129.300,120.320,119.900,234.010,83.250,52.420,48.270,194.180,89.480,131.270,60.130,216.400,180.810,138.780,158.930,218.420,145.490,57.600,119.690,354.190,174.000,132.350,70.330,59.490
64.858,144.260,256.460,131.430,178.430,120.230,130.000,119.620,121.890,232.940,82.880,52.800,48.420,193.080,90.400,132.960,60.530,217.990,179.660,137.690,159.500,223.290,147.010,58.050,121.280,357.310,174.520,133.010,71.610,58.670
65.035,145.960,256.970,133.000,178.970,119.440,130.380,119.700,120.930,232.840,83.590,52.290,48.830,193.610,89.810,137.960,59.350,221.110,181.210,137.610,161.110,222.910,148.160,58.270,121.470,351.000,173.150,133.290,71.130,59.240
65.550,146.110,254.090,131.980,179.540,119.040,129.920,119.330,120.810,231.800,83.280,52.210,48.100,192.640,90.050,136.740,59.610,220.700,180.830,135.470,161.780,219.030,148.000,58.350,120.900,366.960,170.110,133.540,72.180,62.250
65.490,147.070,255.250,131.350,179.740,119.120,129.160,119.270,120.960,233.120,84.120,51.840,48.370,193.280,89.500,138.580,59.320,221.310,182.010,135.590,162.860,220.410,146.340,58.200,120.890,362.880,170.840,133.350,72.600,62.720
66.118,147.310,253.570,131.270,179.410,120.980,128.480,120.650,122.280,234.800,84.820,51.710,48.460,195.000,91.290,148.720,59.410,219.670,181.950,134.480,162.600,219.320,144.490,57.890,120.260,362.500,170.550,134.130,69.950,62.250
65.660,148.060,255.830,130.960,179.750,120.650,128.600,120.500,121.960,236.550,84.550,52.410,44.910,194.000,91.270,147.150,59.340,218.500,179.650,134.000,163.050,219.430,143.440,57.810,120.930,367.440,170.930,133.950,70.000,61.940
66.440,149.970,269.400,134.940,179.770,118.870,129.530,120.540,120.640,237.290,84.900,52.630,45.090,193.970,93.040,144.670,59.510,220.860,181.750,134.400,163.210,220.250,145.310,57.960,120.760,371.680,171.880,133.570,67.640,62.140
66.775,150.340,272.930,134.830,179.660,120.250,130.620,121.890,118.550,238.850,84.130,52.670,45.150,194.280,94.180,147.650,59.440,220.670,179.800,134.310,162.770,219.730,143.590,58.250,119.660,369.460,170.540,134.290,66.850,61.940
66.573,150.390,274.230,134.820,182.770,119.890,130.580,121.420,116.450,225.860,84.650,53.030,45.470,193.440,93.610,148.380,59.500,224.500,180.120,134.520,163.960,220.040,143.180,58.350,120.000,367.000,170.680,135.460,66.010,61.450
65.797,149.620,275.560,135.940,181.660,119.130,129.630,122.290,117.340,220.900,85.270,53.080,45.080,194.130,93.050,146.930,59.480,225.510,177.220,133.200,164.200,217.910,141.520,57.900,119.300,370.910,167.770,135.430,65.050,61.340
65.502,149.480,276.550,136.440,179.890,119.860,129.930,120.340,118.770,218.540,85.460,53.220,44.840,192.350,92.160,146.900,59.610,227.820,176.530,133.840,162.880,218.230,143.360,58.220,118.800,366.440,165.140,134.690,65.690,60.620
65.445,149.590,276.840,138.070,179.470,119.360,130.790,120.290,118.630,218.030,85.450,52.960,44.850,193.140,93.340,148.290,59.750,230.740,176.790,134.340,162.810,220.280,143.880,57.610,119.060,371.340,167.600,135.130,65.830,60.600
66.593,151.230,282.670,137.180,180.970,118.920,131.490,120.510,118.380,218.400,85.700,53.030,45.450,191.890,92.900,149.690,59.380,234.540,176.510,135.970,161.710,222.750,146.420,58.810,120.600,373.130,170.240,135.030,65.200,60.670
66.073,152.030,281.400,137.170,182.550,119.190,131.670,122.260,117.790,220.760,87.340,53.220,45.310,194.010,93.330,151.640,59.890,234.390,178.520,135.090,162.540,222.450,146.090,58.900,119.790,373.510,169.230,136.680,65.070,59.630
66.960,152.320,280.670,137.750,184.370,118.760,132.060,121.760,118.070,223.000,87.610,53.900,45.240,196.300,94.140,151.480,60.100,234.540,179.420,133.770,161.510,222.950,145.690,58.510,120.330,368.000,170.610,136.840,65.610,60.110
66.960,152.320,280.670,137.750,184.370,118.760,132.060,121.760,118.070,223.000,87.610,53.900,45.240,196.300,94.140,151.480,60.100,234.540,179.420,133.770,161.510,222.950,145.690,58.510,120.330,368.000,170.610,136.840,65.610,60.110
66.812,151.380,279.870,137.490,184.510,119.090,131.760,122.060,117.130,220.510,87.180,53.950,45.310,194.480,93.490,151.580,60.240,234.720,178.550,134.450,162.890,221.350,144.730,58.050,120.120,366.180,169.770,136.720,64.810,59.600
