AAPL,MSFT,UNH,JNJ,V,WMT,JPM,PG,CVX,HD,MRK,KO,CSCO,MCD,NKE,DIS,VZ,AMGN,HON,IBM,CRM,GS,CAT,INTC,AXP,BA,MMM,TRV,DD,WBA
17.912,36.480,70.740,86.780,53.367,72.660,55.360,75.700,111.140,75.090,52.080,37.820,21.550,93.020,35.440,69.990,46.410,116.750,88.750,172.900,58.470,159.820,92.420,24.540,82.860,123.080,123.900,80.260,134.070,55.570
18.171,36.350,70.510,86.620,53.635,72.730,54.310,76.090,110.830,74.970,53.510,37.200,21.800,93.090,35.255,71.050,46.820,115.780,89.760,172.840,60.960,161.760,92.500,23.950,84.000,122.040,126.720,80.350,134.880,55.950
18.307,35.820,70.820,87.280,53.903,72.870,54.950,76.450,109.520,75.260,53.530,37.480,21.980,93.580,35.300,71.760,46.690,115.070,89.590,174.240,61.630,160.420,91.960,23.820,83.720,121.400,127.360,80.440,134.550,57.850
18.304,36.180,70.870,88.750,54.752,72.820,55.210,76.900,111.270,76.160,53.770,37.610,22.490,94.940,35.755,75.560,46.680,116.070,91.140,174.670,61.700,161.750,93.830,23.520,85.690,122.670,128.900,80.690,136.770,59.220
18.560,36.560,71.360,90.040,55.445,73.750,56.480,77.310,112.050,76.450,54.770,38.030,22.670,95.920,36.345,75.670,46.810,118.900,93.160,177.250,61.550,161.930,94.870,23.990,87.000,127.020,130.330,80.880,136.800,60.960
18.892,36.800,69.740,91.070,55.138,73.760,56.620,78.030,111.690,76.410,54.890,37.950,22.830,94.860,36.335,77.060,46.910,120.300,92.850,177.140,61.040,161.000,94.500,24.205,88.340,127.160,129.700,82.350,137.520,60.650
19.141,37.175,70.620,92.970,55.583,74.800,56.740,78.840,113.580,76.700,55.700,38.570,22.710,95.340,36.990,77.790,47.210,121.240,94.160,179.700,61.230,164.390,94.960,24.290,88.580,130.160,130.980,83.210,140.520,64.200
19.140,37.470,70.240,92.420,56.042,74.960,57.430,77.490,112.030,77.280,55.000,38.640,22.850,94.890,37.055,77.910,47.370,122.210,94.290,180.240,61.480,163.500,96.170,24.470,89.020,128.130,130.440,82.260,139.110,65.420
19.444,37.610,71.210,92.560,56.013,75.360,57.520,77.800,112.510,77.590,55.100,38.510,22.270,95.460,37.435,77.900,47.310,124.150,94.530,181.840,63.130,164.060,96.110,24.550,88.900,129.500,130.140,82.880,138.900,66.390
19.428,37.620,73.520,92.760,56.500,75.790,58.030,79.400,113.480,77.930,55.440,38.650,22.560,95.780,37.535,79.230,46.510,123.840,94.610,183.690,62.800,163.720,96.550,24.700,89.000,130.160,132.120,84.020,140.130,64.780
19.428,37.620,73.520,92.760,56.500,75.790,58.030,79.400,113.480,77.930,55.440,38.650,22.560,95.780,37.535,79.230,46.510,123.840,94.610,183.690,62.800,163.720,96.550,24.700,89.000,130.160,132.120,84.020,140.130,64.780
19.500,37.420,73.830,92.170,56.515,75.330,58.150,77.970,112.710,77.570,55.690,38.930,22.410,96.020,37.605,79.580,45.980,124.940,94.350,183.190,63.730,164.650,96.560,24.755,89.020,130.630,131.800,84.370,140.340,64.540
19.192,37.510,73.550,91.640,55.970,74.850,58.490,78.140,113.600,76.450,55.040,37.470,22.280,95.550,37.410,78.870,46.530,123.350,92.950,182.950,63.020,163.260,96.210,24.760,88.840,128.390,130.560,84.010,139.320,65.510
18.970,37.750,73.480,92.380,55.865,73.520,57.260,77.920,114.600,77.480,55.810,37.100,22.300,95.750,37.790,79.190,48.120,123.490,93.560,184.260,63.010,164.500,96.920,24.500,89.010,129.560,131.560,83.810,141.420,66.550
18.759,37.980,73.810,91.520,55.840,73.120,57.580,77.970,112.680,77.740,56.030,37.300,22.130,96.450,38.240,80.130,47.270,123.850,93.930,182.790,63.590,164.500,97.500,24.740,88.750,128.280,131.570,83.790,140.880,66.320
18.841,37.690,76.010,91.110,56.547,73.350,57.610,77.860,114.150,77.870,56.180,37.180,22.120,96.500,38.920,80.730,46.230,125.790,93.760,183.450,63.910,166.540,97.320,24.420,89.920,129.590,132.200,83.440,140.850,66.520
18.645,37.540,75.320,91.110,56.778,73.350,58.030,78.120,114.970,80.980,55.910,37.500,21.840,96.620,39.055,80.210,46.290,124.360,93.870,183.230,63.660,163.480,96.410,24.630,89.910,126.780,132.930,83.340,141.660,66.950
18.477,37.470,76.060,91.110,56.528,74.780,56.750,77.860,115.510,81.700,56.270,37.770,21.930,95.890,39.210,80.080,46.350,121.860,93.860,184.060,63.740,162.800,97.200,24.620,89.730,126.610,132.860,83.430,143.490,66.510
18.845,37.860,76.020,91.360,56.570,74.560,56.690,78.190,115.690,81.970,56.660,37.870,21.920,95.080,36.950,80.480,47.500,123.080,94.370,185.270,66.220,165.380,96.700,24.800,90.290,128.560,134.340,83.850,145.530,68.190
18.794,38.310,77.270,92.120,56.485,74.700,56.820,78.660,115.330,82.030,56.990,38.070,21.800,95.150,39.010,80.810,47.580,124.020,94.440,185.170,62.370,166.450,96.970,24.760,91.280,128.920,134.730,83.840,146.130,67.950
