7203.T,6758.T,9432.T,8306.T,9984.T,9433.T,9983.T,4568.T,8035.T,4063.T,6501.T,6367.T,8058.T,8316.T,8001.T,4502.T,4519.T,8031.T,6902.T,8766.T,7267.T,2914.T,3382.T,8411.T,6954.T,4503.T,6702.T,5108.T,7733.T,9022.T
2205.000,12530.000,3611.000,770.700,5578.000,4030.000,62270,2677.000,61680,18765,6098.000,22365,4569.000,3931.000,4135.000,3544.000,4066.000,3296.000,7783.000,2360.333,3464.000,2123.000,5790.000,1577.000,21620,1854.000,18410,4731.000,2320.500,15825
2211.000,12650.000,3656.000,768.400,5785.000,4089.000,61250,2767.500,60040,18735,6112.000,22500,4512.000,3939.000,4157.000,3593.000,4110.000,3253.000,7743.000,2359.000,3455.000,2136.000,5793.000,1580.500,21865,1926.000,18810,4732.000,2420.500,15740
2217.500,12715.000,3617.000,752.900,5936.000,4069.000,62510,2747.000,60570,18515,6144.000,22040,4409.000,3887.000,4105.000,3616.000,4101.000,3177.000,7698.000,2282.333,3436.000,2142.000,5770.000,1549.000,21915,1875.500,18805,4683.000,2433.000,15970
2190.000,12435.000,3625.000,754.100,5769.000,4071.000,62270,2753.000,58370,18185,6092.000,21265,4401.000,3865.000,4055.000,3598.000,4071.000,3146.000,7319.000,2238.333,3362.000,2122.500,5741.000,1545.000,21580,1898.000,18830,4571.000,2415.500,16005
2168.500,12045.000,3614.000,742.100,5654.000,4071.000,60180,2832.000,55190,17740,5838.000,20490,4324.000,3840.000,4014.000,3640.000,4131.000,3125.000,7226.000,2211.333,3217.000,2138.500,5807.000,1532.000,21340,2008.000,18495,4540.000,2380.000,15665
2095.500,12195.000,3760.000,740.900,5683.000,4146.000,60170,2911.500,55420,17675,5907.000,20840,4168.000,3864.000,3956.000,3695.000,4187.000,3108.000,7110.000,2196.667,3212.000,2141.000,5610.000,1527.000,21395,1996.000,18620,4479.000,2424.500,15865
2101.500,11715.000,3701.000,759.600,5530.000,4107.000,58530,2950.000,55070,17795,5849.000,20250,4256.000,3931.000,3972.000,3722.000,4188.000,3121.000,7083.000,2221.667,3234.000,2172.000,5600.000,1549.000,21280,2100.500,18485,4482.000,2431.500,15670
2069.500,11405.000,3755.000,757.300,5482.000,4156.000,56670,2892.000,53890,17260,5698.000,19620,4188.000,3906.000,3941.000,3706.000,4153.000,3091.000,6918.000,2223.667,3229.000,2156.500,5655.000,1567.000,20115,2024.500,18455,4436.000,2387.000,15585
2119.500,11500.000,3740.000,746.700,5592.000,4175.000,58300,2926.000,55690,17475,5818.000,20405,4292.000,3900.000,3987.000,3737.000,4256.000,3166.000,7125.000,2245.333,3261.000,2139.000,5645.000,1560.500,20620,2076.500,19070,4577.000,2456.000,15885
2131.500,11505.000,3773.000,749.400,5762.000,4205.000,59550,2972.000,56710,17645,5967.000,20490,4388.000,3896.000,4026.000,3760.000,4291.000,3250.000,7256.000,2253.333,3271.000,2157.000,5707.000,1558.500,20920,2090.000,19015,4641.000,2406.000,16195
