7203.T,6758.T,9432.T,8306.T,9984.T,9433.T,9983.T,4568.T,8035.T,4063.T,6501.T,6367.T,8058.T,8316.T,8001.T,4502.T,4519.T,8031.T,6902.T,8766.T,7267.T,2914.T,3382.T,8411.T,6954.T,4503.T,6702.T,5108.T,7733.T,9022.T
2212.000,11320.000,3801.000,749.000,5504.000,4220.000,80020,3423.000,46600,17445,6614.000,23720,4061.000,4162.000,3950.000,3808.000,3796.000,3024.000,7573.000,2610.333,3476.000,2331.000,5431.000,1593.500,23120,2062.500,17290,5341.000,2797.000,15930
2154.500,11230.000,3747.000,735.500,5450.000,4166.000,80600,3252.000,45670,17200,6471.000,23000,3995.000,4073.000,3822.000,3710.000,3611.000,2902.500,7330.000,2560.667,3449.000,2292.000,5327.000,1560.000,22620,2006.000,17030,5251.000,2706.500,15835
2156.000,11455.000,3747.000,722.200,5496.000,4150.000,81810,3247.000,46110,17180,6591.000,23910,4157.000,4051.000,3806.000,3711.000,3647.000,2967.500,7348.000,2599.667,3429.000,2296.000,5319.000,1563.000,22460,1980.500,17470,5268.000,2736.000,15765
2091.500,11480.000,3747.000,709.200,5640.000,4147.000,82510,3407.000,47540,17300,6599.000,23905,4126.000,4062.000,3767.000,3718.000,3697.000,2915.500,7476.000,2561.000,3405.000,2284.500,5294.000,1562.500,22655,1999.500,17405,5281.000,2768.500,15690
2123.000,11685.000,3784.000,707.400,5653.000,4213.000,83600,3464.000,48860,17260,6649.000,24010,4129.000,4063.000,3810.000,3734.000,3770.000,2943.500,7619.000,2566.667,3371.000,2293.000,5383.000,1555.500,22910,2020.000,17715,5316.000,2692.000,15740
2116.000,11725.000,3791.000,721.900,5695.000,4204.000,83860,3643.000,49700,17325,6653.000,23995,4175.000,4124.000,3821.000,3765.000,3780.000,2998.000,7615.000,2442.000,3397.000,2307.000,5437.000,1571.500,22945,2052.000,17755,5380.000,2682.500,15710
2076.000,11435.000,3720.000,709.200,5295.000,4132.000,85110,3601.000,45600,17190,6604.000,24125,4156.000,4061.000,3693.000,3748.000,3783.000,2974.000,7525.000,2478.000,3388.000,2289.000,5335.000,1564.000,22895,2043.500,17825,5351.000,2730.000,15875
2088.000,11210.000,3744.000,713.500,5315.000,4151.000,82780,3632.000,44410,17045,6618.000,24010,4158.000,4085.000,3689.000,3782.000,3784.000,2984.500,7508.000,2461.667,3426.000,2315.000,5351.000,1569.000,23095,2014.500,17150,5346.000,2752.000,15885
2088.000,11210.000,3744.000,713.500,5315.000,4151.000,82780,3632.000,44410,17045,6618.000,24010,4158.000,4085.000,3689.000,3782.000,3784.000,2984.500,7508.000,2461.667,3426.000,2315.000,5351.000,1569.000,23095,2014.500,17150,5346.000,2752.000,15885
2135.000,11455.000,3698.000,727.100,5610.000,4153.000,84390,3677.000,46420,17425,6910.000,24735,4274.000,4148.000,3815.000,3798.000,3861.000,3075.000,7745.000,2519.333,3557.000,2322.000,5450.000,1590.000,24455,2034.500,17155,5346.000,2898.000,16070
