RY.TO,TD.TO,CNR.TO,ENB.TO,CP.TO,BAM-A.TO,CNQ.TO,BMO.TO,BNS.TO,TRI.TO,ATD.TO,BCE.TO,NTR.TO,TRP.TO,SU.TO,CM.TO,CVE.TO,WCN.TO,MFC.TO,CSU.TO,IMO.TO,T.TO,ABX.TO,L.TO,FNV.TO,SLF.TO,IFC.TO,RCI-B.TO,NA.TO,AEM.TO
129.670,86.720,158.740,48.300,107.970,45.720,80.900,121.060,65.540,179.430,66.770,56.800,89.100,47.390,41.200,57.240,25.230,189.860,26.260,2761.710,71.060,23.550,22.640,116.140,189.750,69.480,194.100,58.070,103.190,67.260
128.490,85.900,155.840,48.290,106.830,44.580,79.080,119.160,64.720,182.560,66.030,56.170,89.870,48.080,40.250,56.810,24.800,188.750,25.730,2666.830,69.740,23.110,22.070,116.730,184.640,68.630,193.490,56.480,102.570,64.890
127.700,85.960,156.530,48.070,108.060,43.370,80.000,118.740,64.240,175.110,65.810,55.520,86.240,48.530,40.500,56.510,25.440,187.850,25.670,2664.500,69.960,23.090,21.800,115.450,185.200,68.330,190.690,55.990,100.940,64.570
128.250,86.400,156.450,48.080,108.200,44.200,81.510,119.440,64.370,176.070,65.990,56.280,87.630,48.190,41.080,56.960,25.500,190.150,25.990,2689.240,71.110,22.970,22.040,115.900,187.380,69.020,196.700,56.090,101.630,64.990
128.250,86.400,156.450,48.080,108.200,44.200,81.510,119.440,64.370,176.070,65.990,56.280,87.630,48.190,41.080,56.960,25.500,190.150,25.990,2689.240,71.110,22.970,22.040,115.900,187.380,69.020,196.700,56.090,101.630,64.990
127.480,85.420,157.020,48.290,108.300,44.470,81.770,118.240,63.810,174.870,67.230,56.070,88.930,48.540,41.730,56.390,25.830,188.090,26.060,2704.700,72.510,22.980,22.020,116.640,184.880,68.520,196.880,55.480,101.890,64.650
127.480,85.250,158.210,48.970,108.980,44.180,82.310,118.460,63.840,175.970,67.610,56.650,91.130,48.910,42.600,55.790,26.000,191.270,25.870,2725.410,72.780,23.550,22.110,117.360,187.450,68.270,197.230,56.210,102.400,65.000
127.700,85.850,156.540,48.970,108.870,46.420,82.640,118.210,64.200,176.650,68.910,56.890,89.930,48.780,42.410,56.000,26.070,188.010,26.230,2772.190,73.500,23.840,22.380,118.940,187.900,67.870,200.050,56.790,102.860,65.080
127.570,86.260,157.230,49.380,109.180,46.200,83.220,118.230,64.600,177.720,69.730,56.780,89.440,49.330,42.660,56.000,26.600,189.130,26.180,2762.140,74.620,23.780,22.730,118.010,192.020,67.850,200.230,56.700,103.580,65.990
126.870,85.850,156.430,47.910,108.230,46.210,83.170,117.740,64.200,179.120,69.520,56.270,85.950,49.110,42.400,55.630,26.510,190.340,25.970,2699.900,74.400,23.690,22.420,117.850,191.000,67.300,200.480,56.180,103.240,64.800
124.040,84.250,153.700,46.860,106.540,45.230,80.740,115.070,63.220,177.360,68.490,55.600,82.780,48.280,41.910,54.170,26.070,186.880,25.370,2669.940,73.040,23.130,21.610,115.920,185.660,65.990,196.290,54.690,101.350,63.290
123.420,84.210,153.750,46.840,106.210,45.050,80.860,114.410,63.150,176.010,68.600,55.480,82.970,48.370,43.100,54.220,26.120,188.180,25.280,2703.790,73.460,23.120,21.330,116.680,187.180,65.880,197.830,54.500,101.690,62.170
122.490,83.960,153.300,47.220,106.270,44.040,81.870,113.970,62.800,171.950,69.850,55.040,83.040,48.260,44.180,53.870,26.240,186.100,25.160,2648.270,75.100,22.990,21.210,116.470,183.700,65.270,196.370,53.990,100.630,62.900
121.470,83.930,153.950,47.250,106.430,44.830,83.400,113.260,62.420,171.440,69.500,55.140,83.270,48.440,44.840,53.760,26.190,186.890,24.450,2643.720,76.120,22.830,21.150,115.720,183.610,64.510,195.500,53.550,100.330,62.620
121.240,83.550,152.540,47.040,106.000,44.410,83.190,113.090,62.080,172.360,69.170,54.890,83.630,48.390,44.340,53.430,25.990,186.870,24.260,2682.160,75.750,23.000,21.270,115.500,185.220,64.030,194.090,53.430,99.450,63.090
119.710,82.560,151.980,46.500,106.030,43.480,83.110,111.320,61.620,171.070,68.600,54.770,81.840,47.840,44.140,53.210,25.950,185.970,23.840,2691.930,75.320,22.800,21.490,114.790,187.340,63.610,191.020,53.240,98.550,63.470
120.260,83.360,152.920,46.600,107.160,44.130,82.580,112.880,62.470,172.730,69.650,54.850,81.690,47.990,44.400,53.580,25.550,186.520,24.130,2758.410,74.950,22.940,21.800,115.330,190.020,64.350,194.150,53.380,100.010,64.810
122.620,80.670,151.700,46.420,106.070,43.990,81.550,112.590,62.400,171.380,70.850,56.190,82.620,47.660,44.210,53.920,25.100,185.250,24.330,2711.360,74.300,23.220,21.680,115.530,189.690,64.530,193.800,53.820,99.380,64.960
121.020,80.370,152.980,46.830,106.870,44.170,82.810,112.160,62.120,172.420,71.290,56.320,82.910,48.070,44.770,53.980,25.620,187.550,24.330,2723.350,75.030,23.350,21.640,116.550,188.330,64.590,194.680,53.410,98.160,64.370
122.020,82.030,152.670,47.180,107.140,44.780,84.860,114.070,62.820,172.200,70.040,57.260,84.890,48.510,45.200,54.510,25.800,187.310,24.450,2723.030,75.780,23.640,22.030,117.050,192.120,64.890,193.680,54.830,99.440,65.790
122.660,83.250,153.200,47.540,107.470,46.080,86.810,114.300,64.520,174.130,71.310,57.730,86.670,48.880,46.010,55.260,26.380,188.520,24.910,2752.530,76.620,23.980,22.180,119.420,195.300,65.160,194.440,55.490,100.470,66.520
122.980,83.430,154.320,47.730,108.460,46.150,86.980,115.690,64.480,174.650,71.260,57.660,86.430,49.100,46.320,55.320,26.730,187.290,24.960,2790.550,77.240,23.940,22.120,119.430,195.250,65.450,193.590,55.410,96.540,66.500
121.740,82.420,152.200,47.440,107.260,46.120,87.420,116.370,64.120,173.990,70.660,57.240,85.590,48.800,45.770,53.540,26.940,185.240,24.980,2775.460,76.730,23.730,21.900,117.330,194.660,65.910,190.500,54.970,94.170,65.610
