AZN.L,SHEL.L,ULVR.L,HSBA.L,RIO.L,DGE.L,BP.L,BATS.L,GLEN.L,GSK.L,REL.L,AAL.L,RKT.L,LSEG.L,NG.L,CPG.L,LLOY.L,PRU.L,EXPN.L,NWG.L,BA.L,VOD.L,BARC.L,CRH.L,AHT.L,FLTR.L,IMB.L,SSE.L,STAN.L,TSCO.L
7950.0322265625,1372.4921875,4233.99072265625,445.42437744140625,6291.21142578125,3403.443359375,314.1211853027344,2706.349853515625,330.80706787109375,1345.213134765625,1845.5704345703125,3240.9365234375,6396.89111328125,7478.2509765625,949.3836669921875,1639.1495361328125,49.680728912353516,1450.334716796875,2701.57470703125,224.1190948486328,527.8108520507812,128.16873168945312,185.29083251953125,3720.462890625,5243.0986328125,13135.0,1592.5262451171875,1561.081298828125,501.78564453125,224.5833740234375
7925.0537109375,1399.6505126953125,4243.97607421875,450.8138427734375,6291.21142578125,3415.9306640625,321.1072082519531,2721.800537109375,333.3555603027344,1347.224365234375,1848.5679931640625,3274.721923828125,6351.955078125,7494.24267578125,959.8758544921875,1620.1593017578125,49.90028762817383,1466.815673828125,2729.5595703125,225.08560180664062,530.4080200195312,127.62911987304688,186.1494903564453,3726.456298828125,5243.0986328125,13080.0,1611.9715576171875,1536.6270751953125,504.3824768066406,225.13246154785156
7941.0400390625,1399.051025390625,4261.951171875,448.41851806640625,6158.501953125,3396.950439453125,323.4524230957031,2736.75244140625,324.8605041503906,1350.843994140625,1849.0675048828125,3180.81787109375,6395.89208984375,7434.2734375,920.6054077148438,1591.6741943359375,49.45118713378906,1442.5787353515625,2656.5986328125,225.62255859375,531.406982421875,127.48921966552734,186.04966735839844,3731.449462890625,5201.12158203125,13060.0,1600.5035400390625,1535.1297607421875,503.7832336425781,225.33213806152344
8047.94580078125,1391.463134765625,4266.9443359375,443.0789794921875,6205.39892578125,3392.455322265625,318.811767578125,2725.2890625,329.55780029296875,1361.7042236328125,1845.5704345703125,3233.980712890625,6477.77587890625,7574.203125,913.6107177734375,1605.167236328125,48.8374137878418,1428.5213623046875,2660.596435546875,222.93785095214844,532.0062866210938,127.84896087646484,183.67337036132812,3685.50537109375,5197.12451171875,13310.0,1593.024658203125,1535.6290283203125,495.2936096191406,224.63327026367188
7997.990234375,1390.464599609375,4259.9541015625,444.6259765625,6127.5693359375,3411.934814453125,318.562255859375,2765.162353515625,323.5113220214844,1359.8941650390625,1839.574951171875,3147.627197265625,6430.84423828125,7534.22314453125,915.3094482421875,1615.661865234375,49.53102111816406,1429.9755859375,2656.5986328125,225.4077606201172,534.8031005859375,129.04811096191406,186.68865966796875,3743.43505859375,5225.1083984375,13190.0,1608.4813232421875,1554.0943603515625,498.88922119140625,225.23233032226562
7928.0517578125,1381.6781005859375,4270.93798828125,443.4283142089844,6178.4580078125,3411.934814453125,322.5543212890625,2776.127197265625,323.561279296875,1359.2908935546875,1863.056884765625,3177.576171875,6416.8623046875,7542.21923828125,914.0104370117188,1627.15576171875,48.802486419677734,1425.128173828125,2703.57373046875,223.58212280273438,534.8031005859375,128.48851013183594,184.87149047851562,3747.429931640625,5199.12353515625,13715.0,1610.475830078125,1558.5860595703125,502.58465576171875,225.88125610351562
8122.880859375,1400.0499267578125,4269.9404296875,437.2405090332031,6054.7294921875,3456.388427734375,324.10113525390625,2802.04443359375,318.4642333984375,1388.0491943359375,1884.5400390625,3097.213134765625,6445.8212890625,7492.24462890625,912.3116455078125,1645.1466064453125,48.13880920410156,1407.1929931640625,2701.57470703125,219.17919921875,533.6044311523438,128.1487579345703,180.21878051757812,3681.5107421875,5133.1591796875,13815.0,1615.960693359375,1543.1148681640625,496.69189453125,226.1807403564453
8274.7470703125,1407.6383056640625,4274.43359375,435.2943420410156,6019.80615234375,3453.39111328125,322.7040100097656,2807.527099609375,319.7135314941406,1404.339111328125,1884.5400390625,3094.21826171875,6480.77197265625,7564.20849609375,913.3109741210938,1593.673095703125,48.17873001098633,1428.0364990234375,2679.586181640625,218.32012939453125,534.403564453125,129.7076416015625,178.78099060058594,3683.50830078125,5065.197265625,13785.0,1620.447509765625,1543.614013671875,496.8916320800781,227.6283721923828
8332.697265625,1418.221923828125,4267.44384765625,436.0927429199219,6105.61767578125,3430.415283203125,323.6521301269531,2797.06005859375,328.9081726074219,1411.1767578125,1897.5301513671875,3141.637451171875,6478.7744140625,7720.1298828125,917.9074096679688,1622.658203125,48.29848861694336,1443.5482177734375,2712.568603515625,220.145751953125,535.20263671875,129.7476043701172,180.118896484375,3709.476806640625,5021.220703125,13900.0,1603.994140625,1556.58984375,493.1961669921875,231.2225341796875
8340.6904296875,1456.1636962890625,4288.9140625,438.58782958984375,6078.67724609375,3430.91455078125,329.7398986816406,2786.593505859375,327.4590148925781,1415.1990966796875,1908.0218505859375,3107.19580078125,6556.6630859375,7766.107421875,919.306396484375,1609.1651611328125,47.74460220336914,1439.67041015625,2703.57373046875,220.25315856933594,533.2049560546875,129.90750122070312,179.12046813964844,3656.541015625,5083.1865234375,13680.0,1602.9969482421875,1576.5523681640625,490.69921875,231.37228393554688
8335.6943359375,1482.3233642578125,4331.3525390625,435.2943420410156,6000.84765625,3474.868896484375,332.0352478027344,2836.433837890625,320.8128967285156,1424.8521728515625,1927.0072021484375,2993.889404296875,6594.60888671875,7836.07177734375,926.3011474609375,1623.157958984375,47.81945037841797,1455.6666259765625,2743.552490234375,221.2196044921875,536.8009033203125,131.9060821533203,178.94076538085938,3658.538818359375,5113.17041015625,13335.0,1610.475830078125,1570.5635986328125,488.9013977050781,230.6234893798828
8396.640625,1471.9393310546875,4340.8388671875,437.1905822753906,6006.83447265625,3482.860595703125,328.292724609375,2815.99951171875,316.86517333984375,1443.5550537109375,1942.4951171875,2958.449951171875,6614.58056640625,7910.03564453125,930.6978759765625,1622.1583251953125,47.59988784790039,1458.0904541015625,2768.539794921875,220.36056518554688,541.79541015625,130.0673828125,176.84400939941406,3648.551025390625,5075.19140625,13765.0,1596.0166015625,1567.0699462890625,484.70660400390625,229.77487182617188
8375.658203125,1461.7547607421875,4345.83203125,438.5379638671875,5869.13671875,3484.858642578125,323.402587890625,2837.430908203125,305.421875,1443.3541259765625,1945.992431640625,2857.622314453125,6605.59375,7979.99951171875,928.8991088867188,1618.160400390625,47.8543815612793,1441.6092529296875,2783.53173828125,220.68263244628906,543.3935546875,130.207275390625,178.5413818359375,3625.578857421875,5109.17236328125,13695.0,1595.517822265625,1549.103515625,484.8064880371094,230.77320861816406
