AZN.L,SHEL.L,ULVR.L,HSBA.L,RIO.L,DGE.L,BP.L,BATS.L,GLEN.L,GSK.L,REL.L,AAL.L,RKT.L,LSEG.L,NG.L,CPG.L,LLOY.L,PRU.L,EXPN.L,NWG.L,BA.L,VOD.L,BARC.L,CRH.L,AHT.L,FLTR.L,IMB.L,SSE.L,STAN.L,TSCO.L
5050.5234375,2254.55029296875,4367.47119140625,737.14404296875,3536.907958984375,2461.4443359375,477.929931640625,4691.2568359375,350.3360290527344,1525.1572265625,1665.16845703125,1352.89111328125,6804.73583984375,3876.259765625,935.8771362304688,1597.2384033203125,67.2870864868164,1495.2347412109375,1505.4119873046875,287.80224609375,628.7369384765625,210.2550048828125,192.25991821289062,2804.22216796875,1790.098388671875,7233.10498046875,3146.817626953125,1419.1396484375,726.7539672851562,235.41299438476562
5065.49267578125,2288.92919921875,4349.51806640625,744.817138671875,3574.243408203125,2473.9208984375,484.30230712890625,4678.32763671875,353.13232421875,1524.655517578125,1665.16845703125,1386.1304931640625,6803.73828125,3861.312744140625,929.6859130859375,1591.2452392578125,67.38677215576172,1479.1080322265625,1514.40234375,291.4521484375,618.2664184570312,210.3549041748047,193.20773315429688,2822.178466796875,1849.0357666015625,7326.53076171875,3138.864990234375,1406.193359375,742.2474975585938,239.70135498046875
5068.48583984375,2275.4765625,4346.525390625,746.41162109375,3595.64892578125,2497.876220703125,483.6552734375,4710.6494140625,358.9245910644531,1515.6278076171875,1665.16845703125,1418.87353515625,6765.828125,3860.31640625,928.4876098632812,1605.229736328125,67.38677215576172,1472.0782470703125,1524.3919677734375,291.2373962402344,618.2664184570312,208.8566436767578,191.91073608398438,2828.1640625,1838.04736328125,7405.20458984375,3113.022705078125,1361.37841796875,745.61572265625,232.0076446533203
5090.44140625,2300.88671875,4401.87744140625,752.6898803710938,3659.865478515625,2521.3330078125,488.28509521484375,4679.32080078125,369.8101806640625,1528.1661376953125,1677.1484375,1462.035400390625,6790.76904296875,3903.164306640625,935.1781005859375,1603.2320556640625,67.08773040771484,1484.4833984375,1523.3927001953125,294.3506164550781,613.2802734375,211.70330810546875,189.7157440185547,2803.223876953125,1838.04736328125,7537.966796875,3109.5439453125,1374.3248291015625,749.0801391601562,235.34999084472656
5143.3310546875,2289.427490234375,4370.46240234375,754.284423828125,3693.716064453125,2530.31640625,486.04486083984375,4755.4033203125,366.41473388671875,1533.1815185546875,1688.129638671875,1469.4769287109375,6819.69970703125,3940.033935546875,936.4762573242188,1619.21435546875,66.38993072509766,1504.331787109375,1542.372802734375,292.6329650878906,611.285888671875,211.5535125732422,189.76560974121094,2767.3115234375,1843.0423583984375,7557.63525390625,3115.507568359375,1365.3616943359375,743.7872924804688,237.62022399902344
5161.29345703125,2288.429931640625,4351.0146484375,752.9888916015625,3611.080810546875,2537.303466796875,484.202880859375,4793.1953125,361.6709899902344,1527.664794921875,1684.136474609375,1419.8660888671875,6921.4560546875,3911.135986328125,941.169677734375,1616.2176513671875,66.340087890625,1508.4669189453125,1536.37939453125,292.2035217285156,616.7706909179688,210.9541778564453,187.9198760986328,2740.3759765625,1845.0401611328125,7464.21044921875,3116.004638671875,1365.3616943359375,741.7662963867188,235.03466796875
5157.3017578125,2287.433837890625,4360.98828125,760.7620849609375,3594.15576171875,2550.7783203125,487.8371276855469,4861.81982421875,365.7156677246094,1520.1417236328125,1685.1348876953125,1428.300048828125,7073.0947265625,3908.146728515625,940.6702880859375,1609.225341796875,66.88833618164062,1510.120849609375,1548.36669921875,297.89300537109375,614.7760620117188,212.85198974609375,189.5661163330078,2739.37890625,1849.0357666015625,7410.12158203125,3150.79296875,1366.357666015625,738.3983154296875,236.2959442138672
5137.34326171875,2296.900146484375,4404.373046875,755.7793579101562,3553.335205078125,2553.7734375,486.5426940917969,4889.66796875,364.5172119140625,1521.6461181640625,1680.14306640625,1430.7801513671875,7021.21826171875,3907.150634765625,941.6689453125,1608.226318359375,66.29024505615234,1508.4669189453125,1549.365478515625,295.63873291015625,613.2802734375,214.74977111816406,189.96519470214844,2758.3330078125,1851.03369140625,7557.63525390625,3134.889892578125,1368.349609375,736.1848754882812,236.1067657470703
5143.3310546875,2292.416015625,4495.63232421875,744.4935913085938,3565.283203125,2564.25390625,489.33062744140625,4854.8583984375,367.4633483886719,1532.1783447265625,1695.1177978515625,1432.2685546875,7148.9130859375,3917.114990234375,938.1738891601562,1633.19873046875,66.09088134765625,1513.0155029296875,1562.351806640625,294.3506164550781,614.2775268554688,216.09820556640625,192.60911560058594,2744.366943359375,1863.0208740234375,7606.80712890625,3145.822021484375,1402.209716796875,729.9296875,234.08871459960938
5116.3857421875,2277.46923828125,4490.646484375,736.5205078125,3672.31103515625,2546.785888671875,488.68341064453125,4831.48681640625,376.1018981933594,1520.6435546875,1677.1484375,1458.0662841796875,7169.86181640625,3908.146728515625,930.4847412109375,1618.215576171875,65.69213104248047,1511.775146484375,1534.38134765625,295.424072265625,611.7844848632812,215.3990020751953,190.81326293945312,2745.3642578125,1859.0250244140625,7596.97314453125,3125.447021484375,1385.27978515625,717.99658203125,234.59324645996094
5144.330078125,2282.45166015625,4490.646484375,741.4039916992188,3701.681396484375,2536.804443359375,489.38037109375,4822.0390625,381.89422607421875,1523.6522216796875,1675.1517333984375,1465.5081787109375,7003.2607421875,3901.171875,914.90673828125,1601.2340087890625,65.38311004638672,1502.6778564453125,1542.372802734375,294.2431945800781,608.7930297851562,215.74859619140625,188.8177947998047,2721.421875,1857.02734375,7582.22119140625,3110.53759765625,1372.3331298828125,723.0009765625,234.78244018554688
5155.3046875,2280.956787109375,4493.63720703125,741.00537109375,3693.218017578125,2533.810302734375,488.4843444824219,4838.447265625,375.3528747558594,1520.6435546875,1679.1451416015625,1448.1439208984375,7018.224609375,3885.227783203125,923.6942749023438,1596.2396240234375,66.12077331542969,1505.9857177734375,1535.380126953125,293.49169921875,609.2916259765625,215.89840698242188,190.91302490234375,2717.431640625,1847.0380859375,7582.22119140625,3125.944580078125,1374.3248291015625,722.5196533203125,234.65626525878906
