AZN.L,SHEL.L,ULVR.L,HSBA.L,RIO.L,DGE.L,BP.L,BATS.L,GLEN.L,GSK.L,REL.L,AAL.L,RKT.L,LSEG.L,NG.L,CPG.L,LLOY.L,PRU.L,EXPN.L,NWG.L,BA.L,VOD.L,BARC.L,CRH.L,AHT.L,FLTR.L,IMB.L,SSE.L,STAN.L,TSCO.L
3921.97900390625,1660.36865234375,3155.169921875,430.1184387207031,1933.22509765625,1882.2191162109375,341.9563293457031,4059.402099609375,149.53762817382812,1417.5281982421875,1296.16357421875,534.0588989257812,6686.17626953125,2816.2548828125,1066.54248046875,1285.5640869140625,67.69261169433594,1057.2958984375,1249.2337646484375,234.55714416503906,499.7968444824219,219.73944091796875,149.62826538085938,1975.6209716796875,856.3135375976562,9553.1044921875,3810.57421875,1477.4176025390625,436.7548522949219,239.63816833496094
3960.375732421875,1669.825439453125,3168.129638671875,428.82421875,1965.561279296875,1888.20556640625,342.8514404296875,4073.816650390625,149.58755493164062,1430.5560302734375,1299.1571044921875,543.085693359375,6715.09423828125,2779.395751953125,1073.62158203125,1293.8717041015625,68.06121826171875,1066.8023681640625,1263.2139892578125,231.98081970214844,499.7968444824219,219.240478515625,149.87765502929688,1970.6343994140625,843.8308715820312,9597.35546875,3817.031982421875,1483.386962890625,435.0226745605469,240.7733154296875
3940.4296875,1636.47802734375,3179.095458984375,415.6816711425781,1917.802734375,1875.734130859375,335.64031982421875,4093.697998046875,141.6488494873047,1422.0380859375,1292.172119140625,521.4614868164062,6748.99853515625,2807.28857421875,1073.2947998046875,1293.8717041015625,66.68645477294922,1048.2025146484375,1248.2354736328125,226.07659912109375,490.82745361328125,215.69789123535156,146.23670959472656,1934.732421875,824.3579711914062,9503.9384765625,3816.534423828125,1478.4127197265625,416.4015808105469,236.67428588867188
4116.45849609375,1655.39208984375,3231.929931640625,418.0711364746094,1924.7677001953125,1901.17626953125,337.7290344238281,4100.16064453125,139.90130615234375,1464.6290283203125,1298.1585693359375,518.287109375,6788.88671875,2839.167236328125,1082.55224609375,1317.755126953125,67.8221435546875,1083.33544921875,1264.212646484375,224.35911560058594,492.1230163574219,219.29037475585938,149.1793975830078,1974.623779296875,833.3455200195312,9562.9384765625,3817.031982421875,1491.3458251953125,417.315673828125,241.467041015625
4156.34912109375,1658.8759765625,3230.93359375,414.3375244140625,1907.8531494140625,1905.666259765625,337.4803466796875,4124.0185546875,131.91268920898438,1477.656494140625,1296.16357421875,502.0194396972656,6784.8974609375,2799.319580078125,1087.126220703125,1316.7169189453125,64.5792236328125,1058.9490966796875,1253.228271484375,222.2120819091797,489.93048095703125,222.2841033935547,146.7354736328125,1984.59619140625,830.8489379882812,9390.85546875,3822.990478515625,1491.3458251953125,417.46014404296875,241.27789306640625
4135.40625,1725.0712890625,3228.44091796875,416.179443359375,1977.5013427734375,1907.661376953125,348.4711608886719,4165.27490234375,136.60598754882812,1474.6505126953125,1301.1529541015625,542.7881469726562,6758.97021484375,2817.251220703125,1089.631103515625,1312.5628662109375,65.65521240234375,1083.33544921875,1237.2506103515625,227.04278564453125,496.4084167480469,227.02413940429688,150.3265380859375,2017.507080078125,838.8377075195312,9425.271484375,3824.4814453125,1498.3101806640625,426.8428649902344,240.3319549560547
4054.124267578125,1724.0758056640625,3225.450927734375,416.42828369140625,2020.284912109375,1893.1943359375,349.96307373046875,4168.75146484375,141.29931640625,1468.637451171875,1291.1744384765625,580.3825073242188,6725.0654296875,2782.38427734375,1079.720703125,1312.5628662109375,65.276611328125,1085.402099609375,1231.2591552734375,230.048583984375,497.30535888671875,224.878662109375,153.1195831298828,2020.4989013671875,840.8351440429688,9263.0205078125,3797.164306640625,1497.315673828125,431.0771179199219,244.05267333984375
4046.146240234375,1750.952392578125,3229.43798828125,418.27032470703125,2076.003173828125,1899.6798095703125,355.03570556640625,4142.90625,148.33934020996094,1482.1663818359375,1299.1571044921875,633.5504760742188,6774.92626953125,2779.395751953125,1082.4432373046875,1311.524658203125,66.39246368408203,1111.8551025390625,1230.260498046875,232.73231506347656,499.7968444824219,226.02627563476562,155.26426696777344,2016.5093994140625,815.86962890625,9164.6875,3763.8857421875,1513.233642578125,452.9702453613281,247.58409118652344
4088.5322265625,1792.760498046875,3253.364013671875,446.1484069824219,2233.705322265625,1917.139892578125,363.49017333984375,4161.794921875,158.2751922607422,1492.1881103515625,1306.1419677734375,703.5812377929688,6825.78369140625,2797.3271484375,1087.4530029296875,1308.4095458984375,68.7436752319336,1160.628173828125,1237.2506103515625,246.47293090820312,502.28839111328125,226.3256072998047,166.3866729736328,2044.433349609375,847.8255004882812,9430.1884765625,3720.675048828125,1511.243896484375,501.18310546875,228.28688049316406
4129.921875,1809.184814453125,3274.298095703125,449.0357360839844,2231.218505859375,1924.623046875,356.6271057128906,4185.15576171875,157.7759246826172,1505.2158203125,1307.1396484375,684.6351928710938,6759.84716796875,2787.365478515625,1091.2647705078125,1326.0625,68.5444564819336,1168.4813232421875,1249.2337646484375,248.61985778808594,508.7662048339844,226.3256072998047,168.58114624023438,2044.433349609375,847.3261108398438,9499.021484375,3709.251220703125,1524.177734375,497.1413269042969,224.0617218017578
