country,dataset_name,cleaned_filename,data_type,stock_code,category
US,Q2M,2020_09-11,Train,MSFT,一般交易
US,Q2M,2020_09-11,Train,UNH,一般交易
US,Q2M,2020_09-11,Train,WMT,一般交易
US,Q2M,2020_09-11,Train,KO,一般交易
US,Q2M,2020_09-11,Train,NKE,一般交易
US,Q2M,2020_09-11,Train,VZ,一般交易
US,Q2M,2020_09-11,Train,HON,一般交易
US,Q2M,2020_09-11,Train,CAT,一般交易
US,Q2M,2020_09-11,Train,BA,一般交易
US,Q2M,2020_09-11,Train,AAPL,融券交易
US,Q2M,2020_09-11,Train,JNJ,融券交易
US,Q2M,2020_09-11,Train,V,融券交易
US,Q2M,2020_09-11,Train,PG,融券交易
US,Q2M,2020_09-11,Train,MRK,融券交易
US,Q2M,2020_09-11,Train,CSCO,融券交易
US,Q2M,2020_09-11,Train,DIS,融券交易
US,Q2M,2020_09-11,Train,AMGN,融券交易
US,Q2M,2020_09-11,Train,CRM,融券交易
US,Q2M,2020_09-11,Train,AXP,融券交易
US,Q2M,2020_09-11,Train,MMM,融券交易
US,Q2M,2020_09-11,Train,MSFT,融券交易
US,Q2M,2020_09-11,Train,UNH,融券交易
US,Q2M,2020_09-11,Train,WMT,融券交易
US,Q2M,2020_09-11,Train,KO,融券交易
US,Q2M,2020_09-11,Train,NKE,融券交易
US,Q2M,2020_09-11,Train,VZ,融券交易
US,Q2M,2020_09-11,Train,HON,融券交易
US,Q2M,2020_09-11,Train,CAT,融券交易
US,Q2M,2020_09-11,Train,BA,融券交易
US,Q2M,2020_09-11,Train,AAPL,融券交易
US,Q2M,2020_09-11,Train,JNJ,融券交易
US,Q2M,2020_09-11,Train,V,融券交易
US,Q2M,2020_09-11,Train,PG,融券交易
US,Q2M,2020_09-11,Train,MRK,融券交易
US,Q2M,2020_09-11,Train,CSCO,融券交易
US,Q2M,2020_09-11,Train,DIS,融券交易
US,Q2M,2020_09-11,Train,AMGN,融券交易
US,Q2M,2020_09-11,Train,CRM,融券交易
US,Q2M,2020_09-11,Train,AXP,融券交易
US,Q2M,2020_09-11,Train,MMM,融券交易
