AAPL,MSFT,AMZN,GOOG,BRK.B,FB,BABA,TCEHY,JPM,JNJ,V,XOM,WMT,BAC,PG,INTC,CSCO,MA,VZ,UNH,BRK.A,GOOGL,
124.25,40.72,370.26,541.07,143.45,81.67,82.36,19.07,59.95,99.15,65.18,84.46,80.71,15.41,82.32,30.81,27.25,86.74,48.92,117.45,216300,549.49,
125.32,40.29,372.25,534.06,143.56,81.56,82.28,19.39,60.52,99.64,65.29,84.3,80.73,15.54,82.43,30.81,27.13,87.03,49.47,117.36,216500,541.31,
127.35,41.55,377.04,535.3,143.76,82.44,81.82,19.58,60.47,99.16,65.2,85.13,80.99,15.51,83.04,31.04,27.22,87.34,49.63,117.7,216275,543.95,
126.01,41.53,374.41,535.55,143.06,82.32,82.21,19.57,60.85,100.1,65.8,85.75,80.5,15.46,82.39,31.26,27.39,87.92,49.27,117.35,215500,544.86,
125.6,41.42,381.2,540.13,143.28,82.28,85.39,20.29,61.05,100.16,66.5,84.06,81.03,15.61,82.77,31.31,27.55,89.32,49.13,118.19,214828,548.84,
126.56,41.48,383.54,539.3,143.65,82.17,86.14,21.17,61.47,101.33,66.44,84.65,80.84,15.71,82.89,31.24,27.63,89.06,49.01,118.55,215522.77,548.02,
127.1,41.72,382.65,538.53,143.5,82.04,84.58,21.05,61.7,102.06,66.34,85.56,80.65,15.72,83.35,31.93,28.04,88.57,49.22,119,215211,548.54,
126.85,41.76,382.36,537.69,143.46,83.01,84.28,21.62,62.07,100.55,65.61,85.34,80.29,15.8,83.43,31.73,27.98,88.25,49.04,119.37,215950,548.64,
126.3,41.65,385.11,528.94,142.75,83.52,85,20.77,63.04,100.52,65.53,86.63,80.15,15.82,83.6,31.49,27.81,89.12,49.18,119.92,214420,539.78,
126.78,42.26,383.45,531.07,142.71,82.71,84.67,20.25,64.21,100.6,65.68,88.08,79.74,15.64,83.51,32.83,28.25,89.25,49.39,117.32,214675.1,541.04,
126.17,42.16,386.04,532.34,142.1,82.31,84.06,20.65,63.81,99.79,65.65,87.73,79.24,15.79,83.5,32.87,28.6,88.72,49.27,121.6,214350,543.52,
124.75,41.62,375.56,522.62,140.7,80.78,81.9,19.85,62.84,99.58,64.52,86.93,77.88,15.56,82.53,32.47,27.92,86.93,48.9,118.71,212982,532.74,
127.6,42.91,389.51,533.91,142.09,83.09,82.2,19.85,63.24,100.21,64.72,87.24,78.14,15.57,82.87,32.73,28.48,87.33,49.38,118.58,214100,544.53,
126.91,42.64,391.18,532.51,141.14,83.62,82.42,20.61,62.31,100.3,65.35,86.88,78.03,15.5,83.08,32.43,28.69,87.77,49.17,119.28,213440,542.92,
128.62,42.99,389.8,537.89,141.99,84.63,82.05,21.03,62.94,100.43,68.01,87.46,78.43,15.74,83.09,32.7,28.62,91.2,49.57,117.81,214789,549.18,
129.67,43.34,389.99,545.5,142.43,82.41,82.28,20.97,62.8,100.46,67.72,87.54,79.18,15.69,80.95,32.35,28.68,90.88,50.05,118.26,214740,557.46,
130.28,47.87,445.1,563.51,142.09,81.53,84.57,21.08,62.6,101.08,67.48,86.97,79.84,15.64,81,32.08,28.82,90.72,50.03,118.69,214490,573.66,
132.65,48.03,438.56,555.37,141.09,81.91,84.9,20.96,62.34,100.58,67.1,87.01,79.37,15.56,80.6,32.5,28.89,89.75,50.08,116.24,212585,566.12,
130.56,49.16,429.31,553.68,142.52,80.68,85.08,21.15,62.76,100.74,66.77,87.8,79.1,15.65,80.42,33.02,29.32,90.23,50.55,117.59,215150,564.37,
128.64,49.06,429.37,549.08,142.41,80.47,82.45,21.14,63.6,100.39,67.34,87.87,77.88,15.98,79.85,32.89,29.05,90.25,50.47,113.61,214400,561.39,
125.15,48.64,421.78,537.34,141.21,78.77,81.29,20.62,63.26,99.2,66.05,87.37,78.05,15.93,79.51,32.55,28.83,90.21,50.44,111.4,213400,548.77,
