AAPL,MSFT,AMZN,GOOG,BRK.B,FB,TCEHY,JPM,JNJ,V,XOM,WMT,BAC,PG,INTC,CSCO,MA,VZ,UNH,BRK.A,GOOGL,
61.5,27.95,265.74,403.09,102.05,27.78,6.93,48.91,76.7,39.52,89.43,71.74,11.34,76.49,21.03,20.83,51.83,46.72,53.52,152750,403.1,
60.01,28.15,273.11,410.75,101.95,27.72,7.06,49.1,77.2,39.88,88.95,73.26,11.41,76.68,21.27,20.74,52.14,47.11,53.32,152955,410.75,
61.59,28.35,275.59,419.3,102.66,27.52,7.16,49.49,77.66,40.07,89.61,73.72,11.55,77.05,21.51,21.22,52.71,47.69,53.5,154425,419.3,
60.81,28.09,273.79,415.69,103.24,27.45,7.18,50.03,77.39,40.27,89.56,73.38,11.92,77.2,21.75,21.72,52.76,47.28,53.61,155095,415.69,
61.51,28.14,273.88,416.29,103.41,28.58,7.23,50.63,77.75,40.13,88.71,73.32,12.26,76.9,21.89,21.8,52.67,47.48,53.8,155210,416.3,
61.67,28,274.19,415.76,103.63,27.96,7.37,50.2,78.19,40.17,88.97,73.03,12.07,77.18,21.58,21.83,52.92,47.96,53.81,155411.27,415.76,
62.55,27.87,271.24,417.41,104.07,28.14,7.24,50.48,78.44,40.3,89.16,72.98,12.15,77.35,21.69,21.88,53.09,47.81,54.21,155978,417.41,
61.2,27.91,274.13,413.8,103.01,27.83,7.2,50.28,78.56,39.95,89.16,73.6,12.01,77.17,21.64,21.7,52.32,48.36,54.83,154346,413.81,
61.19,27.92,275.1,412.65,103.65,27.08,7.18,50.16,78.55,39.84,89.26,73.65,12.06,76.8,21.66,21.58,52.75,47.94,54.48,155431,412.66,
61.79,28.14,265.74,410.76,103.99,27.04,7.12,51,79.1,40.17,89.83,73.22,12.11,77.39,21.65,21.59,52.72,48.48,54.73,155990,410.77,
63.38,28.04,261.82,407.15,102.79,26.65,7.05,50.02,79.19,39.64,89.37,72.5,12.57,76.34,21.38,21.93,51.94,48.02,54.73,153500,407.15,
65.1,28.1,257.89,403.89,102.12,26.49,6.81,49.51,78.81,39.52,88.77,72.25,12.56,76.16,21.26,21.67,51.5,48.75,55,153241,403.89,
64.93,28.18,256.41,405.66,101.77,26.55,6.62,49.2,78.86,39,88.58,72.45,12.71,77.11,21.14,21.52,51.16,48.95,55.17,152571,405.66,
64.58,28.32,257.28,407.35,102.34,25.86,6.76,49.12,79.45,39.83,88.63,72.99,12.78,77.58,21.18,21.67,51.86,48.6,54.88,153397,407.35,
64.68,28.11,253.39,405.63,101.96,25.74,6.58,48.35,79.01,39.45,88.17,73.13,12.57,77.21,21.04,20.84,51.4,48.8,55.06,153000,405.63,
65.99,28.25,257.75,405.15,102.57,25.73,6.34,48.78,79.74,40.02,89.29,74.28,12.56,77.27,21.33,20.75,51.75,49.02,54.46,153741,405.16,
66.23,28.16,256.02,404.82,102.4,25.13,6.1,48.52,79.68,41,89.02,74.85,12.4,76.68,21.15,20.85,52,49.16,54.86,153784,404.82,
65.88,28.16,260.31,406.2,103.82,25.21,6.4,48.64,80.85,41.87,90.13,74.77,12.28,77.4,21.77,20.85,53.55,49.48,55.65,155707.64,406.21,
64.58,28.37,265.3,401.32,103.16,26.09,6.43,47.77,81.27,42.17,90.58,74.78,12.23,77.06,21.83,20.83,53.8,48.94,56.62,154630,401.33,
63.24,28.61,266.49,397.09,104.2,25.58,6.39,47.46,81.53,42.46,90.11,74.83,12.18,77.06,21.84,20.9,54.11,49.15,57.21,156280,397.09,
