AAPL,MSFT,UNH,JNJ,V,WMT,JPM,PG,CVX,HD,MRK,KO,CSCO,MCD,NKE,DIS,VZ,AMGN,HON,IBM,CRM,GS,CAT,INTC,AXP,BA,MMM,TRV,DD,WBA
19.006,26.710,54.240,70.100,37.895,68.230,43.969,67.890,108.140,61.850,40.940,35.970,19.649,88.210,25.800,49.790,43.270,86.200,63.470,191.550,42.025,127.560,89.609,20.230,57.480,75.360,92.850,71.820,96.988,37.010
19.608,27.620,54.540,70.840,38.845,69.240,44.660,69.390,110.390,63.480,41.340,36.250,20.340,90.120,25.920,51.100,44.270,89.150,64.750,196.350,42.792,131.660,93.500,20.620,58.750,77.070,94.780,72.860,99.150,38.060
19.361,27.250,51.990,70.740,38.875,68.800,44.570,68.950,109.920,63.300,42.330,37.600,20.450,90.630,26.185,51.210,44.060,88.590,65.000,195.270,42.178,130.940,94.400,21.380,59.000,77.470,94.670,73.420,99.450,37.790
18.821,26.740,52.090,71.550,39.193,69.060,45.360,69.090,110.500,63.180,41.970,37.600,20.482,89.849,26.440,52.190,44.300,88.980,66.330,193.990,42.403,134.510,94.920,21.320,59.610,77.690,95.370,74.060,100.890,37.180
18.711,26.690,52.090,71.400,39.472,68.400,45.410,68.620,109.750,62.841,42.120,37.660,20.290,90.910,26.480,50.970,44.690,88.530,66.360,193.140,42.245,134.260,95.210,21.160,59.860,76.130,95.490,73.060,100.770,38.030
18.761,26.550,51.400,71.410,39.840,68.590,45.500,68.510,109.260,63.220,42.180,37.300,20.310,90.940,26.200,50.760,43.100,88.150,65.740,192.870,42.492,133.050,94.000,21.250,60.200,74.130,95.500,73.190,99.300,38.170
18.468,26.700,52.370,71.730,40.447,68.570,45.470,68.880,109.540,63.170,42.590,37.040,20.300,90.810,26.225,50.780,43.000,88.670,66.540,192.320,42.958,134.320,94.440,21.090,60.260,76.760,96.410,73.940,100.500,38.450
18.697,26.460,53.110,72.190,40.127,68.360,46.150,69.270,110.470,63.620,42.780,37.030,20.440,91.400,26.275,50.790,43.590,87.810,66.420,192.880,43.280,137.370,95.080,21.450,60.790,77.090,96.890,74.450,101.520,38.570
18.582,26.830,52.820,72.350,40.290,68.630,46.140,69.220,111.730,63.700,43.230,36.960,20.480,91.730,26.550,50.580,43.300,86.960,66.310,194.450,43.337,137.130,95.190,21.800,61.240,75.160,96.280,74.850,101.580,39.100
17.920,26.890,53.360,72.560,40.163,68.300,45.880,69.630,112.850,63.480,43.340,36.910,20.970,91.530,26.595,50.590,42.590,86.920,66.760,192.620,43.502,136.130,94.630,22.000,61.210,76.550,97.080,74.950,102.840,39.040
