AAPL,MSFT,AMZN,GOOG,BRK.B,FB,TCEHY,JPM,JNJ,V,XOM,WMT,BAC,PG,INTC,CSCO,MA,VZ,UNH,BRK.A,GOOGL,
64.8,27.93,265,387.8,98,29.73,6.97,47.85,74.18,39.64,90.04,70.49,11.71,75.92,21.36,20.83,51.87,44.56,55.77,147086.19,387.8,
63.19,27.44,259.98,379.51,96.51,28.11,6.84,47.68,74.11,39.16,89.15,69.63,11.48,75.25,21.16,20.82,51.42,44.52,55.75,145010,379.51,
65.41,27.5,266.89,382.87,97.91,28.64,6.84,48.79,74.66,39.88,89.74,70.77,11.88,75.7,21.18,21.08,52.07,44.56,57.77,146825,382.87,
65.34,27.34,262.22,385.08,97.83,29.05,6.88,48.61,75.39,40.21,89.79,71.31,11.93,76.15,20.99,21.19,52.36,44.75,57.38,146735,385.08,
66.89,27.28,260.23,386.97,97.11,28.65,6.99,48.23,75.06,39.27,88.25,71.23,11.84,76.15,20.81,21.1,51.96,44.46,57.05,146260,386.98,
67.85,27.55,261.95,392.68,97.25,28.55,7,48.63,75.48,39.45,88.61,71.48,11.76,75.75,21,21.16,52.45,44.35,57.74,146374,392.69,
68.56,27.86,257.21,391.2,97.13,28.26,6.99,48.66,75.41,39.08,88.28,71.4,11.86,75.81,21.03,21.27,52.08,44.32,57.12,145835,391.21,
66.84,27.88,258.7,390.35,97.7,27.37,6.99,49.14,75.8,39.2,88.46,71.4,12.25,75.98,21.19,20.97,51.96,44.44,57.01,147125,390.35,
66.72,28.03,269.47,391.43,97.97,27.91,7.05,48.68,75.66,38.69,88.67,71.39,12.17,76.56,21.25,21.14,51.92,44.52,57.23,147750,391.43,
66.66,28.04,269.24,393.91,99.21,28.5,7.05,49.22,75.81,38.99,88.52,70.82,12.13,76.78,21.23,20.99,52.22,44.33,57.05,149240,393.91,
65.74,28.01,265.09,396.44,99.77,28.32,7.11,48.88,76.16,39.5,88.36,69.3,12.03,76.54,21.12,20.99,52.31,44.4,57.32,150141,396.45,
65.71,28.05,269.75,403.42,101.02,28.93,7.09,49.45,76.96,39.4,89.32,68.76,12.19,77.38,21.09,21.46,52.29,44.5,56.66,152498,403.42,
64.12,27.87,266.41,396.23,100.22,28.46,7.04,48.61,76.65,38.85,88.97,69.21,11.8,77.08,20.73,21.11,51.29,44.92,55.21,151000,396.23,
63.72,27.49,265.94,397.76,100.17,27.28,6.99,48.25,76.87,39.36,88.59,70.26,11.42,77.04,20.25,20.76,51.96,45.12,55.24,150500,397.77,
64.4,27.76,265.42,399.85,101.21,27.13,6.92,48.91,76.25,39.86,89.2,70.4,11.44,76.99,20.42,20.9,52.38,45.4,54.47,152009,399.86,
63.26,27.37,259.87,395.38,98.58,27.27,6.8,47.7,75.57,38.97,87.7,70.44,11.03,75.92,20.23,20.66,51.09,45.72,53.3,149900,395.39,
64.14,27.37,259.36,395.06,98.72,27.39,6.88,47.6,75.75,39.46,88.51,71.11,11.13,76.08,20.58,20.61,50.97,46.12,53.05,148320,395.07,
63.51,27.81,263.25,399.89,101.21,26.87,6.89,49.28,76.32,39.97,89.53,71.66,11.3,76.75,20.93,20.89,51.52,46.35,53.87,151916,399.89,
63.06,27.8,264.27,400.6,102.16,27.25,6.93,48.92,76.11,39.66,89.55,70.78,11.23,76.18,20.88,20.86,51.78,46.53,53.45,152600,400.6,
