AAPL,MSFT,AMZN,GOOG,BRK.B,FB,BABA,TCEHY,JPM,JNJ,V,XOM,WMT,BAC,PG,INTC,CSCO,MA,VZ,UNH,BRK.A,GOOGL,
139.79,64.94,853.08,835.24,177.28,137.42,104.04,26.93,93.6,123.86,88.99,83.02,70.45,25.5,91.66,35.93,34.44,112.31,49.81,167.94,266013,856.75,
138.96,64.01,848.91,830.63,175.89,136.76,103.19,26.47,92.14,123.63,88.53,83.3,70.76,25.23,90.91,35.91,34.39,111.33,49.98,167.31,263600,849.85,
139.78,64.25,849.88,829.08,175.68,137.17,103.31,26.76,92.8,123.79,88.79,82.46,70.03,25.44,90.5,35.9,34.29,111.74,50.09,168.2,263160,849.08,
139.34,64.27,846.61,827.78,175.4,137.42,102.31,26.99,91.92,123.71,88.94,82.83,69.88,25.25,90.37,35.57,34.19,111.36,50.03,168.7,262800.01,847.27,
139.52,64.4,846.02,831.91,175.3,137.3,102.63,27.28,91.41,123.83,89.06,82.52,69.87,25.21,90.29,35.8,34.2,110.96,49.44,168.3,262860,851.15,
139,64.99,850.5,835.37,174.97,137.72,103.22,27.2,91.21,124.1,88.96,81.03,69.8,25.26,90.14,35.62,34.02,110.98,49.16,167.91,262350,853.64,
138.68,64.73,853,838.68,175.37,138.24,103.24,26.83,91.57,125.95,89.11,81.67,69.86,25.35,90.34,35.82,34.07,110.79,49.28,168.01,262866,857.84,
139.14,64.93,852.46,843.25,174.98,138.79,103.39,27.38,91.28,126.21,89.73,81.61,70.1,25.31,91.07,35.91,34.26,111.21,49.35,169.98,262491,861.41,
139.2,64.71,854.59,845.54,175.39,139.6,105.18,27.74,91.36,126.68,90.11,81.42,69.95,25.3,91.31,35.16,34.1,111.53,49.47,170.21,262990,864.58,
138.99,64.41,852.53,845.62,174.73,139.32,104.25,27.51,91.51,127.05,89.55,80.99,70.72,25.32,91,35.18,34.12,110.49,49.36,169.06,261900,865.91,
140.46,64.75,852.97,847.2,174.67,139.72,103.69,27.85,91.73,128.96,89.92,82,70.58,25.18,91.4,35.1,34.24,112.02,50.14,171.78,261787,868.39,
140.69,64.64,853.42,848.78,174.08,139.99,105.63,28.52,91.64,128.46,90.04,82.07,70.44,25.22,91.44,35.14,34.23,112.67,50.04,171.3,260919,870,
139.99,64.87,852.31,852.12,172.82,139.84,105.61,28.57,90.68,128.06,90.24,82,69.89,24.86,91,35.27,34.23,112.83,50.39,169.7,258952,872.37,
141.46,64.93,856.97,848.4,172.07,139.94,107.25,29.56,90.03,128.07,89.18,82,69.98,24.44,91.22,35.43,34.28,112.41,50.24,168,258000,867.91,
139.84,64.21,843.2,830.46,169.47,138.51,105.09,29.12,87.39,127.25,88.06,81.83,69.9,23.02,91.19,35.04,33.88,110.71,50.16,167.7,253651,850.14,
141.42,65.03,848.06,829.59,169.3,139.59,106.09,28.89,87.53,126.26,88.52,81.76,70.25,22.94,90.99,35.37,34.1,111.45,49.71,167.03,253880,849.8,
140.92,64.87,847.38,817.58,169.89,139.53,108.25,28.87,87.39,125.9,88.86,81.86,69.86,23.07,90.77,35.27,33.96,111.6,49.64,165.29,254702.01,839.65,
140.64,64.98,845.61,814.43,168.66,140.34,108.04,29.02,87.29,125.48,89.19,81.23,69.61,23.12,90.57,35.16,34.08,111.98,49.68,165,252301,835.14,
140.88,65.1,846.82,819.51,167.44,140.32,108.08,29.07,87.24,125.8,88.95,81.25,69.66,23.03,90.49,35.39,33.99,111.94,49.14,164.6,250881,838.51,
143.8,65.29,856,820.92,168.31,141.76,107.8,29.49,88.6,125.66,89.12,81.84,70.32,23.48,90.76,35.6,34.02,112.47,49.3,165.35,252520,840.63,
144.12,65.47,874.32,831.41,166.59,142.65,109.51,29.42,88.27,124.92,89.18,82.02,70.74,23.35,90.6,35.57,33.74,112.06,49.13,163.44,249761,849.87,
143.93,65.71,876.34,831.5,167.36,142.41,108.85,29.08,89.03,124.66,89.01,83.7,71.59,23.87,90.2,35.75,33.74,112.67,49.06,164.99,251800,849.48,
143.66,65.86,886.54,829.56,166.68,142.05,107.83,28.86,87.84,124.55,88.87,82.01,72.08,23.59,89.85,36.07,33.8,112.47,48.75,164.01,249850,847.8,
