AAPL,MSFT,AMZN,GOOG,BRK.B,FB,TCEHY,JPM,JNJ,V,XOM,WMT,BAC,PG,INTC,CSCO,MA,VZ,UNH,BRK.A,GOOGL,
71.65,36.48,346.15,566.71,108.99,61.48,13.46,54.31,86.78,53.37,90.05,72.66,16.35,75.7,23.95,21.55,73.91,46.41,70.74,165265,566.72,
72.68,36.35,347.95,569.08,109.13,62.75,13.39,54.95,86.62,53.64,90.02,72.73,16.35,76.09,23.82,21.8,73.12,46.82,70.51,164817,569.08,
73.23,35.82,346.45,571.6,108.78,62.19,13.22,55.21,87.28,53.9,89.58,72.87,16.4,76.45,23.52,21.98,72.84,46.69,70.82,164075.1,571.6,
73.22,36.18,354.59,579.98,110.16,62.16,13.27,56.48,88.75,54.75,89.8,72.82,16.69,76.9,23.99,22.49,74.9,46.68,70.87,166000,579.98,
74.24,36.56,361.08,588.72,112.61,64.32,13.65,56.62,90.04,55.45,90.58,73.75,16.82,77.31,24.21,22.67,76.31,46.81,71.36,169010,588.72,
75.57,36.8,360.87,586.46,112.61,63.55,13.63,56.74,91.07,55.14,89.52,73.76,16.72,78.03,24.29,22.83,76.35,46.91,69.74,169120,586.47,
76.57,37.17,361.79,595.09,113.61,64.85,13.79,57.43,92.97,55.58,90.84,74.8,16.88,78.84,24.47,22.71,76.19,47.21,70.62,170515,595.09,
76.56,37.47,349.25,593.34,113.3,64.45,13.85,57.52,92.42,56.04,91.08,74.96,16.75,77.49,24.55,22.85,75.97,47.37,70.24,170140,593.35,
77.78,37.61,357.2,599.95,114.7,67.33,14.06,58.03,92.56,56.01,91.43,75.36,16.75,77.8,24.7,22.27,76.53,47.31,71.21,172222,599.95,
77.71,37.62,357.35,601.4,114.95,67.09,14.35,58.15,92.76,56.5,94.11,75.79,16.7,79.4,24.76,22.56,77.39,46.51,73.52,172425,601.4,
78,37.42,353.65,605.44,114.73,67.3,15.08,58.49,92.17,56.52,94.07,75.33,16.47,77.97,24.76,22.41,77.49,45.98,73.83,172292,605.44,
76.77,37.51,347.38,601.16,113.36,68.06,15.04,57.26,91.64,55.97,93.95,74.85,16.2,78.14,24.5,22.28,76.65,46.53,73.55,170080,601.17,
75.88,37.75,349.8,602.05,113.1,69.63,14.72,57.58,92.38,55.87,95.37,73.52,16.3,77.92,24.74,22.3,75.86,48.12,73.48,169844,602.05,
75.04,37.98,346.76,601.89,113.18,68.59,14.96,57.61,91.52,55.84,95.03,73.12,16.29,77.97,24.42,22.13,75.7,47.27,73.81,170120,601.9,
75.36,37.69,351.78,606.25,113.2,70.78,15.09,58.03,91.11,56.55,96.44,73.35,16.53,77.86,24.63,22.12,75.96,46.23,76.01,170006,606.26,
74.58,37.54,358.32,610,113.94,69.85,15.03,57.03,91.11,56.78,96.31,73.35,16.34,78.12,24.62,21.84,76.74,46.29,75.32,170721,610,
73.91,37.47,359.8,610.08,113.7,69.26,15.02,56.75,91.11,56.53,95.79,74.78,16.33,77.86,24.8,21.93,77.36,46.35,76.06,170473,610.09,
75.38,37.86,360.13,609.6,114.58,68.94,15.87,56.69,91.36,56.57,95.84,74.56,16.49,78.19,24.76,21.92,77.76,47.5,76.02,171730,609.61,
75.18,38.31,362.1,607.82,115.78,68.46,16.02,56.82,92.12,56.49,96.27,74.7,16.53,78.66,24.76,21.8,77.72,47.58,77.27,173708,607.83,
