AAPL,MSFT,AMZN,GOOG,BRK.B,FB,BABA,TCEHY,JPM,JNJ,V,XOM,WMT,BAC,PG,INTC,CSCO,MA,VZ,UNH,BRK.A,GOOGL,
173.3,119.84,1692.69,1036.23,198.56,164.15,149.91,42.78,106.46,131.44,158.6,71.88,101.96,26.68,103.8,43.46,51.78,242.26,56.38,236.56,299742,1038.74,
179.64,123.16,1729.56,1053.05,201.59,167.5,154.15,42.39,109.74,133.73,162.33,73.59,102.56,27.92,104.68,44.79,53.23,249.18,56.22,240.76,304000,1054.49,
182.54,125.83,1738.5,1042.22,203.3,168.17,151.65,41.81,110.13,134.38,165.39,72.98,104.42,27.91,106.73,44.55,54.75,256.26,57.03,242.77,306400,1044.64,
185.22,127.82,1754.36,1044.34,204.77,168.33,151.5,42.11,110.37,136.68,166.92,74.31,105.11,27.88,107.38,45.1,55.1,257.83,57.54,241.82,307900,1047.76,
190.15,131.4,1804.03,1066.04,205.81,173.35,154.23,42.81,109.16,138.55,170.05,74.58,106.06,27.53,108.77,46.03,55.93,265.8,57.24,246.77,309265,1068.37,
192.58,132.6,1860.63,1080.38,207.16,174.82,159.85,43.44,110.34,139.02,170.82,74.91,107.52,28.07,108.72,46.8,56.42,266.1,56.15,248.14,311524,1082.76,
194.81,132.1,1863.7,1078.72,206.63,178.1,162.65,43.9,110.68,139.78,170.31,74.84,107.94,28.24,109.38,46.85,57.11,263.66,56.83,245.87,310238,1081.04,
194.19,131.49,1855.32,1077.03,204.57,175.04,160.04,42.78,109.27,141.68,171.59,74.03,108.82,27.95,109.68,46.32,55.86,263.85,57.36,244.5,307195.5,1079.1,
194.15,132.32,1870.3,1088.77,204.99,177.47,160.33,42.39,109.54,140.71,169.35,74.68,108.65,27.94,110.91,46.7,56.17,261.2,57.62,244.96,307445,1091.01,
192.74,132.45,1869.67,1085.35,205.16,181.33,158.1,41.77,109.82,140.09,169.66,74.35,109.07,28.04,111.2,46.19,54.75,260.1,58.28,245.37,308206,1086.3,
193.89,132.85,1886.03,1092.5,203.48,189.01,159.91,41.92,109.22,139.44,169.56,75.09,109.16,27.93,110.99,46.13,55.4,259.2,57.63,245.97,305480,1093.89,
198.45,135.16,1901.37,1103.6,206.01,188.47,165.51,43.83,110.71,140.23,169.28,75.74,109.65,28.62,109.6,47.37,56.05,258.81,57.33,245.7,308884.62,1105.24,
197.87,135.69,1908.79,1102.33,206.75,187.48,165.46,44.65,109.91,140.45,170.69,75.32,109.62,28.32,110.42,47.07,56.13,259.87,57.63,250.19,310966,1104.51,
199.46,136.95,1918.19,1111.42,208.04,189.53,168.25,45.49,110.19,142.21,173.74,76.61,110.32,28.27,111.74,47.19,57.41,266.79,57.34,247.76,312900,1113.2,
198.78,136.97,1911.3,1121.88,206.21,191.14,167.55,45.43,109.44,142.09,173.44,77.69,111.13,28.12,111.2,47.46,57.03,264.47,57.77,252.28,309000,1125.37,
198.58,137.78,1913.9,1115.52,206.85,192.6,168.1,45.15,108.66,143.06,173.85,76.95,111.24,27.98,112.33,47.63,57.18,265.3,58.27,249.64,310650,1116.7,
195.57,133.43,1878.27,1086.35,208.07,188.84,165.8,43.94,107.76,144.24,171.28,76.27,110.72,27.76,111.72,46.85,56.08,259.73,58,247.66,312700,1087.58,
199.8,133.93,1897.83,1079.8,208.51,187.66,168.99,44.95,108.48,141.85,171.06,76.6,110.16,27.91,109.73,48.19,56.6,261.3,56.99,243.47,312705,1080.32,
199.74,134.15,1904.28,1076.01,212.02,189.5,170.9,45.36,108.84,140.69,171.23,75.82,110.1,28.21,109.78,47.46,55.73,261.1,57.25,246.34,318285,1076.63,
197.92,133.96,1893.63,1080.91,213.17,193,169.45,45.26,111.8,139.28,173.55,76.63,110.49,29,109.65,47.87,54.73,264.53,57.13,244.01,318350,1082.8,
