AAPL,MSFT,AMZN,GOOG,BRK.B,FB,BABA,TCEHY,JPM,JNJ,V,XOM,WMT,BAC,PG,INTC,CSCO,MA,VZ,UNH,BRK.A,GOOGL,
157.92,101.12,1539.13,1045.85,202.8,135.68,136.7,39.51,99.31,127.75,132.92,69.69,93.34,24.96,91.28,47.08,42.95,189.74,56.02,243.49,304057,1054.68,
142.19,97.4,1500.28,1016.06,191.66,131.74,130.6,38.39,97.11,125.72,128.13,68.62,92.86,24.56,90.64,44.49,41.07,181.18,56.22,236.85,287000.05,1025.47,
148.26,101.93,1575.39,1070.71,195.2,137.95,139.75,40.62,100.69,127.83,133.65,71.15,93.44,25.58,92.49,47.22,42.92,189.76,56.36,239.62,292500,1078.07,
147.93,102.06,1629.51,1068.39,196.91,138.05,143.1,40.9,100.76,127.01,136.06,71.52,94.54,25.56,92.12,47.44,43.21,191.22,56.72,240.08,295399.9,1075.92,
150.75,102.8,1656.58,1076.28,196.31,142.53,146.79,40.76,100.57,129.96,136.8,72.04,95.2,25.51,92.46,47.74,43.56,192.28,58.38,243.29,294300.01,1085.37,
153.31,104.27,1659.42,1074.66,196.37,144.23,151.92,42.33,100.4,128.93,138.41,72.42,94.89,25.76,90.95,48.01,43.32,195.77,57.05,243.64,294560,1081.65,
153.8,103.6,1656.22,1070.33,196.58,144.2,151.69,42.45,100.39,129.71,138.67,72.05,94.96,25.73,91.17,48.56,43.24,196.95,57.6,244.87,295159.87,1078.83,
152.29,102.8,1640.56,1057.19,196.29,143.8,151.32,42.11,99.91,129.75,138.06,71.72,94.84,26.03,91.77,48.93,43.49,195.9,58.02,247.67,293980,1064.47,
150,102.05,1617.21,1044.69,195.78,145.39,149.27,41.34,100.94,128.28,137.1,71.63,94.95,26.37,91.15,48.35,43.21,195.43,58.03,248.06,292371,1051.51,
153.07,105.01,1674.56,1077.15,196.94,148.95,150.88,42.1,101.68,129.36,137.34,71.67,96.25,26.55,92.01,48.6,44.02,196.52,58.1,256.87,295000,1086.51,
154.94,105.38,1683.78,1080.97,198.41,147.54,154.84,42.63,102.5,128.04,137.34,71.64,96.35,28.45,91.37,48.13,43.96,197.77,57.08,261.46,295811,1089.51,
155.86,106.12,1693.22,1089.9,198.78,148.3,155.97,42.9,102.92,129.09,137.28,72.13,96.74,28.99,90.64,48.47,44.21,199.31,56.83,259.77,297547,1099.12,
156.82,107.71,1696.2,1098.26,204.48,150.04,157.02,43.48,104.59,130.69,138.5,72.99,97.73,29.3,91.42,49.19,45.03,202,57.09,265.5,306500.1,1107.3,
153.3,105.68,1632.17,1070.52,200.72,147.57,152.15,42.21,102.94,128.8,138.05,71.89,97.49,29.09,90.44,48.27,44.78,199.46,56.99,265.69,300531,1078.63,
153.92,106.71,1640.02,1075.57,201.15,144.3,152.03,42.19,102.68,128.8,137.01,71.3,98.71,28.92,94.84,47.94,45.46,198.35,57.76,267.02,301835,1084.41,
152.7,106.2,1654.93,1073.9,201.02,145.83,155.86,42.84,102.74,127.03,137.7,71.4,98.36,29.08,94.3,49.76,45.61,199.79,57.07,266.13,301680,1084,
157.76,107.17,1670.57,1090.99,202.75,149.01,159.21,44.07,103.39,128.23,138.67,71.72,96.94,29.58,93.6,47.04,46.13,202.94,56.4,268.05,303531,1101.51,
156.3,105.08,1637.89,1070.08,200.95,147.47,158.92,43.48,103.88,128.99,135.99,71.24,97.06,29.63,93.52,46.71,45.75,200.16,55.07,266.77,301000.11,1079.86,
154.68,102.94,1593.88,1060.62,202.05,144.19,156.88,43.69,104.17,130.33,135,71.51,96.71,29.39,93.54,46.54,45.96,199.24,53.28,267.34,303000,1070.06,
165.25,106.38,1670.43,1089.06,205.96,150.42,166.82,44.65,104.41,131.64,137.6,72.29,94.8,29.07,94.52,47.54,46.71,204.02,54,270.37,309180,1097.99,
166.44,104.43,1718.73,1116.37,205.54,166.69,168.49,44.61,103.5,133.08,135.01,73.28,95.83,28.47,96.47,47.12,47.29,211.13,55.06,270.2,311500,1125.89,
