AAPL,MSFT,AMZN,GOOG,BRK.B,FB,TCEHY,JPM,JNJ,V,XOM,WMT,BAC,PG,INTC,CSCO,MA,VZ,UNH,BRK.A,GOOGL,
103.3,45.09,342.38,575.75,137.96,76.68,16.25,59.67,103.36,53.68,98.49,75.75,16.27,82.98,34.57,24.88,75.58,49.77,86.39,206740,588.63,
98.94,44.96,339,576.36,137.73,75.83,16.61,59.7,103.76,53.73,99.11,76.01,16.1,82.9,34.57,25.04,75.94,49.88,86.79,206438,589.52,
98.12,45.26,345.95,580.39,137.95,75.95,16.67,59.71,103.84,53.57,98.36,76.56,16.11,83.7,34.91,24.91,76.38,49.72,87.06,206820,593.14,
98.97,45.91,346.38,584.48,138.07,77.26,16.63,59.91,104.42,53.55,99.26,77.51,16.02,83.77,35,25,76.86,49.94,87.75,206700,597.78,
98.36,46.47,342.34,588.11,138.28,77.89,16.12,59.89,104.05,53.94,97.77,76.53,16.35,83.32,35.33,24.95,76.23,49.53,87.91,207200,601.63,
97.99,46.76,329.75,579.42,136.89,76.67,15.99,59.06,103.8,53.57,97.39,76.74,16.14,82.99,34.91,24.86,76.07,48.9,88.56,205305,591.97,
101,46.84,331.33,581.5,137.72,77.43,15.7,59.22,104.99,54.22,96.81,76.51,16.36,83.64,35.02,24.93,76.65,48.75,87.25,206750,593.42,
101.43,47,330.52,579.76,137.92,77.92,15.62,59.76,104.55,53.74,97.03,76.1,16.57,83.49,35.02,25.18,75.62,49.01,87.08,206850,591.11,
101.66,46.7,331.19,574.04,137.09,77.48,15.69,60.03,104.58,53.51,95.78,75.77,16.79,83.26,34.62,25.16,75.47,48.4,86.18,205635,584.9,
101.63,46.24,323.89,571.53,138.04,74.58,15.71,59.94,104.72,53.66,96.29,75.81,16.74,83.87,34.54,25.06,75.24,48.56,86.03,207110,581.64,
100.86,46.76,327.76,578.36,138.69,76.08,15.72,59.99,105.88,54.33,97.43,76.32,16.71,84.08,34.93,25.22,76.59,48.96,87.16,207745,588.78,
101.58,46.52,324,583.17,139.61,76.43,15.81,60.31,106.19,53.88,97.08,76.24,16.77,84.16,34.98,25.21,76.22,49.21,86.99,209000.1,593.29,
101.79,46.68,325,587.66,141.28,77,15.91,61.32,107.35,54.11,96.61,76.22,17.04,84.19,35.17,25.22,77.8,49.69,87.63,212075.05,597.27,
100.96,47.52,331.32,594.45,140.56,77.91,16.02,61.11,107.99,54.06,97.12,76.84,16.95,84.47,34.82,25.2,77.28,50.35,87.8,212000,605.4,
101.06,47.06,324.5,585.76,139.26,76.8,15.4,60.91,107.88,53.47,96.54,76.31,17.03,84.81,34.71,24.97,76.16,50.18,87.77,208900,597.27,
102.64,46.56,323.63,579.54,138.78,78.29,15.2,60.94,107.46,53.12,96.03,75.6,17.05,84.44,34.42,24.7,75.51,49.91,86.59,208445,591.18,
101.75,47.08,328.21,586.38,139.95,78.54,15.33,61.63,108.64,53.6,95.82,77.08,17.18,85.24,34.75,24.98,77.05,50.07,88.21,209850,598.42,
97.87,46.04,321.93,573.49,137.09,77.22,15.01,60.15,107.1,52.68,94.25,76.12,16.85,84.33,34.14,24.54,74.72,49.61,86.18,206000,585.25,
100.75,46.41,323.21,575.52,138.68,78.79,15.11,60.56,107.1,52.99,95.43,76.49,17.03,84.58,34.26,25,75.06,49.77,86.6,208133,587.9,
100.11,46.44,321.82,574.78,138.33,79,14.76,60.33,106.54,52.73,94.43,76.08,17.01,84.44,34.9,25.12,74.52,49.75,86.51,207321,587.81,
100.75,46.36,322.44,575.78,138.14,79.04,14.82,60.24,106.59,53.34,94.05,76.47,17.05,83.74,34.82,25.17,73.92,49.99,86.25,206900,588.41,
