AAPL,MSFT,AMZN,GOOG,BRK.B,FB,BABA,TCEHY,JPM,JNJ,V,XOM,WMT,BAC,PG,INTC,CSCO,MA,VZ,UNH,BRK.A,GOOGL,
117.34,55.22,679.06,767.04,136.43,107.12,84,20.07,67.61,102.36,79.91,81.89,58.99,17.81,75.94,35.09,27.57,97.93,45.58,116.26,204945,783.79,
116.28,55.21,676.01,762.38,135.27,106.07,85,19.65,66.66,102.05,79.04,79.55,58.35,17.62,75.79,34.83,27.44,97.1,44.92,117.64,202930,777.85,
115.2,54.2,666.25,752.54,132.66,104.38,82.59,19.63,65.8,100.79,78.29,78.41,59.04,17.3,75.74,34.04,26.95,95.96,44.56,115,198801,768.2,
119.03,55.91,672.64,766.81,136.48,106.18,84.85,19.53,67.89,102.95,80.4,78.86,59.66,17.8,77.83,34.94,27.48,98.7,45.71,117.74,204500,779.21,
118.28,55.81,669.83,763.25,135.6,105.61,84.76,19.51,67,103.32,79.55,76.8,60.5,17.54,78.37,34.99,27.49,97.82,46.06,115.91,203500,772.99,
118.23,55.79,677.33,762.37,133.36,106.49,84.38,19.2,65.96,102.42,79.07,74.63,59.61,17.19,77.75,34.75,27.15,98.18,45.7,115.88,200105,775.14,
115.62,54.98,664.79,751.61,131.71,104.6,83.42,19.3,65.46,102.15,77.88,75.63,59.13,17.1,77.7,34.81,26.73,97.82,45.36,115.05,197660,762.55,
116.17,55.27,662.32,749.46,131.71,105.42,84.33,19.24,65.61,102.64,78.12,75.69,59.56,17.2,77.79,34.77,26.77,97.61,45.32,116.21,197505,760.04,
113.18,54.06,640.15,738.87,130.31,102.12,79.74,18.61,64.07,101.68,76.11,74.34,59.36,16.73,77.78,34.27,26.16,94.83,44.82,115.98,195756.87,750.42,
112.48,55.14,657.91,747.77,132.02,104.66,80.57,18.91,64.27,102.15,76.87,76.03,60.39,16.8,78.29,34.47,26.49,96.3,45.45,115.85,198040,762.54,
110.49,55.2,658.64,743.4,134.88,104.55,82.49,19.27,66.1,104.13,78.62,79.43,59.64,17.42,79.68,35.18,26.85,98.43,45.55,117.61,202439.97,760.09,
111.34,56.13,675.77,758.09,135.88,106.79,84.63,19.76,67.53,105.25,79.86,79.15,60.3,17.75,80.99,35.3,27.24,100.04,46.51,118.83,203800,776.59,
108.98,55.7,670.65,749.43,133.97,106.22,83.56,19.52,66.28,103.64,78.69,77.96,58.98,17.3,80.29,34.91,26.72,99.33,46.1,119.22,201000,769.83,
106.03,54.13,664.14,739.31,129.53,104.04,82.65,19.57,64.4,101.95,76.32,77.28,58.85,16.76,78.13,33.87,26.27,96.29,45.56,115.82,194720,756.85,
107.33,54.83,664.51,747.77,131.19,104.77,82.87,19.51,65.54,101.58,77.17,77.26,59.55,16.97,78.95,34.24,26.64,97.04,45.9,117.41,196801,760.8,
107.23,55.35,663.15,750,133.14,105.51,84.84,19.58,65.68,102.71,77.38,77.65,60.54,17.08,79.6,34.73,26.89,97.54,46.34,117.44,199680,767.13,
108.61,55.82,663.7,750.31,134.15,104.63,84.8,19.83,66.73,103.49,78.56,80.19,61.09,17.34,79.92,35,27.4,98.73,46.95,118.69,200000,768.51,
108.03,55.67,662.79,748.4,133.89,105.02,83.71,19.68,66.6,103.72,78.26,79.33,60.83,17.27,79.79,34.98,27.38,98.59,46.71,118.34,201137,765.84,
106.82,55.95,675.2,762.51,133.12,105.93,82.14,19.52,66.38,103.22,78.53,78.74,60.75,17.13,79.92,34.93,27.31,98.53,46.75,118.33,199876,782.24,
108.74,56.55,693.97,776.6,134.14,107.26,83.26,19.63,67.07,104.03,79.21,79.16,61.61,17.28,80.36,35.44,27.77,99.72,47.21,119.82,200050,793.96,
107.32,56.31,689.07,771,133.26,106.22,81.68,19.43,66.59,103.78,78.35,78.11,61.68,17.05,80.07,34.99,27.53,98.87,46.77,118.92,200081,790.3,
105.26,55.48,675.89,758.88,132.04,104.66,81.27,19.62,66.03,102.72,77.55,77.95,61.3,16.83,79.41,34.45,27.16,97.36,46.22,117.64,197800,778.01,
