AAPL,MSFT,AMZN,GOOG,BRK.B,FB,BABA,TCEHY,JPM,JNJ,V,XOM,WMT,BAC,PG,INTC,CSCO,MA,VZ,UNH,BRK.A,GOOGL,
98.46,52.85,719.44,734.15,141.99,118.78,76.69,21.9,65.69,112.78,79.22,89.24,70.5,14.86,81.79,31.66,28.9,96.41,50.43,134.53,212360,748.46,
97.72,52.48,728.24,730.4,142.11,118.93,77.3,21.92,65.81,114.49,79.95,88.53,70.95,14.94,81.95,31.76,29.08,96.88,50.77,136.04,212355,744.27,
97.92,51.79,725.54,722.34,141.14,118.47,76.62,22.08,64.64,114.76,79.94,88.37,70.87,14.42,82.47,31.62,29.13,96.03,50.92,136.84,211615,735.86,
98.63,52.13,726.73,716.55,141.82,118.79,78.06,22.54,65.28,115.77,80.54,89.34,71.05,14.52,82.77,31.68,29.1,96.64,50.71,138.15,212880,730.06,
99.03,52.1,723.74,716.65,141.41,117.76,77.84,22.8,65.06,115.73,80.6,90.71,71.03,14.35,82.32,31.88,29.07,96.68,51.75,136.94,212210,731.09,
98.94,52.04,726.64,728.28,142.53,118.39,77.64,22.66,65.25,115.8,81.65,90.79,71.28,14.43,82.65,31.89,29.14,97.99,51.52,140.4,213500,742.93,
99.65,51.62,727.65,728.58,142.23,118.56,77.56,22.54,64.75,117,81.26,90.67,71.09,14.19,83.17,31.94,29.14,97.02,51.95,140.68,213210,742.52,
98.83,51.48,717.91,719.41,141.76,116.62,75.92,22.34,63.84,117.01,80.18,89.98,71.14,13.83,83.2,32.04,29.03,95.21,52.67,139.24,212622,733.19,
97.34,50.14,715.24,718.36,140.94,113.95,75.45,21.65,63.27,116.79,78.4,90.59,70.53,13.6,82.57,32.17,28.84,94.19,52.57,138.09,211450,731.88,
97.46,49.83,719.3,718.27,141.3,114.94,77.77,21.5,62.08,117.12,78.57,90.43,70.95,13.26,83.35,32.14,28.96,94.11,52.99,137.87,212070,733.25,
97.14,49.69,714.26,718.92,140.45,114.6,78.39,22.13,61.97,116.41,78.17,90.16,71.12,13.34,82.95,31.61,28.65,93.34,52.84,137.26,210050,732.19,
97.55,50.39,717.51,710.36,141.99,114.39,78.27,21.98,62.22,116.64,78.35,91.22,71.3,13.31,83.41,31.69,28.87,94.08,53.46,138.66,213000,724.25,
95.33,50.13,706.39,691.72,140.73,113.02,77,21.74,62.28,115.48,76.99,90.72,70.95,13.4,83.13,31.76,28.95,93.29,53.78,137.69,211200,704.25,
95.1,50.07,714.01,693.71,141.67,113.37,78.15,22.02,62.37,116.54,77.34,91.12,71.1,13.54,83.04,32.17,28.8,94.35,53.76,138.52,212630,706.13,
95.91,51.19,715.82,695.94,143.53,114.38,78.62,22.22,62.95,116.18,77.33,91.53,71.46,13.62,83.41,32.32,28.77,95.11,54.1,138.19,215420,708.88,
95.55,50.99,710.6,697.46,143.94,113.91,78.73,22.69,62.71,116.46,76.53,91.17,71.75,13.61,83.57,32.29,28.72,94.06,54.03,137.9,216266,710.47,
96.1,51.91,722.08,701.87,145.98,115.08,79.14,23.09,64.05,117.38,78.23,91.8,72.1,14.04,84.21,32.99,29.22,95.71,54.67,139.19,218850,714.87,
93.4,49.83,698.96,675.22,139.71,112.08,76.29,22.16,59.6,115.63,75.05,89.39,71.96,13,82.26,31.55,27.75,91.47,54.43,137.29,209852,685.2,
92.04,48.43,691.36,668.26,138.5,108.97,74.23,21.52,57.61,116.55,73.34,88.86,71.5,12.18,81.23,30.72,27.31,89.07,54.74,137.11,208000,681.14,
93.59,49.44,707.95,680.04,140.28,112.7,76.28,22.15,59.52,118.23,75.16,90.91,71.51,12.7,82.46,31.19,27.79,90.42,54.82,138.71,210400,691.26,
94.4,50.54,715.6,684.11,142.12,114.16,78.04,22.45,61.2,119.33,76.74,92.46,72.46,13.19,83.91,31.93,28.26,92.13,55.06,140.52,212645,695.19,
95.6,51.17,715.62,692.1,144.79,114.28,79.53,22.97,62.14,121.3,74.17,93.74,73.02,13.27,84.67,32.8,28.69,88.06,55.84,141.2,216975,703.53,
