AAPL,MSFT,AMZN,GOOG,BRK.B,FB,BABA,TCEHY,JPM,JNJ,V,XOM,WMT,BAC,PG,INTC,CSCO,MA,VZ,UNH,BRK.A,GOOGL,
95.89,51.16,725.68,699.21,143.96,114.19,79.65,22.98,61.26,121.29,74.48,93.84,72.81,13.1,84.78,32.75,28.8,88.85,56.23,140.86,216298,710.25,
94.99,51.17,728.1,694.49,142.23,114,78.97,22.6,59.55,122.27,74.67,93.02,73.14,12.74,85.44,32.68,28.33,88.24,56.53,141.56,212960,704.89,
95.53,51.38,737.61,697.77,142.51,116.7,78.64,22.62,60.19,122.64,74.06,94.09,73.82,12.86,85.03,32.97,28.72,86.83,56.26,142.38,213620,708.97,
95.94,51.38,736.57,695.36,141.91,115.85,79.35,22.59,60.19,122.51,74.06,92.96,73.53,13.01,84.83,33.2,28.74,87.81,55.38,140.8,212501,707.26,
96.68,52.3,745.81,705.63,143.65,117.24,78.99,23.24,61.83,122.85,76.42,93.54,73.84,13.17,85.77,34,29.26,88.56,55.9,141.27,214720,717.78,
96.98,52.59,753.78,715.09,143.93,117.87,81.46,23.36,62.27,122.93,76.52,93.89,74.06,13.21,85.75,34.38,29.43,88.75,55.93,140.32,215824,727.2,
97.42,53.21,748.21,720.64,144.67,117.93,81.74,23.52,63.2,122.92,77.48,94.95,73.27,13.54,85.75,34.94,29.61,90,55.47,139.86,217050,732.51,
96.87,53.51,742.63,716.98,145.93,116.78,80.57,23.34,63.16,123,77.46,94.88,73.62,13.44,85.89,35.01,29.75,90.34,56,141.48,218950,729.48,
98.79,53.74,741.2,720.95,145.73,117.29,81.74,23.82,64.12,123.18,78.14,94.95,73.7,13.65,85.87,35.2,29.76,91.45,55.84,140.84,218590.5,735.8,
98.78,53.7,735.44,719.85,145.97,116.86,81.25,23.78,64.18,123,78.3,95.12,73.67,13.66,86.01,35.07,29.82,90.93,55.84,141.33,218990,735.63,
99.83,53.96,736.07,733.78,146.57,119.37,82.65,23.76,63.96,123.14,78.31,94.82,73.84,14.11,85.93,35.05,29.91,91.6,55.93,140.75,219900,753.2,
99.87,53.09,739.95,736.96,146.92,120.61,82.77,23.61,63.86,125.25,78.72,94.47,73.66,14.26,86.17,35.15,29.92,92.38,55.7,142.59,220265,753.41,
99.96,55.91,745.72,741.19,146.17,121.92,84.42,23.92,63.93,125.14,79.36,93.93,73.79,14.4,85.32,35.69,30.63,93.3,55.62,143.02,219187,757.08,
99.43,55.8,744.43,738.63,144.35,120.61,84.18,23.68,63.69,125.15,78.79,93.85,73.52,14.27,85.26,34.27,30.58,92.46,55.37,142.87,216315,754.41,
98.66,56.57,744.86,742.74,144.6,121,84.49,24.01,64.04,125.03,79.91,94.01,73.55,14.38,85.72,34.66,30.71,93.66,56.1,143.69,216805,759.28,
97.34,56.73,739.61,739.77,144.14,121.63,83.19,23.98,63.87,124.89,78.94,92.2,73.75,14.37,85.8,34.69,30.79,93,55.87,141.73,216005,757.52,
96.67,56.76,735.59,738.42,144.34,121.22,83.59,24.11,64.13,125.15,78.49,91.53,73.73,14.53,85.27,35.09,30.88,93.43,54.81,141.7,216400,757.65,
102.95,56.19,736.67,741.77,144.19,123.34,83.1,24.25,64.33,124.77,78.53,90.91,73.32,14.63,84.46,34.83,30.76,93.75,55.32,141.68,216300,761.97,
104.34,56.21,752.61,745.91,144.42,125,83.12,24.2,64.1,124.46,79.19,90.2,73.24,14.68,84.81,34.77,30.52,96.01,54.86,142.76,216660,765.84,
104.21,56.68,758.81,768.79,144.27,123.94,82.48,24.2,63.97,125.23,78.05,88.95,72.97,14.49,85.59,34.86,30.53,95.24,55.41,143.2,216000,791.34,
