AAPL,MSFT,UNH,JNJ,V,WMT,JPM,PG,CVX,HD,MRK,KO,CSCO,MCD,NKE,DIS,VZ,AMGN,HON,IBM,CRM,GS,CAT,INTC,AXP,BA,MMM,TRV,DD,WBA
22.452,40.790,79.470,102.170,53.380,76.760,55.350,80.790,122.210,80.840,57.930,40.910,24.780,102.030,38.360,84.270,50.050,116.450,93.410,185.690,52.380,160.030,103.760,27.320,91.890,135.900,142.320,93.710,157.530,72.010
22.769,40.290,79.880,102.460,52.830,76.710,55.600,80.360,122.550,80.670,57.910,40.860,24.675,101.450,37.775,83.880,49.290,117.120,93.260,184.370,50.950,161.800,104.490,27.260,91.730,135.880,142.890,93.410,157.830,71.560
23.029,40.320,80.510,102.680,52.858,77.130,55.680,79.930,122.350,80.540,57.930,40.880,24.500,102.440,38.065,84.240,49.150,119.150,93.850,184.510,51.070,162.390,104.310,27.660,91.810,135.330,142.260,94.670,157.440,74.560
23.120,41.210,79.800,103.220,53.055,77.320,56.630,79.860,123.520,80.380,58.100,40.790,24.700,102.450,37.935,84.780,49.280,117.740,94.950,185.980,51.370,162.580,106.960,27.600,92.800,136.820,143.710,94.970,157.860,75.600
23.056,41.480,79.930,103.180,53.250,77.210,56.970,80.110,124.190,80.640,57.850,40.890,24.830,101.960,38.115,84.610,49.420,117.820,95.200,186.370,51.800,166.190,108.180,27.660,94.910,138.250,144.640,94.360,159.390,75.030
23.425,41.270,79.760,103.220,53.145,77.010,57.420,80.030,124.370,80.610,57.940,40.990,24.800,101.380,38.335,85.480,49.570,116.400,95.810,186.220,51.710,166.000,108.750,28.170,95.570,137.960,145.320,94.660,158.970,74.920
23.562,41.110,79.810,104.100,53.562,76.620,57.900,80.090,125.340,80.740,58.490,40.910,25.000,100.880,38.155,84.750,49.520,117.100,95.340,184.290,53.060,166.360,109.310,27.910,95.280,137.250,144.970,95.100,159.450,74.740
23.465,40.860,80.170,103.320,53.170,76.160,57.270,80.150,125.180,79.810,58.810,41.070,25.040,100.420,37.570,84.310,49.370,116.340,94.910,182.250,53.310,165.430,108.690,28.240,95.080,134.100,144.410,94.900,158.580,74.670
23.073,40.580,79.440,102.530,52.943,75.730,57.040,80.060,126.110,78.430,58.300,40.860,24.660,99.760,37.385,82.800,49.040,116.200,93.660,181.220,53.040,165.960,106.650,27.930,94.760,132.190,143.070,95.000,156.000,72.470
22.820,41.230,79.180,102.530,52.822,75.280,57.040,79.760,127.260,78.070,58.240,40.420,24.700,100.490,37.310,82.800,49.180,116.030,93.770,182.560,54.310,165.890,106.770,27.960,94.850,132.290,143.360,95.410,157.200,73.060
23.050,41.500,78.000,102.450,52.560,75.340,56.870,79.690,128.540,78.900,58.070,40.370,24.530,101.100,37.275,83.300,49.310,116.160,93.800,182.350,54.610,165.850,106.810,29.870,94.370,132.540,143.320,95.460,156.900,73.290
23.020,41.680,78.170,101.930,52.703,74.990,57.420,79.580,128.830,80.020,58.060,40.660,24.500,101.270,37.545,83.160,49.210,116.170,94.300,182.260,57.820,168.220,106.670,30.010,94.660,132.450,143.690,95.220,156.000,73.100
23.045,41.650,79.210,102.810,52.812,75.700,57.780,79.790,130.280,80.710,58.410,40.920,24.630,101.350,38.105,83.580,49.420,117.490,94.190,183.600,57.760,169.860,107.480,29.950,95.560,132.480,144.330,95.400,157.560,76.080
22.965,41.510,80.510,103.810,52.580,75.870,57.300,80.240,131.990,80.440,58.300,41.560,24.710,101.910,37.820,83.770,49.470,117.850,94.440,182.820,57.880,169.730,107.250,29.930,95.070,132.820,144.490,95.600,156.210,75.390
22.727,41.680,81.410,105.270,52.373,75.680,57.550,79.930,132.340,80.170,58.920,41.790,24.830,101.920,37.550,82.820,49.390,120.970,94.820,181.550,57.510,169.840,109.380,30.090,95.540,132.100,145.160,94.590,157.410,74.540
22.707,41.990,81.490,104.750,52.367,75.790,58.190,79.520,132.980,80.640,58.500,41.690,24.700,101.910,37.725,82.760,49.730,119.130,94.270,182.140,58.000,170.240,108.780,30.200,95.510,130.850,144.090,94.950,158.670,73.730
22.570,41.745,81.740,104.590,51.947,75.970,57.420,79.010,131.770,80.430,57.920,41.730,24.530,101.470,37.490,82.680,49.280,118.790,93.020,180.880,57.460,168.230,107.810,30.230,94.430,129.150,143.090,94.670,156.960,72.480
22.590,42.030,82.340,105.760,52.265,75.620,57.530,79.320,131.230,80.530,58.860,41.850,24.720,101.610,38.235,83.900,49.410,119.420,93.210,180.720,57.410,168.380,108.440,30.500,94.640,127.060,143.650,94.860,157.830,74.190
22.725,41.720,82.290,105.650,52.240,74.910,57.390,78.620,130.920,80.750,58.530,41.960,24.650,101.510,38.430,84.450,49.210,119.140,93.060,180.370,57.170,168.010,108.520,30.880,94.300,128.020,143.730,94.410,156.360,74.230
22.995,42.250,82.000,104.990,52.320,75.340,57.530,79.020,130.360,81.130,57.530,42.030,24.700,101.460,38.840,85.300,49.320,118.590,93.260,181.710,57.380,166.780,108.780,30.780,94.930,128.540,143.690,93.920,154.830,74.100
23.233,41.700,81.750,104.620,52.678,75.070,57.620,78.590,130.550,80.960,57.850,42.190,24.850,100.740,38.775,85.740,48.930,118.370,92.950,181.270,58.080,167.440,108.670,30.930,94.870,127.230,143.240,94.070,154.380,74.130
