AAPL,MSFT,AMZN,GOOG,BRK.B,FB,BABA,TCEHY,JPM,JNJ,V,XOM,WMT,BAC,PG,INTC,CSCO,MA,VZ,UNH,BRK.A,GOOGL,
109.49,59.2,743.65,747.92,160.12,115.1,89.86,24.73,81.79,111.38,75.43,87.24,70.67,21.5,81.86,33.76,29.45,100.18,49.87,160.94,239821,764.33,
109.9,59.25,740.34,750.5,159.39,115.4,90.48,24.29,81.6,111.96,75.72,87.04,70.88,21.23,82.4,34.16,29.25,101.1,49.81,160.73,239070,764.46,
109.11,60.22,759.36,762.52,160.21,117.43,90.99,24.62,83.26,111.94,77.31,87.48,69.94,21.84,82.99,34.39,29.53,103.55,49.75,157.63,240000,778.22,
109.95,59.95,764.72,759.11,161.34,117.31,90.4,24.35,83.69,112.06,77.11,87.56,70.36,22.16,82.91,34.72,29.33,102,50.36,157.32,241836,776.18,
111.03,61.37,770.42,771.19,164.69,117.95,91.07,24.66,84.07,111.1,79.31,88.07,70.6,22.57,84.18,35.5,29.95,105.25,51.38,159.4,246380.05,791.47,
112.12,61.01,767.33,776.42,164.11,118.91,92.31,24.45,85.12,110.99,79.28,88.32,70.34,22.95,83.5,35.7,29.95,104.82,51.13,159.32,246120,795.17,
113.95,61.97,768.66,789.29,164.86,119.68,93.28,24.45,85.49,112.26,79.14,89,70.08,23.09,84.37,35.76,30.06,104.41,51.49,160.12,247190,809.45,
113.3,62.17,760.12,789.27,166.12,117.77,92.47,23.82,84.73,115.36,78.5,90.98,71.67,22.61,85.13,35.97,30.17,103.28,51.76,159.49,248888.68,807.9,
115.19,62.98,774.34,796.1,166.62,120.31,92.16,24.27,84.76,115.89,79.2,92.58,71.8,22.61,85.18,36.8,30.59,103.32,52.36,160.54,249711,815.34,
115.19,62.68,768.82,797.07,165.06,120.21,91.19,23.88,84.73,114.99,79.13,90.58,71.34,22.67,84.37,36.55,30.46,103.28,51.63,159.86,247120,817.89,
115.82,62.58,761,797.85,165.73,120.57,88.85,23.67,86,115.89,79.5,90.89,71.08,23.16,84.68,36.79,30.63,104.35,51.81,160.62,248271,815.65,
115.97,62.3,757.77,790.8,164.76,119.87,88.67,23.41,84.94,115.88,78.35,91.18,70.98,22.66,84.68,36.31,30.59,103.43,52.27,163.94,246405,809.84,
116.64,63.62,766,794.2,165.35,119.24,88.93,23.26,85.43,116.02,78.1,90.42,71.58,22.48,84.71,36.89,30.75,103.54,52.91,161.54,248330,812.5,
116.95,63.54,771.22,796.42,166.36,119.09,89.84,23.51,86.53,115.66,78.36,90.43,71.82,22.71,84.57,37.21,30.56,104.54,53.12,161.59,249041,815.2,
117.06,63.54,770.6,794.56,165.95,119.04,89.25,23.55,86.75,115.31,78.14,90.28,71.24,22.63,84.28,36.98,30.42,104.17,52.97,161.33,248631,812.2,
116.29,63.55,766.34,791.26,166.03,117.4,86.8,23.14,86.89,115.44,77.9,90.87,69.59,22.54,84.47,36.93,30.46,104.31,53.65,161.58,249000,809.68,
116.52,63.24,760.59,789.91,165.32,117.27,86.79,23.11,87.05,115.96,78.15,90.71,69.54,22.6,84.96,36.97,30.53,104.71,53.68,163.03,248000,807.8,
117.26,63.28,771.4,791.55,164.95,118.01,87.54,23.17,87.13,115.91,78.35,90.75,69.7,22.61,84.6,37.07,30.68,104.8,53.64,162.64,247300,809.93,
116.76,62.99,772.13,785.05,163.75,116.92,87.37,23.54,86.5,115.1,78.3,90.3,69.31,22.33,84.07,36.63,30.42,103.68,53.44,161.44,245330,804.57,
116.73,62.9,765.15,782.79,163.05,116.35,87.33,24.36,85.89,115.49,78.33,90.35,69.26,22,84.35,36.66,30.46,103.77,53.74,161.04,244500,802.88,
115.82,62.14,749.87,771.82,162.98,115.05,87.81,24.22,86.29,115.21,78.02,90.26,69.12,22.1,84.08,36.27,30.22,103.25,53.38,160.04,244121,792.45,
