AAPL,MSFT,AMZN,GOOG,BRK.B,FB,TCEHY,JPM,JNJ,V,XOM,WMT,BAC,PG,INTC,CSCO,MA,VZ,UNH,BRK.A,GOOGL,
79.02,37.16,397.97,556.55,117.5,54.71,12.92,58.21,91.03,55.25,99.75,78.91,16.1,80.54,25.79,22,83.41,49,74.57,176320,556.56,
77.28,36.91,396.44,552.5,117.57,54.56,12.79,58.66,91.85,55.29,99.51,78.65,16.41,80.45,25.78,21.98,83.08,48.42,75.1,176336,552.5,
77.7,36.13,393.63,558.66,116.28,57.2,12.74,59,92.33,54.96,99.66,78.21,16.66,80.64,25.46,22.01,82.67,48.69,74.24,174500,558.66,
77.15,36.41,398.03,569.42,116.19,57.92,12.78,58.32,94.29,55.38,101.07,78.45,16.5,81.42,25.59,22.31,83.71,49.3,76.51,174195,569.43,
77.64,35.76,401.92,570.61,115.34,58.23,12.95,58.87,94.16,55.56,100.74,77.83,16.58,80.24,25.43,22.29,83.68,48.5,75.62,173284,570.62,
76.65,35.53,401.01,565.12,115.32,57.22,12.67,58.76,94.73,55.48,99.76,78.09,16.83,80.42,25.31,22.09,84.36,47.5,76.08,172965,565.12,
76.13,36.04,397.66,565.09,114.97,57.94,12.95,58.49,94.74,55.28,100.52,78.04,16.77,80.3,25.53,22.22,83.48,47.75,74.7,172540,565.09,
76.53,34.98,390.98,561.49,114.01,55.91,12.73,57.7,94.5,54.73,98.55,77.49,16.43,80.01,25.5,22.19,81,47.03,73.94,170893.33,561.49,
78.06,35.78,397.54,574.7,114.96,57.74,12.9,57.74,94.72,55.66,99.12,77.96,16.77,80.87,26.51,22.41,82.17,47.08,74.02,172250,574.7,
79.62,36.76,395.87,574.3,115.85,57.6,13.17,59.49,94.8,55.94,98.78,77.66,17.15,80.79,26.67,22.78,82.34,48.27,74.84,173665,574.31,
79.18,36.89,395.8,578.11,115.24,57.19,13.2,58.99,94.64,55.44,98.94,76.76,17.08,80.56,26.54,22.78,82.55,48.53,72.76,172773,578.11,
77.24,36.38,399.61,575.26,115.07,56.3,13.69,58.11,95.06,58.05,99.16,76.19,17.01,79.88,25.85,22.74,81.84,48.35,72.52,172350,575.27,
78.44,36.17,407.05,581.85,115.15,58.51,13.42,58.17,94.03,57.98,98.5,75.84,17.01,80.18,25.59,22.83,81.85,47.7,73.16,172500,581.85,
78.79,35.93,404.54,582.51,115.26,57.51,13.74,57.59,94.32,58.25,97.88,75.35,17.15,79.23,25.31,22.84,83.3,47.33,73.4,172895,582.51,
79.45,36.06,399.87,580.04,113.5,56.63,13.26,56.47,92.74,57.06,96.97,74.96,16.86,78.24,25.13,22.56,82.36,47.86,73.2,170310,580.05,
78.01,36.81,387.6,561.91,111.81,54.45,12.52,55.09,90.61,55.31,94.85,74.42,16.45,79.18,24.81,22.2,78.51,47.63,71.6,168500,561.92,
78.64,36.03,386.28,550.61,111.5,53.55,12.43,55.09,89.94,54.06,94.92,74.15,16.31,78.47,24.72,22,76.05,47.69,71.65,168210.9,550.62,
72.36,36.27,394.43,561.5,112.01,55.14,12.98,55.74,90.1,55.24,95.65,74.67,16.73,79.11,24.9,21.75,78.83,47.36,71.71,169212,561.51,
71.54,36.66,384.2,553.46,111.28,53.53,13.36,55.53,88.9,54.28,95.11,74.1,16.68,77.64,24.68,21.65,77.7,47.69,71.26,168748,553.46,
71.4,36.86,403.01,567.69,113,61.08,13.83,56,89.5,55.22,93.99,74.75,16.93,76.87,24.74,21.98,79.76,47.63,72.8,170450,567.7,
71.51,37.84,358.69,590.48,111.6,62.57,13.83,55.36,88.47,53.86,92.16,74.68,16.75,76.62,24.54,21.91,75.68,48.02,72.28,169511.9,590.49,
