AAPL,MSFT,AMZN,GOOG,BRK.B,FB,BABA,TCEHY,JPM,JNJ,V,XOM,WMT,BAC,PG,INTC,CSCO,MA,VZ,UNH,BRK.A,GOOGL,
143.5,68.17,953.66,898.7,171.8,148.43,140.99,35.71,92.75,132.9,93.35,82.1,75.36,24.68,87.74,33.46,31.33,120.78,45,186.65,257980,919.46,
144.09,69.08,971.4,911.71,171.85,150.34,144.87,34.98,93.68,133.64,94.01,80.85,75.32,24.92,87.67,34.34,31.11,121.98,44.65,188.25,257500,932.26,
142.73,68.57,965.14,906.69,170.2,148.82,142.2,34.28,93.38,132.52,93.25,80.12,75.47,24.71,87.37,33.63,30.72,120.8,43.52,186.94,255550,927.69,
144.18,69.46,978.76,918.59,171.14,151.44,142.43,34.66,93.85,132.54,93.92,80.22,75.33,24.83,87.65,33.88,30.9,122.2,43.48,187.96,256780,940.81,
145.06,69.98,996.47,928.8,170.25,153.5,143.81,35.05,93.19,131.55,95.09,80.16,73.23,24.89,87.09,33.65,30.98,122.73,43.2,186.95,255400,951,
145.53,69.99,994.13,930.09,169.24,155.27,145.81,35.83,92.83,131.23,95.41,80.6,73.47,24.6,86.77,33.92,31.09,124.23,42.89,185.95,255499.99,953.53,
145.74,71.15,1006.51,943.83,169.92,158.9,149,36.63,92.51,132.23,96.18,80.96,73.94,24.35,86.96,34.25,31.16,125.28,43.22,186.69,256000,967.66,
147.77,71.77,1000.63,947.16,169.69,159.26,149.52,36.27,93.1,131.86,95.94,80.97,75.05,24.62,86.7,34.24,31.27,125.47,43.49,185.48,256000,968.85,
149.04,72.78,1001.81,955.99,169.47,159.97,151.83,37.06,92.25,132.6,96.93,81.28,76.34,24.21,87.1,34.68,31.42,127.01,43.56,186.9,256020,976.91,
149.56,73.35,1010.04,953.42,170.16,159.73,151.23,36.77,91.39,132.15,96.83,80.86,76.37,24.02,87.55,34.47,31.5,127.43,43.66,186.35,256200.01,975.96,
150.08,73.3,1024.45,965.4,170.31,162.86,153.75,37.08,91.07,134.46,97.58,80.6,76.2,23.9,88.64,34.53,31.51,127.73,43.36,186.85,256100.01,986.95,
151.02,73.86,1026.87,970.89,171.2,164.14,153.15,38.45,91.2,135.21,98.25,80.85,75.87,24.06,88.35,34.56,31.9,128.04,43.45,189.19,257500,992.77,
150.34,74.22,1028.7,968.15,171.33,164.53,152.11,38.16,91.2,136.57,98.11,80.86,76.02,23.94,88.6,34.75,31.86,128.47,44.22,191.5,257651,992.19,
150.27,73.79,1025.67,972.92,171.34,164.43,151.89,38.19,90.89,135.31,99.6,80.12,76.15,23.8,88.61,34.73,31.84,129.27,44.23,191.78,257644.99,993.84,
152.09,73.6,1038.95,980.34,171.37,166,152.26,38.98,91.28,133.01,100.37,79.87,76.89,23.91,88.18,34.5,31.86,129.52,43.71,190.89,257689,998.31,
152.74,74.19,1039.87,950.7,172.94,165.28,152.44,38.82,92.8,131.88,99.99,80.27,78.52,24.48,89.14,34.67,32.12,129.98,43.98,190.4,259410.02,969.03,
153.46,74.05,1052.8,947.8,173.02,165.61,155.79,38.85,91.93,130.95,100.85,80.37,78.9,24.21,89.3,34.75,31.66,130.99,44.4,190.75,259600,965.31,
150.56,73.16,1046,934.09,173.05,170.44,154.15,38.99,91.55,130.83,99.57,80.83,79.78,24.11,90.68,34.97,31.57,128.93,47.81,188.93,259709,952.51,
149.5,73.04,1020.04,941.53,174,172.45,157.56,39.37,91.28,131.85,99.15,79.6,79.81,24.03,90.21,35.31,31.52,127.91,47.94,191.15,261026,958.33,
148.73,72.7,987.78,930.5,174.97,169.25,154.95,39.96,91.8,132.72,99.56,80.04,79.99,24.12,90.82,35.47,31.45,127.8,48.4,191.81,262786,945.5,
