AAPL,MSFT,AMZN,GOOG,BRK.B,FB,TCEHY,JPM,JNJ,V,XOM,WMT,BAC,PG,INTC,CSCO,MA,VZ,UNH,BRK.A,GOOGL,
96.13,42.86,307.06,564.52,125.83,72.36,16.52,56.48,99.9,52.95,98.8,73.54,14.98,79.65,33.74,25,74.98,49.83,81.49,189279,573.6,
95.59,43.37,313.65,571.58,129.72,73.51,16.8,56.65,100.16,53.04,100.13,73.54,15.05,79.22,34.05,25.17,75.68,50.21,82.27,194305,582.27,
95.12,43.08,312.32,563.52,127.99,72.69,17.01,56.06,99.82,52.64,98.2,73.34,15,79.41,32.82,24.97,75.2,49.66,80.99,192499,573.14,
94.96,42.74,313.89,564.82,129.11,72.47,16.9,56.23,100.71,52.67,98.98,74.2,15.2,81.09,32.85,24.93,75.36,49.13,81.5,193700,574.49,
94.48,43.23,311.45,561.82,128.95,73.17,16.42,55.91,99.93,52.26,98.27,73.95,15.12,80.14,32.68,24.86,74.06,48.65,79.26,194001,571.81,
94.74,43.2,316.8,567.21,130.9,73.06,16.86,56.34,101.08,52.62,99.74,74.67,15.2,80.95,32.6,25.03,75.17,48.7,80.12,196253,577.94,
95.99,43.2,318.33,566.33,131.95,73.44,17.09,56.32,101.16,52.65,98.73,74.36,15.22,81.48,33.02,25.23,75.63,48.67,79.87,198000,577.25,
95.97,43.52,319.32,561.19,133.06,72.83,17.27,56.35,100.63,52.58,98.49,74.22,15.21,81.42,33.13,25.15,75.63,48.84,80.22,199562,572.12,
97.24,44.08,326.28,573.21,133.08,73.77,17.57,56.72,101.74,52.86,99.09,74.03,15.25,81.48,34.1,25.2,76.3,48.92,81.51,199609,584.56,
97.5,44.27,333.21,573.08,135.3,74.3,16.91,56.98,102.02,53.13,99.09,74.39,15.32,81.95,33.94,24.54,76.05,49,81.82,202850,584.65,
97.98,44.79,333.63,571.91,134.34,73.63,16.82,56.75,101.17,52.55,99.03,73.9,15.22,81.78,34.17,24.43,75.21,48.8,81.47,201227,583.71,
99.16,45.11,334.53,580.57,135.03,74.59,16.72,57.23,102.7,53.58,99.52,74.49,15.45,82.44,34.41,24.63,76.77,48.78,82.34,202419,592.7,
100.53,45.33,335.13,585.25,134.9,75.29,16.78,57.56,102.96,53.75,99.49,74.88,15.45,82.69,34.34,24.64,76.4,48.7,83.47,202600,597.11,
100.57,44.95,335.78,582.89,134.91,74.81,17.05,57.64,103.21,54.05,99.7,74.96,15.52,82.81,34.5,24.71,76.39,48.82,83.43,202388,595.41,
100.58,45.22,332.91,581.77,136.81,74.57,16.77,58.5,104.19,53.94,99.28,75.55,16.16,83.28,35.15,24.89,76.99,48.87,83.77,205159,592.42,
101.32,45.15,331.59,580.97,135.75,74.57,16.74,58.49,103.1,54.02,98.5,75.73,16.13,83.39,34.94,24.65,76.48,48.64,83.78,203532,592.54,
101.54,45.17,334.02,578.61,136.23,75.02,16.73,59.34,103.23,54.01,98.75,75.69,16.29,83.54,34.81,24.7,76.43,49.15,84.24,204579,590.57,
100.89,45.01,341.83,576.28,136.25,75.96,16.74,59.74,103.44,54.18,99.64,75.52,16.33,83.38,34.8,24.81,77,49.25,85.12,204577,588.12,
102.13,44.87,343.18,569.44,136.52,74.63,16.54,59.59,103.22,54.28,99.53,75.85,16.2,83.31,34.79,24.8,76.64,49.43,86.38,204741,583,
102.25,44.88,340.02,567.64,136.11,73.86,16.32,59.16,102.95,53.65,99.57,75.9,16.01,83.03,34.65,24.85,76.16,49.41,86.34,204040,580.32,
102.5,45.43,339.04,570.04,137.25,74.82,16.22,59.45,103.73,53.13,99.46,75.5,16.09,83.11,34.92,24.99,75.81,49.82,86.68,205880,582.36,
