AAPL,MSFT,AMZN,GOOG,BRK.B,FB,TCEHY,JPM,JNJ,V,XOM,WMT,BAC,PG,INTC,CSCO,MA,VZ,UNH,BRK.A,GOOGL,
64.39,35.59,266.88,433.81,114.07,23.85,7.87,54.49,84.71,45.05,91.46,75.69,13.55,77.66,25.24,24.38,57.59,48.66,62.8,170911,433.82,
64.19,34.99,265.7,429.55,113.42,23.52,7.8,54.04,84.1,45.05,90.79,75.94,13.36,77.37,25.36,24.36,56.82,48.84,62.36,169850,429.55,
63.59,34.78,267.17,429.85,111.51,22.9,7.67,53.03,83.68,44.31,89.65,75.25,13.09,76.66,24.7,24.32,55.96,48.3,61.75,167400,429.85,
62.64,34.96,267.83,432.32,113.1,22.97,7.78,53.5,84.46,44.84,90.23,75.63,13.2,76.82,24.65,24.55,56.5,49.97,61.92,169877,432.32,
63.12,35.67,276.87,439.86,115.31,23.29,7.72,54.27,84.91,44.99,91.45,76.33,13.38,77.75,24.59,24.49,56.63,50.24,62.57,172900,439.86,
62.7,35.47,281.07,445.1,115.15,24.33,7.86,54.36,85.14,45.58,91.12,75.75,13.3,78.07,25.01,24.36,56.58,50.53,63.68,172875,445.11,
62.51,34.84,274.78,439.9,113.51,24.03,7.84,53.49,84.69,44.92,90.46,75.25,13.12,78.12,24.71,24.07,56.04,50.18,63.93,170150,439.91,
61.74,35,271.67,435.98,112.95,23.77,7.79,53.18,83.74,44.79,89.74,74.84,13.06,77.6,24.46,23.99,55.8,49.9,63.83,169195,435.99,
62.28,34.72,275.79,438.5,114.99,23.73,7.79,54.17,84.91,45.56,91.33,75,13.21,78.43,24.99,24.35,57.37,50.64,64.15,172604,438.5,
61.44,34.4,273.99,437.51,114.16,23.63,7.69,53.13,84.91,45.23,90.58,74.87,13.07,78.03,24.92,24.09,57.12,51.07,63.8,171259,437.52,
61.71,35,278.06,443.12,114.92,24.02,7.73,53.85,85.63,45.59,91.51,74.95,13.21,78.96,25.1,24.7,57.82,50.71,64.37,172710,443.13,
61.68,34.98,281.76,450.31,115.17,24.21,7.75,54.11,86.36,46,91.93,75.73,13.27,79.04,25.47,24.82,58.44,51.55,65.68,172581,450.31,
60.43,34.59,278.16,450.34,113.84,24.31,7.63,53.55,84.86,45.66,91,74.46,13.19,77.61,25,24.68,58.64,50.05,65.26,170952,450.34,
59.55,33.49,273.44,442.37,111.41,23.9,7.29,52.48,82.62,44.62,89.05,73.03,12.89,75.25,24.19,24.44,57.27,48.96,63.8,167900,442.37,
59.07,33.27,273.36,440.46,112.38,24.53,7.37,51.96,83.2,44.88,89.48,73.51,12.69,77.43,24.2,24.48,57.33,49.52,63.9,168200,440.47,
57.51,33.72,270.61,434.89,110.71,23.94,7.09,50.92,84.61,44.57,88.48,74.2,12.3,76.58,23.58,24.06,56.26,49.12,64.65,166439,434.89,
57.52,33.67,272.09,433.1,112.07,24.25,7.43,52.08,85.35,45.12,89.11,74.37,12.67,76.69,23.88,24.01,56.46,50.44,63.73,168314,433.1,
56.87,34.35,277.57,436.82,112.91,24.16,7.54,52.5,86.99,45.66,89.8,75.01,12.76,77.4,24.01,24.39,57,50.66,64.78,169360,436.83,
56.25,34.62,277.55,438.53,113,24.66,7.74,53.15,86.71,46.07,90.04,75.26,13.01,77.67,24.05,24.63,57.07,51,66.09,169326,438.54,
56.65,34.54,277.69,440.18,111.92,24.88,7.79,52.79,85.86,45.69,90.35,74.49,12.86,76.99,24.23,24.34,57.45,50.34,65.48,168600,440.19,
