AAPL,MSFT,AMZN,GOOG,BRK.B,FB,TCEHY,JPM,JNJ,V,XOM,WMT,BAC,PG,INTC,CSCO,MA,VZ,UNH,BRK.A,GOOGL,
77.38,41.42,342.99,565.61,124.88,62.62,14.62,60.67,97.94,53.68,97.73,76.77,17.34,80.34,25.99,23.1,74.81,47.75,81.84,187213,567.45,
77.51,41.35,341.96,565.45,124.47,62.72,14.55,60.48,98.23,53.67,97.95,77.18,17.23,80.13,25.89,22.99,74.7,47.82,81.61,186759,567.55,
76.97,41.01,333.62,568.18,124.31,59.49,14.07,60.66,98.26,53.75,97.93,77.46,17.15,80.1,26.41,23.09,74.53,48.12,82.25,186287,571.5,
75.97,39.87,323,541.65,123.9,56.75,13.25,59.81,98.42,51.93,97.36,77.31,16.72,79.77,26.16,22.71,72.18,48.04,81.53,185753,545.25,
74.78,39.8,317.76,536.68,123.12,56.95,12.75,59,97.89,50.85,96.78,77.31,16.38,80.49,26.49,22.85,71.33,48.12,81.08,184700,540.63,
74.78,39.82,327.07,553.38,123.13,58.19,13.33,58.85,98.06,50.65,97.45,78.18,16.44,81.35,26.91,22.94,71.52,48.21,80.66,184640,557.51,
75.76,40.47,331.81,562.6,124.01,62.41,13.82,59.27,98.95,51.89,97.33,77.97,16.62,81.49,26.98,23.12,73.56,47.98,81.39,185897,567.04,
74.78,39.36,317.11,539.47,122.27,59.16,14.2,57.4,96.54,50.39,96.78,76.89,16.12,81.09,26.43,22.65,71.17,47.47,79.99,183402,546.69,
74.23,39.21,311.73,529.15,121.7,58.53,13.46,55.3,96.87,49.16,96.72,76.5,15.77,80.76,26.18,22.46,68.68,47.07,78.95,182759.5,537.76,
74.53,39.18,315.91,531.06,122.29,58.89,13.63,54.96,97.14,50.25,97.86,77.38,16,80.81,26.56,22.85,71.18,47.27,79.18,183212,545.2,
73.99,39.75,316.08,534.97,123.77,59.09,13.27,54.8,99.2,51.01,98.68,76.88,16.39,80.84,26.77,22.89,72.15,46.92,79.51,185640,548.7,
74.14,40.4,323.68,555.02,126,59.72,13.59,55.26,98.75,52.34,99.94,77.22,16.13,81.65,26.93,23.03,73.93,47.1,78.19,188900,563.9,
74.99,40.01,324.91,534.63,127.18,58.94,13.64,55.22,98.96,51.99,100.42,77.66,16.15,81.76,27.04,23.21,74.13,47.6,75.78,190639,543.34,
75.88,39.94,330.87,527.17,126.5,61.24,13.68,55.03,100,52.28,100.93,77.6,16.09,81.56,26.95,23.4,74.31,47.98,74.95,189482,539.37,
75.96,39.99,329.32,533.35,127.15,63.03,13.64,55.81,100.18,52.49,100.37,77.56,16.29,81.25,26.84,23.52,74.53,47.92,75.76,190720,545.5,
74.96,39.69,324.58,525.5,127.2,61.36,13.46,56.05,100.22,52.21,100.5,78.04,16.37,80.36,26.75,23.5,73.36,47.43,75.33,190800,537.51,
81.11,39.86,337.15,523.72,126.95,60.87,13.57,56.19,99.96,52.35,100.01,78.31,16.34,81.15,26.75,23.33,74.35,46.28,76.59,190500,534.44,
81.71,39.91,303.83,514.77,127.26,57.71,13.14,55.7,99.79,49.73,100.41,78.62,15.95,81.41,26.26,23,70.66,45.94,75.66,190686,523.1,
84.87,40.87,296.58,515.73,127.7,56.14,12.92,55.49,101.34,50.36,101.17,79.76,14.95,82.94,26.33,23.02,71.24,46.6,75.74,191400,522.98,
84.62,40.51,300.38,526.26,128.49,58.15,13.26,56.1,101.03,50.67,101.45,79.67,15.24,82.44,26.48,23.16,72.03,46.77,75.2,192545,536.33,
84.3,40.4,304.13,525.22,128.85,59.78,12.44,55.98,101.29,50.65,102.41,79.71,15.14,82.55,26.69,23.11,73.55,46.73,75.04,193275,534.88,
