AAPL,MSFT,AMZN,GOOG,BRK.B,FB,BABA,TCEHY,JPM,JNJ,V,XOM,WMT,BAC,PG,INTC,CSCO,MA,VZ,UNH,BRK.A,GOOGL,
116.15,62.58,753.67,786.14,163.83,116.86,88.6,24.45,87.23,115.84,79.5,90.89,68.66,22.53,84.2,36.6,30.54,105.39,54.58,161.45,245850,808.01,
116.02,62.3,757.18,786.9,164.08,118.69,90.51,24.55,86.91,115.65,80.15,89.89,69.06,22.95,84.5,36.41,30.1,106.39,54.52,161.91,246599.99,807.77,
116.61,62.3,780.45,794.02,163.3,120.67,94.37,25.08,86.11,116.86,81.09,88.55,69.21,22.68,85.06,36.35,30.17,106.99,54.64,162.18,244851.5,813.02,
117.91,62.84,795.99,806.15,163.41,123.41,93.89,25.2,86.12,116.3,82.21,88.5,68.26,22.68,85.03,36.48,30.23,107.76,53.26,162.41,245394,825.21,
118.99,62.64,796.92,806.65,162.02,124.9,94.72,25.28,86.18,116.28,81.75,87.04,68.71,22.55,84.4,36.61,30.18,107.55,52.68,161.95,243111,827.18,
119.11,62.62,795.9,804.79,161.47,124.35,96.75,25.91,86.43,116.16,81.31,85.93,68.23,22.94,83.49,36.54,30.38,107.32,52.76,161.58,242077,826.01,
119.75,63.19,799.02,807.91,162.23,126.09,96.94,25.96,87.08,114.73,81.8,86.81,68.53,23.07,83.75,36.95,30.15,107.81,52.46,161.89,243160,829.86,
119.25,62.61,813.64,806.36,161.41,126.62,95.9,25.67,86.24,114.62,81.37,86.34,67.97,22.92,83.84,36.71,30.04,108.71,52.68,162.36,242849.9,829.53,
119.04,62.7,817.14,807.88,161.9,128.34,96.27,25.8,86.7,114.6,81.17,86.35,67.13,23.01,84.01,36.79,30.07,108.7,52.55,161.8,242500.05,830.94,
120,62.53,809.72,804.61,159.64,127.87,96.12,25.55,83.55,114.87,81.26,87.36,68.42,22.05,85.21,36.8,29.99,108.4,52.74,160.66,239166,827.46,
119.99,62.5,807.48,806.07,160.49,127.92,96,25.73,83.94,114.7,81.59,86.28,68.11,22.63,84.93,36.76,30.03,108.66,52.25,157.74,240700,829.02,
119.78,62.3,809.04,802.18,159.41,127.55,96.17,25.62,83.3,114.2,81.73,84.73,67.62,22.53,84.7,36.57,29.98,108.53,52.36,158.7,239120,824.37,
120,62.74,808.33,805.02,160.21,127.04,96.06,25.45,83.67,114.15,81.84,85.89,67.18,22.64,87.45,36.94,30.1,109.96,52.72,158.66,240280,828.17,
120.08,62.96,817.88,819.31,158.81,128.93,98.41,25.6,83.71,113.91,82.15,84.97,66.65,22.56,86.96,36.77,30.27,109.63,52.41,159.07,238100.05,844.43,
119.97,63.52,822.44,823.87,160.72,129.37,101.43,25.76,84.72,111.76,83.23,85.09,67.4,22.95,87.86,37.62,30.6,109.92,50.12,160.43,240940.05,849.53,
121.88,63.68,836.52,835.67,164.25,131.48,104.06,26.12,86.03,112.8,83.9,85.34,66.89,23.37,87.16,37.8,30.7,110.19,49.77,161.24,246340,858.45,
121.94,64.27,839.15,832.15,164.92,132.78,102.75,26.51,86.75,111.84,83.24,85.6,66.73,23.44,86.6,37.56,30.74,109.38,49.12,162.75,247640,856.98,
121.95,65.78,835.77,823.31,164.4,132.18,102.07,26.29,86.93,113.38,83.77,85.51,65.66,23.36,86.72,37.98,30.98,109.84,49.6,162.99,246999.99,845.03,
121.63,65.13,830.38,802.32,164.8,130.98,101.02,26.19,86.03,113.13,83.7,84.86,66.42,22.95,86.75,37.42,30.83,109.3,49.37,162.09,246500.01,823.83,
121.35,64.65,823.48,796.79,164.14,130.32,101.31,26.19,84.63,113.25,82.71,83.89,66.74,22.64,87.6,36.82,30.72,106.33,49.01,162.1,245980.35,820.19,
