AAPL,MSFT,AMZN,GOOG,BRK.B,FB,BABA,TCEHY,JPM,JNJ,V,XOM,WMT,BAC,PG,INTC,CSCO,MA,VZ,UNH,BRK.A,GOOGL,
128.95,48.66,422.87,537.9,143.36,78.99,81.17,20.45,63.61,100.13,65.77,88.85,78.6,16.11,80.29,33.42,29.13,91.25,50.41,113.2,215800,551.16,
128.7,48.24,423.04,540.78,146.15,78.81,80.59,20.56,64.72,100.35,65.58,89.11,79.18,16.44,80.35,33.43,29.17,91.18,50.52,114.56,219290,552.84,
125.8,47.6,421.19,530.8,144.56,77.56,79.54,20.1,64.4,99.5,65.96,88.61,78.13,16.35,80.07,32.64,28.89,90.78,50.09,113.37,218000.14,543.04,
125.01,46.28,419.1,524.22,143.78,78.1,80,19.86,63.92,99.17,65.67,88.19,77.65,16.29,80.4,32.22,28.97,90.57,49.64,113.49,216620,535.08,
125.26,46.7,426.88,530.7,145.31,78.43,86,19.93,64.5,99.66,66.58,87.6,78.03,16.24,80.2,32.24,28.81,92.05,49.73,114.76,218720,542.04,
127.62,47.75,433.69,538.22,148.31,78.51,87.06,20.19,65.49,101.47,69.47,88.99,78.53,16.45,80.96,32.8,29.23,93.51,50.14,115.68,222880,548.95,
126.32,47.37,432.85,535.7,146.17,78.01,86.72,20.35,65.45,101.03,69.02,86.78,78.1,16.49,80.27,32.69,29.21,92.52,49.8,114.77,219550,545.78,
125.87,47.35,431.02,529.04,144.79,77.46,86.77,20.07,65.36,100.47,68.69,87.02,78.96,16.43,79.95,32.25,29.23,92.39,49.62,114.64,217800,538.73,
126.01,47.63,426.87,529.62,144.26,78.44,87.53,20.9,65.52,100.55,68.65,86.56,78.16,16.47,79.7,32.64,29.35,92.52,49.73,115.86,217200,539.49,
128.95,48.72,432.28,538.4,145.78,81.37,88.4,20.93,66.05,101.83,70,86.97,78.72,16.52,80.57,32.97,29.05,93.84,49.97,118.53,219270,549.2,
128.77,48.3,426,533.85,145.26,80.42,88.46,21.03,65.88,102.3,69.57,87.35,79.24,16.35,81.05,32.99,29.55,93.22,49.79,119.33,218640,546.49,
130.19,48.01,425.24,532.3,145.83,80.88,87.11,20.89,66.42,103.42,70,86.85,79.92,16.51,80.74,33.41,29.76,93.08,49.6,119.8,219125.33,546.67,
130.07,47.58,421.71,537.36,146.54,80.63,88.21,20.76,67.01,103.96,70.16,86.99,76.43,16.77,80.83,33.15,29.74,93.8,49.55,120.55,220400,549.28,
130.06,47.58,423.86,539.27,145.94,80.55,90.7,20.5,66.48,103.6,69.78,87.13,75.9,16.74,80.48,33.37,29.62,93.24,49.69,121.24,219526,552.51,
131.39,47.42,431.63,542.51,145.27,80.48,93.88,20.39,66.65,102.42,69.37,87.21,76.11,16.73,80.41,33.55,29.43,92.9,49.9,120.46,218279.99,556.81,
132.54,46.9,427.63,540.11,144.6,80.54,93.27,20.69,66.47,101.35,69.62,86.52,75.86,16.75,79.95,33.45,29.26,92.69,49.61,119.59,217000,554.52,
129.62,46.59,425.47,532.32,143.63,79.33,92.52,20.32,65.73,100.82,68.54,85.35,74.9,16.5,79.14,33.1,28.95,91.89,49.42,118.24,215700,547.19,
132.04,47.61,431.42,539.79,144.75,80.55,92.6,20.43,66.47,101.13,69.49,85.11,75.19,16.74,79.39,33.71,29.31,92.59,49.57,119.45,217440,554.25,
131.78,47.45,426.57,539.78,144.74,80.15,90.95,20.07,66.2,101.15,69.56,85.11,74.84,16.67,79.33,34.01,29.35,92.82,49.54,119.62,217580,554.18,
130.28,46.86,429.23,532.11,143,79.19,89.32,19.96,65.78,100.14,68.68,85.2,74.27,16.5,78.39,34.46,29.31,92.26,49.44,120.21,214800,545.32,
