AAPL,MSFT,AMZN,GOOG,BRK.B,FB,TCEHY,JPM,JNJ,V,XOM,WMT,BAC,PG,INTC,CSCO,MA,VZ,UNH,BRK.A,GOOGL,
78.75,38.45,392.3,527.24,115.33,47.06,11.6,56.98,94.28,51.28,93.52,81.11,15.73,83.34,23.7,21.09,75.61,49.26,74.16,172940,527.24,
80.9,38.31,384.66,526.63,114.79,46.73,11.43,56.86,93.97,50.44,94.39,81.21,15.54,83.83,23.55,21.26,75.41,49.6,73.73,172131,526.63,
80.71,38.94,385.96,529.09,115.3,48.62,11.44,57.19,93.63,50.69,94.67,80.22,15.63,83.35,23.74,21.25,74.82,49.37,73.65,173500,529.09,
81.13,38,384.49,528.66,114.96,48.34,11.56,55.82,92.97,50.43,94.13,79.44,15.43,82.69,24.26,20.91,75.15,48.91,72.75,173000,528.67,
80,38.36,386.95,534.93,116.66,47.94,12.02,56.06,94.44,50.47,95.65,79.94,15.56,84.52,24.82,21.28,75.85,49.48,73.5,174940,534.93,
80.92,38.71,384.89,539.07,117.14,48.84,12.01,56.51,94.44,50.4,95.84,79.95,15.58,84.78,24.93,21.22,75.89,49.57,73.72,175735,539.07,
80.79,38.11,387.78,542.33,115.61,50.25,12.09,56.7,94.14,49.86,95.71,79.08,15.56,83.65,24.82,21.21,76.36,49.05,74.05,173470,542.33,
80.19,37.61,382.19,538.64,114.51,49.38,12.05,56.07,93.11,51.42,94.26,79.09,15.25,84.02,24.42,20.88,79.06,48.49,72.14,171630,538.65,
80.08,37.22,381.25,534.98,114.38,51.83,11.99,56.31,91.16,50.86,95.36,78.5,15.25,82.3,24.47,20.51,78.25,48.13,71.01,171500,534.98,
79.2,36.69,384.24,530.39,114.06,53.32,11.95,56.17,91.35,51.84,95.31,78.08,15.18,82.37,24.29,20.24,78.8,47.84,70.48,171100,530.4,
79.64,36.88,388.97,536.49,113.96,53.81,12.32,56.42,91.37,51.94,97.22,77.74,15.24,81.69,24.45,20.68,79.68,48.26,71.06,171139,536.49,
79.28,36.52,387.65,534.92,113.63,54.86,12.03,55.72,90.66,53.31,96.75,77.25,15.18,80.91,24.66,20.92,79.8,47.56,70.73,170420,534.93,
78.68,36.58,395.96,542.37,116.14,55.57,12.24,57.24,92.64,53.84,99.54,77.94,15.69,82.38,25.15,21,80.21,48.47,72.38,174250,542.38,
77.78,36.25,395.19,543.11,116.36,55.05,12.04,57.23,91.98,54.02,99.43,77.24,15.75,81.9,25.14,21.07,80.54,48.43,72.39,174649,543.11,
78.43,36.8,402.2,550.3,115.6,55.12,12.04,57.7,92.09,53.99,98.68,77.43,15.6,81.84,25.06,21.13,81.71,48.08,73.35,175600,550.31,
81.44,36.62,402.92,557.54,117.04,57.77,12.12,58.24,92.03,54.51,98.51,77.87,15.69,81.31,25.32,21.57,81.51,48.58,74.35,175898,557.55,
81.1,37.08,399.2,555.91,117.43,57.96,12.19,58.25,92.06,54.68,99.22,78.01,15.7,81.31,25.43,21.69,81.32,48.98,74.13,176010,555.92,
80.56,37.44,404.39,558.73,117.99,57.73,12.21,58.2,92.54,55.05,100.9,78.39,15.65,81.76,25.7,21.8,82.19,49.18,74.85,176900,558.73,
80.01,37.29,398.08,559.2,118,55.44,12.54,58.14,92.35,54.92,101.51,78.47,15.67,82.01,25.6,22.02,82.79,49.17,74.69,177160,559.2,
79.22,37.29,393.37,554.73,118.04,53.71,12.87,57.95,92.3,55.23,100.31,78.63,15.54,82,25.85,22.25,83.33,49.15,74.78,177069.2,554.73,
80.15,37.41,398.79,560.35,118.56,54.65,12.88,58.48,91.59,55.67,101.2,78.69,15.57,81.41,25.96,22.43,83.55,49.14,75.3,177900,560.36,
