AAPL,MSFT,AMZN,GOOG,BRK.B,FB,TCEHY,JPM,JNJ,V,XOM,WMT,BAC,PG,INTC,CSCO,MA,VZ,UNH,BRK.A,GOOGL,
61.27,28.61,261.61,400.59,103.47,25.53,6.26,47.83,81.93,41.84,90.77,75.43,12.15,77.7,21.43,20.83,53.72,49.22,58.97,155253.47,400.6,
61.4,28.8,263.32,406.51,105.14,25.42,6.25,48.28,82.69,41.99,90.58,76.02,12.15,78.96,21.46,21.22,54.06,49.5,61.74,157550,406.52,
61.71,28.56,259.03,403.1,104.24,26.25,6.16,46.85,82.07,41.19,89.93,76,11.81,78.12,21.05,21.2,53.33,48.99,61.67,156400,403.1,
61.1,28.6,259.08,397.53,105.13,27.07,6.17,47.49,82.41,41.62,89.77,76.2,11.94,78.54,21.14,21.04,53.42,49.3,62.03,157557,397.54,
60.46,28.7,255.48,391.52,104.15,27.39,6.09,47.91,82.04,41.29,89.01,76.39,11.97,78.23,20.94,20.61,53.16,49.56,62.1,156330,391.53,
60.89,28.59,258.95,387.42,105.26,26.85,6.2,48.58,81.11,41.57,88.6,77.29,12.21,78.79,21.09,20.57,53.44,49.43,61.89,158000,387.42,
61,29.61,261.14,388.82,105.12,26.59,6.44,48.68,81.52,41.19,88.77,78.12,12.25,78.26,21.75,20.97,52.76,49.36,62.18,157570,388.83,
62.24,30.28,264.77,395.09,106.33,27.57,6.5,49.25,82.02,41.75,88.68,77.37,12.32,79.24,22.26,21.47,53.44,49.86,62.41,159400,395.09,
62.05,28.94,269.85,395.19,106.73,28.02,6.47,49.31,82.32,41.91,89.22,77.79,12.27,79.67,21.83,21.69,54.12,50.51,62.98,159935,395.2,
61.4,28.79,272.87,395.02,107.04,27.4,6.4,49.01,82.74,41.44,88.99,78.56,12.17,80.08,21.68,21.54,53.3,50.86,63.03,160525,395.03,
59.98,28.69,267.72,390.96,104.52,26.52,6.26,47.93,81.71,40.32,86.49,78.47,11.98,79.65,21.38,21.05,52.17,50.64,61.59,157000,390.97,
60.89,28.97,272.34,396.68,107.16,26.92,6.3,48.49,83.44,41.18,86.61,78.68,12.28,80.1,21.92,21.16,53.16,50.46,62.81,161000,396.69,
57.54,28.83,267.4,391.28,105.17,26.63,6.33,46.79,83.9,40.56,86.08,78.51,11.7,79.06,21.93,20.63,52.58,49.54,62.03,157700,391.28,
56.01,28.79,259.42,382.95,103,25.69,6.35,46.64,83.18,40.35,86.62,77.16,11.44,79.87,22.24,20.58,52.1,50.91,59.69,154526,382.96,
55.79,29.77,260.32,399.93,105.28,25.73,6.53,47.23,84.49,40.99,87.45,78.29,11.66,81.43,22.44,20.46,52.2,52.25,60.04,157861,399.94,
56.95,30.83,263.55,400.05,105.02,25.97,6.56,47.35,84.83,40.88,88.09,77.97,11.72,81.4,22.88,20.59,52.21,52.19,59.22,157342,400.06,
58.02,30.6,268.9,403.95,106.68,25.98,6.51,48.17,85.45,41.42,89.3,79.09,12.07,82.54,23.38,20.91,53.1,52.32,58.54,159980,403.95,
57.92,31.76,268.78,406.72,106.75,26.11,6.56,48.72,84.39,41.77,89.43,78.03,12.31,77.12,23.66,20.39,53.2,51.8,58.79,159950,406.73,
58.34,31.94,274.7,404.55,107.47,26.14,6.6,49,85.22,42.19,88.07,78.65,12.44,76.58,23.38,20.64,53.51,53.22,59.34,161025,404.55,
59.6,31.79,254.81,400.7,107.1,26.85,6.73,48.88,85.12,41.81,88,79.04,12.42,77.1,23.4,20.67,53.53,53.63,59.48,160618,400.71,
61.45,32.61,249.74,409.53,106.61,26.98,6.84,48.92,85.58,41.98,88.21,78.39,12.38,77.68,23.76,20.98,53.9,53.46,60.01,159700,409.53,
63.25,33.1,253.81,412.28,106.32,27.77,6.9,49.01,85.23,42.12,88.99,77.72,12.31,76.77,23.95,20.92,55.29,53.91,59.93,159000,412.29,
