AAPL,MSFT,AMZN,GOOG,BRK.B,FB,BABA,TCEHY,JPM,JNJ,V,XOM,WMT,BAC,PG,INTC,CSCO,MA,VZ,UNH,BRK.A,GOOGL,
172.26,85.95,1189.01,1065,197.22,181.42,183.65,54.5,107.95,139.23,114.51,85.03,98.59,29.9,90.65,46.85,38.86,151.91,53.53,221.16,295755.01,1073.21,
172.23,86.35,1204.2,1082.48,199.79,184.67,184,54.79,108.06,140.56,115.65,86.7,99.45,29.8,90.54,45.26,39.17,153.82,52.43,223.48,299904.98,1091.52,
173.03,87.11,1209.59,1086.4,200.69,184.33,185.71,55.54,109.04,140.55,116.08,86.82,99.54,30.19,91.18,44.43,38.99,155.81,52.6,224.45,300516,1095.76,
175,88.19,1229.14,1102.23,201.42,186.85,190.7,55.87,108.34,141.71,118.86,86.75,100.13,30.33,91.24,44.74,39.53,159.04,52.48,228.73,301525,1110.29,
174.35,88.28,1246.87,1106.94,202.74,188.28,190.33,56.47,108.5,141.89,119.34,87.14,101.61,30.12,91.72,44.74,39.94,159.27,52.39,224.76,304180,1114.21,
174.33,88.22,1252.7,1106.26,203.02,187.87,190.8,57.06,109.05,144.14,119.11,86.77,100.39,30.27,91.05,43.62,39.69,159.5,51.61,225.88,304500,1112.79,
174.29,87.82,1254.33,1102.61,205.61,187.84,189.79,56.02,110.25,143.97,118.98,86.08,99.67,30.55,90.47,42.5,39.91,159.86,51.69,224.2,308350,1110.14,
175.28,88.08,1276.68,1105.52,206.69,187.77,188.75,55.35,110.84,144.79,119.84,86.93,100.02,30.66,90.15,43.41,40.1,160.92,52.11,225.39,309950,1112.05,
177.09,89.6,1305.2,1122.26,210.16,179.37,187.79,56.92,112.67,145.76,120.09,87.52,100.87,31.19,89.61,43.24,40.87,162.33,51.86,228.64,315225,1130.65,
176.19,88.35,1304.86,1121.76,210.29,178.39,182.4,56.4,112.27,146.86,120.39,86.97,100.69,31.24,90.22,43.14,40.54,162.29,51.66,232.9,315261,1130.7,
179.1,90.14,1295,1131.98,214.16,177.6,183.83,57.92,112.99,146.98,121.98,88,102.7,31.18,91.2,44.39,41.2,164.32,51.72,238.43,321469,1139.1,
179.26,90.1,1293.32,1129.79,213.19,179.8,184.4,57.42,113.26,146.92,123.11,87.43,104.3,31.48,90.18,44.48,41.3,165.48,51.55,243.16,320000,1135.97,
178.46,90,1294.58,1137.51,213.25,181.29,184.05,58.2,113.01,147.36,122.7,87.15,104.59,31.72,91.07,44.82,41.29,166.83,51.91,243.35,320238,1143.5,
177,91.61,1327.31,1155.81,215.97,185.37,184.02,59.48,114.33,148.14,124.33,88.25,105.45,31.94,91.89,45.75,41.66,168.28,53.46,243.56,324064,1164.16,
177.04,91.9,1362.54,1169.97,215.56,189.35,192.28,60.85,114.21,141.83,124.65,88.3,105.9,31.92,89.05,46.06,42.1,167.19,53.23,245.21,322885,1176.17,
174.22,91.82,1357.51,1164.24,215.61,186.55,195.53,60.1,115.67,142.07,124.55,88.53,105.79,32.09,88.31,45.51,42.17,167.01,54.22,244.85,323480,1171.29,
171.11,92.33,1377.95,1170.37,215.1,187.48,198.33,59.04,115.7,144.4,125.22,88.37,106.6,32.09,88.34,45.3,41.9,168.59,54.29,245.18,322850,1182.14,
171.51,94.06,1402.05,1175.84,217.19,190,205.22,60.96,116.32,145.33,126.32,89,108.39,32.2,87.73,50.08,42.56,170.34,54.72,248.47,325915,1187.56,
167.96,93.92,1417.68,1175.58,215.46,185.98,203.01,59.82,116.2,143.68,124.84,88.01,109.55,32.28,86.86,49.98,42.85,168.55,54.13,247.41,323499.99,1186.48,
166.97,92.74,1437.82,1163.69,214.41,187.12,199.66,58.43,115.11,142.43,123.55,86.78,107.73,31.88,86.95,48.79,42.25,167.19,53.9,236.65,323000,1177.37,
167.43,95.01,1450.89,1169.94,214.38,186.89,204.29,59.17,115.67,138.19,124.23,87.3,106.6,32,86.34,48.14,41.54,169,54.07,236.78,323375.05,1182.22,
