AAPL,MSFT,AMZN,GOOG,BRK.B,FB,BABA,TCEHY,JPM,JNJ,V,XOM,WMT,BAC,PG,INTC,CSCO,MA,VZ,UNH,BRK.A,GOOGL,
126.6,44.45,437.39,521.84,137.52,86.91,82.46,19.97,68.07,98.47,67.85,82.37,71.88,17.22,79.72,30.18,27.35,94.5,47,123.38,206365,543.3,
126.44,44.4,437.71,523.4,137.39,87.29,82.07,20.19,67.52,98.44,68.24,83.14,71.86,17.03,79.93,30.56,27.33,94.24,47.2,121.81,205923,547.34,
126,44.39,436.04,522.86,136.89,87.55,80.23,19.01,67.33,98.2,68.12,82.53,72.53,16.94,80.05,30.04,27.22,94.52,47.04,122.16,205500.01,545.62,
125.69,44.3,436.72,525.02,138.44,87.22,79.62,18.42,66.8,98.92,67.77,82.87,73.79,16.69,81.72,29.9,27.36,93.89,47.25,120.7,208150,550.03,
122.57,44.24,429.7,516.83,136.9,85.65,77.94,17.2,65.43,97.77,66.73,81.97,73.06,16.25,80.99,29.5,26.99,92.49,46.58,118.78,206186,541.7,
120.07,44.52,434.39,520.68,138.25,85.88,79.04,18.64,66.11,98.4,67.05,81.6,72.78,16.48,80.66,28.93,26.91,93.04,46.26,119.34,207740.05,544.65,
123.28,44.61,443.51,530.13,139.73,87.95,80.3,19.19,67.05,99.53,68.42,82.22,73.12,16.7,80.95,29.17,27.28,94.62,47,122.15,209800,556.11,
125.66,45.54,455.57,546.55,141.39,90.1,81.86,19.45,68.09,100.27,69.52,82.42,73.88,17.02,81.91,29.73,27.79,95.5,47.2,122.45,211720,571.73,
125.61,45.62,465.57,561.1,141.12,89.68,81.5,19.72,69.04,99.78,70.1,83.11,73.79,17.13,82.04,29.65,28.03,95.27,47.41,125,211767,584.18,
126.82,45.76,461.19,560.22,142.61,89.76,80.73,19.11,69.19,100.42,70.02,82.76,73.65,17.68,82.15,29.69,28.11,95.25,47.33,125.86,213800,583.96,
128.51,46.66,475.48,579.85,143.92,90.85,81.53,19.45,69.56,101.11,70.57,82.91,73.83,17.95,82.3,29.9,28.32,95.82,47.83,124.93,215950,601.78,
129.62,46.62,483.01,672.93,143.88,94.97,83.36,19.91,69.21,100.08,70.88,82.61,73.39,18.1,82.24,29.47,28.18,96.08,47.59,123.85,215960,699.62,
132.07,46.92,488.1,663.02,144.51,97.91,82.67,20.17,69.26,100.37,72.7,81.76,73.1,18.12,82.19,29.1,28.03,97.26,48.1,122.65,216480,692.84,
130.75,47.28,488,662.3,143.6,98.39,82.54,20.15,69.1,100.34,72.02,81.66,72.74,18.08,81.63,28.72,27.84,96.71,46.97,120.86,215796,695.35,
125.22,45.54,488.27,662.1,143.52,97.04,84.15,19.86,70.08,100.18,71.97,81.79,73.16,18.45,80.83,28.61,27.53,96.88,46.45,120.61,215380,695.1,
125.16,46.11,482.18,644.28,142.18,95.44,83.88,19.66,69.64,100.2,71.75,81.14,72.51,18.18,80.7,28.6,28.01,95.16,46.35,119.33,213520,674.73,
124.5,45.94,529.42,623.56,141.25,96.95,83.02,19.26,68.91,99.15,74.8,79.94,71.58,17.9,80.29,28.06,28.4,95.83,46.04,117.94,212032.32,654.77,
122.77,45.35,531.41,627.26,140.72,94.17,81.4,18.34,68.01,98.28,73.86,79.26,71.38,17.67,79.97,28.35,28.21,94.39,45.83,117.88,210725,658.27,
123.38,45.34,526.03,628,143.22,95.29,80.56,18.81,68.05,99.02,74.74,82.48,72.1,17.88,80.23,28.96,28.21,95.16,45.89,121.52,215091,659.66,
122.99,46.29,529,631.93,142.92,96.99,80.26,18.81,68.94,99.73,76.01,83.14,72.23,18.16,80.62,29.01,28.4,96.73,46.56,121.52,214320,661.43,
122.37,46.88,536.76,632.59,142.85,95.21,79.96,18.52,69.04,99.84,76.38,83.01,72.16,18.13,77.39,28.91,28.3,98.41,46.67,120.56,214745,664.56,
121.3,46.7,536.15,625.61,142.74,94.01,78.34,18.61,68.53,100.21,75.34,79.21,71.98,17.88,76.7,28.95,28.42,97.4,46.79,121.4,214000,657.5,
