AAPL,MSFT,AMZN,GOOG,BRK.B,FB,BABA,TCEHY,JPM,JNJ,V,XOM,WMT,BAC,PG,INTC,CSCO,MA,VZ,UNH,BRK.A,GOOGL,
130.54,47.23,430.92,533.99,143.35,80.29,90.78,19.97,66.08,100.04,69.11,85.13,74.73,16.55,78.85,33.91,29.18,92.56,49.22,119.86,215400,549.21,
129.96,46.92,430.99,539.18,143.03,80.44,90.51,20.2,66.02,99.98,69.04,85.14,74.53,16.72,78.54,33.27,29.08,93.17,49.14,117.75,214820,553.95,
130.12,46.85,436.59,540.31,143.19,82.44,90.79,20.48,66.7,100.09,68.95,84.95,74.89,16.93,78.56,32.73,29.09,93.5,49.08,118.35,214600,555.29,
129.36,46.36,430.78,536.7,141.37,82.05,90.59,20.24,66.33,99.23,68.21,84.22,74.15,16.78,78.15,32.31,28.61,92.57,48.1,116.65,212585.39,551.69,
128.65,46.14,426.95,533.33,140.76,82.14,90.71,20.07,67.42,98.59,68.37,84.28,73.06,17.19,77.43,31.84,28.58,92.62,47.23,116.53,211560,549.53,
127.8,45.73,423.5,526.83,139.52,80.67,88.29,19.86,66.89,97.96,67.68,84.85,72.61,17.08,77.71,31.3,28.28,91.9,47.44,116.91,210000,543.48,
127.42,45.65,425.48,526.69,139.63,80.67,87.58,19.99,67.18,98.21,67.95,84.58,72.47,17.31,78.9,31.25,28.24,92.09,47.34,116.99,209700,542.16,
128.88,46.61,430.77,536.69,140.86,82.16,88.9,20.02,68.26,98.88,69.63,85.21,72.93,17.59,79.54,31.82,28.66,94.17,47.47,118.55,211400,552.6,
128.59,46.44,432.97,534.61,141.36,81.83,87.21,20.11,68.52,99.24,69.64,85.09,72.94,17.49,79.41,31.85,28.86,94.5,47.76,119.32,211940,550.04,
127.17,45.97,429.92,532.33,140.29,81.53,86.63,20.22,68.25,98.35,69.33,84.02,72.43,17.49,78.87,31.32,28.54,93.77,47.25,117.65,210760,547.47,
126.92,45.48,423.67,527.2,139.4,80.71,86.12,19.84,67.99,97.49,68.57,83.72,71.93,17.47,78.12,31.39,28.48,93.3,47,118.98,209300,543,
127.6,45.83,427.26,528.15,139.71,81.06,86.09,19.87,68.37,98.36,69.01,84.68,72.35,17.55,79.1,31.64,28.71,94.15,47.42,121.55,209760,544.87,
127.3,45.97,427.81,529.26,139.97,81.79,86.8,19.89,68.14,98.73,68.75,84.73,72.73,17.37,80.08,31.95,28.93,94.45,47.27,119.74,210150,546.6,
127.88,46.72,439.39,536.73,142.67,82.91,86.75,20.05,68.78,100.36,69.5,85.48,72.98,17.38,80.82,32.38,29.21,96.05,47.77,120.89,214050,556.18,
126.6,46.1,434.92,536.69,140.96,82.51,85.74,19.91,68.08,99.86,68.69,85.21,72.74,17.17,80.54,32.07,29.03,94.81,47.46,120.33,212199.9,557.52,
127.61,46.23,436.29,538.19,141.53,84.74,85.68,20.23,68.96,100.09,69.09,85.17,72.79,17.47,80.45,32.26,28.94,95.42,47.53,120.25,212580,559.68,
127.03,45.91,445.99,540.48,141.33,87.88,85.08,20.5,69.75,99.78,69.42,85.07,72.57,17.67,79.79,32.09,28.79,95.7,47.77,122.74,211900,563.39,
128.11,45.64,440.84,537.84,140.09,88.86,85.17,21.07,69.02,99.33,68.86,84.68,72.38,17.49,79.51,31.91,28.51,95.51,47.29,119.17,210500,558.57,
127.5,45.65,440.1,535.23,139.45,87.98,85.24,20.85,68.65,99.12,68.62,83.93,71.86,17.37,79.39,31.99,28.4,94.46,47.44,122.33,209600,557.95,
126.75,45.26,438.1,531.69,139.78,88.01,83.28,20.43,68.95,99.64,68.75,83.86,72.12,17.41,79.34,31.02,28.28,94.51,47.62,123.25,209900,553.06,
124.53,44.37,429.86,521.52,136.51,85.8,81.07,19.48,67.2,97.68,66.72,82.82,71.42,16.89,78.32,30.39,27.54,92.52,46.77,121.19,205000,541.25,
125.43,44.15,434.09,520.51,136.11,85.77,82.27,20.05,67.76,97.46,67.15,83.2,70.93,17.02,78.24,30.42,27.46,93.48,46.61,122,204850,540.04,
