AAPL,MSFT,AMZN,GOOG,BRK.B,FB,BABA,TCEHY,JPM,JNJ,V,XOM,WMT,BAC,PG,INTC,CSCO,MA,VZ,UNH,BRK.A,GOOGL,
143.7,65.55,891.51,838.55,166.87,142.28,108.09,29.06,87.52,124.69,89.36,82.07,71.83,23.59,89.68,36.16,33.58,112.24,49.18,165.59,250600,856.75,
144.77,65.73,906.83,834.57,166.86,141.73,107.52,29.21,87.31,124.68,88.78,82.37,72.01,23.44,89.91,36.28,33.41,112.09,49.31,164.97,250550,852.57,
144.02,65.56,909.28,831.41,165.83,141.85,107.44,29.39,86.19,124.8,89.03,82.53,71.65,23.17,89.97,36.22,33,112.07,49.02,165.37,248900.01,848.91,
143.66,65.73,898.28,827.88,166.47,141.17,108.04,29.52,86.48,125.05,89.09,83.01,71.43,23.26,89.4,36.03,33.08,112.43,48.43,165.34,250290,845.1,
143.34,65.68,894.88,824.67,166.17,140.78,108.99,29.32,86.18,124.92,88.74,82.76,72.9,23.16,89.23,36.03,32.96,112.24,48.66,166.02,249465,842.1,
143.17,65.53,907.04,824.73,166.35,141.04,111.7,29.2,85.88,124.34,88.86,83.13,73.06,23.02,89.49,35.8,33.01,112.32,48.54,165.48,250399,841.7,
141.63,65.48,902.36,823.35,165.7,139.92,110.44,28.97,85.73,124.22,88.85,82.84,73.43,22.92,89.8,35.74,32.92,112.11,48.7,165.83,248601,839.88,
141.8,65.23,896.23,824.32,165.11,139.58,110.63,29.57,85.4,125.4,88.68,82.97,73.44,22.65,90.31,35.63,32.62,111.47,48.92,165.56,247930,841.46,
141.05,64.95,884.67,823.56,162.9,139.39,110.21,29.63,84.4,124.99,88.87,81.69,73.15,22.34,90.03,35.25,32.42,111.22,48.62,164.96,245000,840.18,
141.83,65.48,901.99,837.17,164.35,141.42,111.76,29.77,85.86,125.72,89.81,81.58,73.49,22.81,90.39,35.48,32.61,112.67,48.81,167.18,246700,855.13,
141.2,65.39,903.78,836.82,163.69,140.96,111.23,29.38,85.16,121.82,89.73,81.05,73.89,22.71,90.8,35.77,32.67,112.52,49.22,168.59,245750,853.99,
140.68,65.04,899.2,838.21,162.76,142.27,110.76,29.41,84.46,121.37,89.75,80.49,74.07,22.74,89.6,35.91,32.65,112.29,48.94,169.25,244047,856.51,
142.44,65.5,902.06,841.65,164.98,143.8,112.96,30.68,85.55,121.87,91.15,81.01,74.8,23.07,89.33,36.18,32.83,114.59,48.41,171.54,247200.05,860.08,
142.27,66.4,898.53,843.19,163.41,143.68,113.11,30.48,84.52,121.76,91.15,80.69,74.94,22.71,88.62,36.32,32.82,114.27,47.25,171.16,245550,858.95,
143.64,67.53,907.41,862.76,165.78,145.47,114.86,30.79,87.5,122.89,91.85,81.11,74.78,23.63,89.55,36.75,33.28,115.7,47.05,172.33,248850,878.93,
144.53,67.92,907.62,872.3,167.53,146.49,115.48,31.37,88.26,123.43,92.11,81.73,75.05,23.98,90,36.87,33.42,116.13,46.7,174.04,251231,888.84,
143.68,67.83,909.29,871.73,167.63,146.56,114.97,31.13,88.43,123.51,91.82,81.4,75.43,23.89,87.74,36.93,33.4,116.17,47.36,174.38,251351,889.14,
143.79,68.27,918.38,874.25,166.55,147.7,115.43,31.46,87.61,123.74,91.6,81.26,75.44,23.65,87.69,37.43,33.75,117.1,46.67,174.63,249950,891.44,
143.65,68.46,924.99,905.96,165.21,150.25,115.5,31.35,87,123.47,91.22,81.65,75.18,23.34,87.33,36.15,34.07,116.32,45.91,174.88,247780,924.52,
