AAPL,MSFT,AMZN,GOOG,BRK.B,FB,TCEHY,JPM,JNJ,V,XOM,WMT,BAC,PG,INTC,CSCO,MA,VZ,UNH,BRK.A,GOOGL,
65.24,31.67,305.57,452.1,117.28,37.49,9.39,56.54,93.77,44.79,92.73,78.22,14.95,81.64,23.2,25.89,64.64,50.01,73.16,175700,452.11,
66.08,31.89,304.21,453.28,117.82,38.05,9.32,56.49,94.39,46,91.95,78.75,14.84,81.29,23.22,26.19,64.56,50.25,72.26,176500,453.29,
67.06,31.7,300.99,452.5,118.23,39.19,9.5,56.1,93.8,46.14,91.59,78.77,14.8,81.4,22.92,26.31,64.25,50.21,73.34,177300,452.5,
66.46,31.58,300.75,448.28,117.91,38.55,9.59,55.49,93.81,45.72,91.47,77.87,14.64,81.74,22.8,26.21,65.4,50.09,73.24,176855,448.29,
66.43,32.06,296.91,445.32,116.8,38.87,9.32,55.3,93.66,45.35,91.34,77.37,14.53,81.96,22.7,26.12,64.63,49.93,72.92,175200,445.33,
65.86,32.89,295.74,446.32,117.64,38.54,9.26,54.83,93.34,45.2,91.78,77.25,14.61,82.17,22.45,26.26,64.58,49.62,73.18,176551,446.33,
64.92,32.7,297.26,445.2,116.71,38.5,9.19,54.52,92.36,44.95,90.72,76.9,14.45,81.64,22.51,26.05,63.8,49.32,72.93,175100,445.2,
66.77,32.87,296.69,442.75,117.13,38.22,9.45,54.09,92,44.94,89.89,77.08,14.41,81.62,22.64,26.34,63.07,49.65,72.39,175748,442.76,
69.94,32.23,293.97,440.62,117.28,37.02,9.57,54.29,93.01,44.81,89.4,76.86,14.51,81.66,22.52,26.32,63.33,49.15,73.35,175725,440.63,
71.21,32.35,291.34,434.9,116.57,36.65,9.2,54.15,90.7,44.59,88.95,76.4,14.6,81.25,22.57,26.38,63,48.89,72.49,174755,434.91,
71.13,31.79,286.47,429.82,114.8,36.56,9.35,53.29,89.55,43.48,88.16,74.41,14.32,80.48,22.03,24.49,61.87,48.54,71.4,172799.91,429.83,
71.76,31.8,284.82,428.45,115.24,37.08,9.43,53.29,89.37,43.28,87.91,74.11,14.42,79.9,21.92,24.27,61.82,47.71,71.43,173122,428.45,
72.53,31.39,285.57,432.82,114.3,37.81,9.51,51.83,90.45,43.75,86.92,73.58,14.15,79.59,22.28,24.27,61.99,47.5,71.71,171501.11,432.83,
71.58,31.62,287.09,432.7,115.01,38.41,9.43,52.12,89.73,43.31,86.83,73.23,14.29,79.53,22.52,24.32,62.24,47.91,72.46,173000,432.71,
71.77,31.61,284.57,434.66,113.98,38.32,9.21,51.63,88.8,44.6,86.42,73.55,14.34,79.38,22.17,24.07,61.93,47.27,71.85,170800,434.67,
71.85,32.39,289.73,436.85,114.75,38.55,9.34,52.21,88.26,44.73,86.98,73.46,14.57,79.77,22.26,24.01,62.11,47.02,71.97,172206,436.86,
71.57,34.75,290.01,435.1,114.27,40.55,9.22,52.32,88.41,44.78,87.52,73.44,14.57,80.01,22.44,23.86,62.61,47.61,72.54,171320.45,435.11,
71.85,34.15,286.21,433.19,113.85,41.34,9.16,51.8,87.53,43.75,87.09,73.03,14.49,78.54,22.28,23.83,61.52,46.94,72.38,171000.5,433.2,
69.8,33.26,280.93,425.07,111.54,39.64,9.22,50.6,86.17,43.54,86.82,72.86,14.11,77.97,22.19,23.49,60.79,46.95,71.52,167350,425.08,
70.13,33.02,281.58,424.27,112.2,40.55,9.18,50.58,86.53,43.8,88.84,72.38,14.12,76.85,22.29,23.45,61.06,46.56,71.54,168585.5,424.28,
70.24,33.55,283.98,427.71,111.99,41.28,9.29,50.7,86.57,43.84,87.27,72.43,14.17,77.31,22.06,23.45,61.26,47.82,72.44,168050,427.72,
69.6,33.4,280.98,423.45,111.22,41.29,9.33,50.53,86.41,43.61,87.16,72.98,14.12,77.89,21.98,23.31,60.61,47.38,71.74,167050,423.45,
