AAPL,MSFT,AMZN,GOOG,BRK.B,FB,BABA,TCEHY,JPM,JNJ,V,XOM,WMT,BAC,PG,INTC,CSCO,MA,VZ,UNH,BRK.A,GOOGL,
190.24,100.79,1641.54,1119.5,192.23,193.99,204.34,52.32,108.4,121.26,130.85,81.83,82.99,29.4,73.45,57.08,43.66,195.37,47.81,243.35,289200,1135,
191.83,101.67,1665.27,1139.29,191.3,193.28,208.95,53.28,108.45,121.95,133.07,80.97,85.42,29.4,74.18,56.83,43.58,197.73,47.82,244.63,288000.01,1153.04,
193.31,102.19,1696.35,1139.66,190.77,192.94,208.37,53.84,107.84,121.48,133.56,80.68,84.62,29.12,73.97,56.53,43.67,199.36,47.97,244.43,286700,1151.02,
193.98,102.49,1695.75,1136.88,193.99,191.34,208.3,54.67,110.36,122.79,136.28,82.06,84.56,30.04,74.35,57.03,44.26,203.21,48.41,248.65,290722,1146.95,
193.46,100.88,1689.3,1123.86,195.57,188.18,203.62,53.95,110.8,123.33,133.84,82.88,84.95,30.09,75.76,55.88,43.65,199.54,49.01,248.98,292900,1134.42,
191.7,101.63,1683.99,1120.87,196.01,189.1,205.07,53.6,111.11,124.06,134.74,83.6,84.36,30.01,77.18,55.05,43.48,200.04,49.18,250.68,294055,1132.71,
191.23,101.05,1689.12,1129.99,195.33,191.54,205.7,53.61,110.83,122.66,133.91,83.1,84.3,30.06,77.53,54.52,43.69,198.49,49.3,253.78,292770,1140.9,
192.28,101.31,1698.75,1139.32,195.27,192.4,209.08,53.3,110.19,122.54,134.86,82.42,84.1,29.9,77.24,54.82,43.94,200.13,48.81,253.58,293005,1148.19,
190.7,100.85,1704.86,1134.79,194.55,192.41,206.62,52.74,109.97,122.63,134.4,81.51,84.09,29.84,76.47,55.03,44.01,199.41,47.4,252.87,292769,1144.23,
190.8,101.42,1723.86,1152.12,192.5,196.81,210.86,52.9,108.03,122.41,135,81.89,83.79,29.5,75.99,55.54,44.69,199.31,47.82,255.33,289669.9,1160.11,
188.84,100.13,1715.97,1152.26,191.76,195.85,208,52.4,107.9,122.61,135.1,80.66,83.7,29.28,77.38,55.11,44.25,199.53,48.06,255.98,287626,1159.27,
188.74,100.86,1723.79,1173.46,191.11,198.31,208.57,51.61,108.18,121.32,136.2,80.82,83,29.4,75.84,53.22,44.21,201.13,47.46,254.87,287600,1183.58,
185.69,100.86,1734.78,1168.06,190.35,197.49,204.43,50.82,107.55,122.57,135.11,80.7,83.61,29.26,76.33,52.93,43.82,199.69,48.5,253.02,286699.9,1178.69,
186.5,101.87,1750.08,1169.84,189.5,202,206.23,50.81,107.54,122.04,135.5,80.45,83.61,29.24,75.85,53.46,43.74,201.54,48.09,252.81,285000,1184.07,
185.46,101.14,1730.22,1157.66,188.86,201.5,202.21,49.93,107.51,121.45,134.53,79.69,84.21,29.29,76.44,52.19,43.16,200.78,48.63,251.89,285000,1169.44,
184.92,100.41,1715.67,1155.48,188.91,201.74,202.01,50.45,105.75,122.84,135.33,81.38,84.82,28.99,77.43,52.5,43.2,201.48,49.76,254.37,286541.09,1169.29,
182.17,98.39,1663.15,1124.81,186.73,196.35,191.25,48.79,104.79,122.59,130.93,79.74,86.47,28.48,77.79,50.71,42.29,194.98,49.6,250.71,284640,1139.28,
184.43,99.08,1691.09,1118.46,186.44,199,191.42,48.96,104.86,122.35,132.55,80.64,85.98,28.54,78,49.67,42.55,196.46,49.3,249.77,284500,1132.62,
184.16,97.54,1660.51,1103.98,184.91,195.84,185.02,47.83,103.24,121.61,131.02,81.71,86.89,28.24,77.69,48.76,42.33,193.18,49.31,248.17,281600,1116.94,
185.5,98.63,1701.45,1114.22,187.09,196.23,188.38,48.95,104.93,122,132.74,81.97,85.86,28.67,78.05,49.25,42.94,197.1,50.86,244.9,284920,1126.78,
185.11,98.61,1699.8,1115.65,186.65,194.32,185.53,50.25,104.2,121.34,132.45,82.73,85.65,28.19,78.06,49.71,43.03,196.52,50.31,245.34,282040.01,1129.19,
