AAPL,MSFT,AMZN,GOOG,BRK.B,FB,TCEHY,JPM,JNJ,V,XOM,WMT,BAC,PG,INTC,CSCO,MA,VZ,UNH,BRK.A,GOOGL,
75.39,37.78,359.78,601.34,116.06,67.41,15.55,56.21,91.56,55.36,95.5,74.12,16.3,77.48,24.5,21.57,76.73,47.31,77.1,174500,601.35,
75.89,38.41,363.9,607.45,118.57,68.8,15.97,57.26,93.34,56.38,96.52,75.13,16.73,78.45,24.61,21.82,78.5,47.9,78.13,177989.08,607.46,
76.05,38.11,372.37,609.13,118.98,71.57,16.13,58.16,92.59,55.7,93.8,74.8,17.25,77.82,24.5,21.87,78.2,47.38,77.99,178655,609.13,
75.82,38.15,372.16,609.8,121.2,70.84,16.62,58.9,92.89,55.97,93.76,74.88,17.35,78.06,24.63,21.82,77.63,47.46,77.64,182175,609.8,
75.78,37.9,372.06,607.39,122.67,69.8,16.25,59.4,93.32,56.39,94.99,74.58,17.33,78.38,24.64,21.73,77.94,47.15,77.4,183772,607.4,
75.85,37.82,370.53,605.78,124.1,72.03,15.99,59.2,93.45,56.38,95.5,74.43,17.47,78.53,24.84,21.69,77.39,47.03,77.88,186400,605.79,
76.58,38.02,368.82,599.99,124.69,70.1,15.81,58.19,93.49,56.8,94.01,74.92,17.27,78.95,24.73,21.61,77.9,46.7,77.78,187101,600,
76.66,38.27,370.64,603.65,125.17,70.88,15.63,57.92,93.6,56.53,94.21,75.53,17.28,79.24,24.76,21.82,78.34,46.36,77.6,187750,603.65,
75.81,37.89,371.51,594.53,123.61,68.83,14.85,57.42,93,55.2,93.64,74.93,17.16,79.19,24.57,21.52,76.62,46.03,77.01,185750,594.53,
74.96,37.7,373.74,586.4,122.51,67.72,14.43,56.8,92.81,55.19,93.47,74.28,16.8,78.98,24.5,21.35,76.34,46.08,75.7,183860,586.4,
75.25,38.05,375.04,596.04,123.36,68.74,14.19,57.58,93.93,55.95,94.32,74.68,17.11,79.84,24.7,21.51,77.83,46.31,76.76,185050,596.05,
75.91,39.55,378.77,605.63,123.28,69.19,15.07,58.06,93.94,56.6,94.71,74.77,17.19,79.77,24.82,21.63,78.92,46.7,78,184860,605.63,
75.89,39.27,373.23,599.62,122.62,68.24,14.41,58.3,93.59,55.96,93.73,74.38,17.44,78.78,25.02,21.63,78.31,46.36,79.96,183860,599.63,
75.53,40.33,368.97,598.58,124.44,66.97,14.48,60.11,94.12,55.46,94.58,75.38,17.92,78.32,25.43,21.83,78.41,47.21,81.53,186540,598.58,
76.12,40.16,360.62,591.52,125.2,67.24,14.93,60.17,95.93,55.84,94.31,76.1,17.56,77.88,25.17,21.64,75.99,46.91,81.34,187850,591.52,
77.03,40.5,351.85,578.96,124.32,64.1,15.02,61.07,95.2,55.19,94.64,76.76,17.37,79.3,25.12,21.57,77.39,47.01,81.28,186520,578.97,
77.86,40.34,354.71,579.36,124.47,64.89,14.51,60.93,97.38,54.6,94.91,76.87,17.21,79.81,25.46,22.34,75.28,47.22,81.1,186587,579.36,
77.11,39.79,343.41,565.98,123.01,60.39,14.12,59.9,97.05,53.92,94.7,76.23,17.18,79.5,25.38,22.32,73.71,47.01,81.54,184540,565.99,
76.78,39.36,338.47,556.93,123.47,60.97,13.42,59.92,97.28,53.94,96.24,76.14,17.01,79.65,25.31,22.02,73.34,47.69,81.02,185200,557.14,
76.69,40.3,338.29,558.46,123.53,60.01,13.89,60.04,97.44,53.02,97.7,76.01,16.98,79.76,25.62,22.33,73.22,47.42,81.62,185149,560.08,
76.68,40.99,336.37,555.45,124.97,60.24,13.82,60.71,98.23,53.97,97.68,76.43,17.2,80.6,25.81,22.42,74.7,47.57,81.99,187350.05,557.26,
