AAPL,MSFT,UNH,JNJ,V,WMT,JPM,PG,CVX,HD,MRK,KO,CSCO,MCD,NKE,DIS,VZ,AMGN,HON,IBM,CRM,GS,CAT,INTC,AXP,BA,MMM,TRV,DD,WBA
27.595,46.450,101.090,104.570,65.550,85.880,62.580,91.090,112.180,104.970,56.790,42.760,27.815,93.700,48.075,94.190,46.780,159.290,99.920,160.440,59.310,193.830,91.530,36.760,93.040,129.980,164.320,105.850,136.830,76.200
27.332,46.760,100.780,104.520,66.255,85.900,62.490,90.440,112.580,103.430,57.190,42.220,27.610,93.260,47.515,93.750,46.960,159.890,100.230,162.060,59.240,194.410,91.880,36.290,93.020,129.950,164.060,105.440,136.770,76.000
26.562,46.325,99.120,103.790,64.793,85.650,60.550,90.010,108.080,101.260,58.040,42.140,27.060,92.230,46.750,92.380,46.570,157.990,98.320,159.510,58.170,188.340,87.030,36.360,90.560,129.050,160.360,104.170,132.540,74.500
26.565,45.650,98.920,103.280,64.375,86.310,58.980,89.600,108.030,100.950,60.320,42.140,27.050,92.400,46.475,91.890,47.040,152.900,98.090,156.070,57.200,184.530,86.470,35.950,88.630,127.530,158.650,103.240,130.410,74.690
26.938,46.230,99.930,105.560,65.237,88.600,59.070,90.070,107.940,104.410,61.610,42.460,27.300,94.010,47.435,92.830,46.190,158.240,98.800,155.050,56.930,187.280,87.810,35.280,90.300,129.510,159.800,105.000,130.200,76.600
27.973,47.590,104.700,106.390,66.112,90.470,60.390,91.100,110.410,106.720,62.850,42.990,27.510,94.360,48.530,93.790,47.180,157.670,100.600,158.420,58.590,190.270,88.710,36.020,91.580,131.800,163.630,107.180,133.440,77.550
28.003,47.190,103.720,104.940,65.132,89.350,59.340,90.250,108.210,104.890,62.560,43.510,27.790,93.210,47.995,94.250,46.760,155.730,98.930,159.110,58.160,187.350,87.650,36.690,90.420,131.540,161.620,105.830,133.230,75.670
27.312,46.600,102.550,104.580,65.005,90.020,58.830,89.920,105.880,104.420,62.300,43.030,28.050,93.010,47.930,94.460,47.080,156.220,98.450,156.440,57.730,185.070,86.890,36.760,89.500,130.870,160.740,105.200,132.450,75.700
27.555,46.355,103.070,104.760,65.195,89.310,58.840,90.300,104.200,103.730,62.190,42.640,28.095,92.830,47.505,95.190,47.180,155.140,99.150,156.810,57.970,184.930,86.370,36.600,89.230,131.170,160.620,105.360,130.830,75.260
27.450,45.955,103.330,104.000,63.890,86.610,56.810,89.990,103.900,102.640,62.640,42.630,27.920,91.540,46.855,94.230,46.970,155.160,98.690,155.800,57.250,180.230,86.070,36.500,87.070,130.380,159.840,103.770,130.290,74.990
26.705,45.480,104.460,102.490,63.282,87.380,54.990,89.860,102.670,101.010,61.880,42.560,27.410,91.380,46.405,94.350,47.100,151.920,97.110,154.570,55.110,178.490,84.320,36.350,85.880,130.140,159.660,104.210,129.930,74.780
26.497,46.240,105.770,104.040,63.737,86.770,55.930,91.250,105.120,104.120,63.030,42.380,27.680,91.490,46.495,95.180,47.990,158.430,98.220,157.140,56.640,177.230,83.860,36.190,86.040,130.780,162.000,106.540,134.370,76.030
26.497,46.240,105.770,104.040,63.737,86.770,55.930,91.250,105.120,104.120,63.030,42.380,27.680,91.490,46.495,95.180,47.990,158.430,98.220,157.140,56.640,177.230,83.860,36.190,86.040,130.780,162.000,106.540,134.370,76.030
27.180,46.390,105.620,101.290,64.210,86.690,55.710,91.190,106.470,103.250,62.610,42.530,28.070,90.800,46.805,94.740,48.180,157.600,98.980,156.950,57.290,175.630,83.970,36.450,87.260,131.220,161.940,105.840,132.390,76.050
27.387,45.920,109.320,101.900,64.320,86.640,55.890,90.730,108.160,103.530,62.160,43.160,27.840,90.340,46.755,94.170,48.250,157.380,99.250,152.090,57.710,177.150,85.370,36.090,87.670,132.410,162.540,105.010,134.220,75.590
28.100,47.130,113.850,103.760,64.400,88.300,57.590,91.620,108.920,106.070,62.590,43.360,28.500,90.890,47.925,95.150,47.800,159.570,99.390,155.390,58.000,182.040,86.820,36.480,84.370,135.640,165.890,108.170,136.080,76.020
28.245,47.180,112.000,102.200,64.573,88.510,56.680,90.080,106.850,105.370,62.490,43.780,28.210,89.560,48.080,94.720,47.150,159.810,102.500,155.870,58.620,180.490,85.610,36.910,84.130,134.620,164.020,107.000,133.710,75.590
28.275,47.010,111.610,102.260,64.132,88.630,56.770,89.580,108.880,106.360,62.820,43.310,27.970,90.670,48.175,94.970,46.960,159.730,101.890,156.360,59.780,180.420,86.030,36.445,83.300,134.070,164.240,107.070,133.680,75.840
27.285,42.660,110.010,102.090,62.748,87.530,56.200,86.490,108.260,105.160,62.560,43.000,26.900,89.570,47.250,93.970,46.350,158.890,100.900,153.670,57.790,176.490,79.850,35.805,82.400,132.480,163.630,106.050,132.510,74.930
28.828,41.190,108.460,101.480,61.590,86.820,54.750,85.150,103.710,104.740,61.450,42.390,26.805,88.780,46.655,92.670,46.050,154.640,99.820,151.550,56.350,173.050,80.010,34.185,81.730,139.640,163.940,104.580,129.090,73.770
29.725,42.010,109.390,102.380,62.000,87.720,55.670,85.670,103.000,107.620,62.090,41.920,27.220,93.270,47.435,93.220,46.110,156.370,100.170,155.480,58.100,175.990,80.000,33.775,82.000,147.780,166.130,104.540,135.030,74.570
29.290,40.400,106.250,100.140,63.727,84.980,54.380,84.290,102.530,104.420,60.280,42.100,26.365,92.440,46.125,90.960,45.710,152.260,97.760,153.310,56.450,172.410,79.970,34.210,80.690,145.370,162.300,102.820,135.480,73.750
