AAPL,MSFT,AMZN,GOOG,BRK.B,FB,BABA,TCEHY,JPM,JNJ,V,XOM,WMT,BAC,PG,INTC,CSCO,MA,VZ,UNH,BRK.A,GOOGL,
166.52,102.78,1626.23,1110.75,209.19,165.71,167.97,44.26,103.88,134.2,140.15,75.92,93.86,28.38,97.47,48.73,47.34,213.77,54.55,268.72,313875.38,1118.62,
171.25,105.74,1633.31,1132.8,208.52,169.25,166.7,44.51,104.25,132.88,141.5,74.82,94.77,28.88,98.03,49.22,47.35,214.91,54.04,268.21,312000,1141.42,
174.18,107.22,1658.81,1145.99,207.82,171.16,171.83,45.5,103.79,132.88,142.53,75.59,95.6,28.78,97.44,50.01,47.26,215.86,54.14,266.31,310700,1151.87,
174.24,106.03,1640.26,1115.23,206.01,170.49,171.52,44.82,103.74,133,141.49,75.26,95.64,28.73,97.92,49.9,47.48,215.3,53.79,269.5,308810,1122.89,
170.94,105.27,1614.37,1098.71,201.73,166.38,166.96,43.9,102.38,132.05,140.17,74.68,96.73,28.24,97.14,49.23,46.7,213.97,53.57,269,302812.5,1105.91,
170.41,105.67,1588.22,1095.06,200.92,167.33,167.36,44.23,101.36,132.4,140.38,73.98,95.58,28.29,97.71,48.84,47.19,216.58,53.95,261.9,300771,1102.38,
169.43,105.25,1591,1095.01,203.05,165.79,167.45,44.69,100.88,132,140.8,74.1,96.2,28.41,98.27,48.77,47.58,217.1,54.05,257.14,304884,1102.12,
170.89,106.89,1638.01,1121.37,206.15,165.04,168.71,44.62,102.6,134.16,141.99,75.4,96.97,28.69,99.26,50.01,47.89,218.91,54.42,263.5,309260,1127.58,
170.18,106.81,1640,1120.16,205.8,164.07,169.4,43.86,103.09,134.45,143.49,76.25,97.94,28.7,99.24,50.47,47.5,220.54,54.48,263.8,308320,1128.63,
170.8,106.9,1622.65,1121.67,202.78,163.95,168.38,42.9,102.42,134.31,143.16,76.27,98.52,28.39,98.46,50.81,48.4,219.81,54.03,265.33,303890,1129.2,
170.42,108.22,1607.95,1113.65,205.29,162.5,166.15,42.87,105.55,136.38,144.91,77.71,99.99,29.11,98.48,51.66,49.43,222.11,55.16,271.13,308139,1119.63,
170.93,108.17,1627.58,1118.56,205.69,162.29,170.18,43.24,105.18,135.69,144.44,78.23,102.2,29.13,99.99,51.4,49.65,220.59,55.44,270.41,307315,1126.51,
172.03,107.15,1622.1,1113.8,206.16,162.56,170.71,43.42,105.69,136.35,144.73,78.53,99.88,29.41,99.28,51.39,49.63,221.11,55.76,269.51,309500,1120.59,
171.06,109.41,1619.44,1096.97,205.33,160.04,171.66,43.07,105.47,135.42,144,77.82,99.39,29.29,99.78,51.41,49.41,219.31,56.15,266.4,307925,1104.21,
172.97,110.97,1631.56,1110.37,201.91,161.89,176.92,44.18,105,136.6,145.87,78.42,99.55,29.08,100.25,52.49,50.11,223.32,56.92,267.11,302000,1116.56,
174.23,111.59,1633,1109.4,202.31,164.62,183.25,44.16,106.1,136.2,146.06,78.5,99.12,29.27,99.57,53.1,50.79,223.32,56.78,264.6,303300,1117.33,
174.33,112.36,1636.4,1115.13,201.9,164.13,183.54,44.02,105.29,136.11,147.04,78.66,98.69,29.29,99.83,53.23,51.18,224,56.64,262.98,302500,1122.01,
174.87,112.17,1641.09,1116.05,202.29,162.81,184.58,43.6,105.16,135.87,147.22,79.47,98.11,29.53,98.91,53.24,51.59,224.57,56.72,250.08,303000,1122.89,
173.15,112.03,1639.83,1119.92,201.3,161.45,183.03,42.81,104.36,136.64,148.12,79.03,98.99,29.08,98.55,52.96,51.77,224.77,56.92,242.22,302200,1126.55,
