7203.T,6758.T,9432.T,8306.T,9984.T,9433.T,9983.T,4568.T,8035.T,4063.T,6501.T,6367.T,8058.T,8316.T,8001.T,4502.T,4519.T,8031.T,6902.T,8766.T,7267.T,2914.T,3382.T,8411.T,6954.T,4503.T,6702.T,5108.T,7733.T,9022.T
2228.000,11160.000,3836.000,756.200,5290.000,4324.000,60700,3296.000,54790,17895,6480.000,19480,4397.000,3870.000,3916.000,3771.000,3871.000,3192.000,7792.000,2312.667,3432.000,2228.000,5808.000,1567.000,19710,1960.000,19625,4824.000,2327.000,16630
2228.000,11160.000,3836.000,756.200,5290.000,4324.000,60700,3296.000,54790,17895,6480.000,19480,4397.000,3870.000,3916.000,3771.000,3871.000,3192.000,7792.000,2312.667,3432.000,2228.000,5808.000,1567.000,19710,1960.000,19625,4824.000,2327.000,16630
2228.000,11160.000,3836.000,756.200,5290.000,4324.000,60700,3296.000,54790,17895,6480.000,19480,4397.000,3870.000,3916.000,3771.000,3871.000,3192.000,7792.000,2312.667,3432.000,2228.000,5808.000,1567.000,19710,1960.000,19625,4824.000,2327.000,16630
2228.000,11160.000,3836.000,756.200,5290.000,4324.000,60700,3296.000,54790,17895,6480.000,19480,4397.000,3870.000,3916.000,3771.000,3871.000,3192.000,7792.000,2312.667,3432.000,2228.000,5808.000,1567.000,19710,1960.000,19625,4824.000,2327.000,16630
2276.000,11110.000,3858.000,779.500,5170.000,4306.000,61320,3415.000,55330,18275,6510.000,19725,4475.000,3972.000,3967.000,3828.000,3844.000,3386.000,7784.000,2331.000,3470.000,2299.500,5993.000,1591.500,19650,1954.500,20590,4865.000,2327.000,17025
2245.000,10840.000,3842.000,762.900,4989.000,4318.000,57480,3283.000,54210,18015,6383.000,19125,4341.000,3935.000,3877.000,3811.000,3696.000,3308.000,7602.000,2336.333,3394.000,2271.500,5762.000,1592.500,19080,1920.500,20080,4763.000,2246.500,16540
2178.500,10500.000,3851.000,750.200,4900.000,4343.000,58020,3288.000,53450,17855,6448.000,19625,4127.000,3922.000,3693.000,3774.000,3717.000,3148.000,7489.000,2307.000,3349.000,2258.500,5705.000,1585.000,19460,1952.000,19470,4738.000,2214.500,16160
2082.000,10720.000,3841.000,728.600,4883.000,4317.000,59000,3189.000,54920,17840,6314.000,20405,4114.000,3837.000,3555.000,3735.000,3717.000,3109.000,7241.000,2250.000,3247.000,2267.500,5636.000,1538.000,19595,1956.000,19150,4708.000,2283.000,16085
2050.000,10790.000,3763.000,729.400,4491.000,4187.000,56290,3183.000,54000,17660,6188.000,20580,4174.000,3820.000,3485.000,3616.000,3551.000,3143.000,7291.000,2271.333,3249.000,2259.500,5600.000,1526.500,19200,1941.500,18375,4793.000,2539.500,16050
2055.000,11100.000,3782.000,730.800,5040.000,4247.000,58780,3302.000,56990,17995,6431.000,20475,4285.000,3856.000,3541.000,3671.000,3591.000,3080.000,7416.000,2288.667,3320.000,2268.000,5685.000,1531.000,19830,1959.500,19170,4832.000,2755.000,16480
