7203.T,6758.T,9432.T,8306.T,9984.T,9433.T,9983.T,4568.T,8035.T,4063.T,6501.T,6367.T,8058.T,8316.T,8001.T,4502.T,4519.T,8031.T,6902.T,8766.T,7267.T,2914.T,3382.T,8411.T,6954.T,4503.T,6702.T,5108.T,7733.T,9022.T
488.0201416015625,322.567138671875,24.61487579345703,272.447021484375,1122.193359375,367.05780029296875,5635.03662109375,384.5135803222656,1167.5277099609375,766.21240234375,430.0687255859375,1993.399169921875,409.91961669921875,707.2520141601562,586.2674560546875,2124.376708984375,415.1175842285156,412.92376708984375,501.1215515136719,535.1473999023438,700.2908325195312,1284.49462890625,627.6739501953125,816.9815673828125,2319.22607421875,478.1401672363281,367.38519287109375,1361.22216796875,304.26904296875,1207.219482421875
486.651123046875,320.6884765625,24.58179473876953,267.3305969238281,1096.56396484375,369.7867736816406,5590.619140625,378.8399658203125,1187.0064697265625,759.0368041992188,430.8506774902344,1982.2242431640625,404.6316833496094,697.0389404296875,584.9860229492188,2088.921875,402.2985534667969,407.44647216796875,498.0304260253906,536.0882568359375,698.1092529296875,1292.6849365234375,630.7545166015625,792.9524536132812,2309.93115234375,475.3192443847656,363.1721496582031,1357.202880859375,304.5025939941406,1205.418212890625
477.06884765625,311.29510498046875,24.41636848449707,262.8537902832031,1075.0540771484375,368.4223327636719,5270.81787109375,369.8138732910156,1156.57080078125,740.6986083984375,419.12152099609375,1955.5771484375,395.9595031738281,686.3154296875,573.4529418945312,2065.2841796875,400.934814453125,399.534912109375,482.7567138671875,521.268798828125,676.293212890625,1309.0654296875,624.0798950195312,780.9381713867188,2261.904296875,460.5093994140625,355.5885009765625,1321.028564453125,304.5025939941406,1187.3997802734375
473.6464538574219,313.36163330078125,24.25094985961914,259.6560363769531,1065.900390625,362.96417236328125,5164.21630859375,370.5875244140625,1141.96142578125,740.6986083984375,419.9034729003906,1966.751708984375,396.8056335449219,676.6129760742188,576.6565551757812,2074.147705078125,400.662109375,401.66485595703125,482.029541015625,514.4471435546875,668.6576538085938,1299.5101318359375,622.5394897460938,774.9309692382812,2247.9609375,459.09893798828125,353.060546875,1312.989990234375,310.8074951171875,1191.003662109375
464.0640869140625,306.9742431640625,24.217863082885742,257.097900390625,1076.4267578125,352.0480041503906,5202.7099609375,372.3927307128906,1149.2662353515625,739.10400390625,412.86590576171875,1930.6488037109375,392.7867431640625,669.718994140625,565.7642211914062,2097.78515625,402.5714111328125,397.1005859375,472.39239501953125,507.1550598144531,656.6588745117188,1266.7491455078125,614.3245239257812,756.9093017578125,2196.835205078125,473.9088439941406,347.1622009277344,1300.9317626953125,306.13720703125,1196.4093017578125
453.11248779296875,308.8528747558594,24.151697158813477,250.06283569335938,1059.0352783203125,354.7770080566406,5137.56689453125,366.203369140625,1141.96142578125,723.157958984375,405.8284912109375,1864.459716796875,385.59521484375,660.78271484375,559.9974975585938,2077.10302734375,396.02545166015625,391.623291015625,463.1192321777344,491.39453125,640.7332763671875,1266.7491455078125,615.3513793945312,744.8948364257812,2164.30126953125,463.3302917480469,340.4211730957031,1267.43701171875,307.0712890625,1187.3997802734375
459.9571838378906,297.9566345214844,24.085533142089844,251.98146057128906,1039.35595703125,352.730224609375,5179.021484375,368.2665710449219,1116.39501953125,719.1713256835938,405.0465393066406,1859.30224609375,386.2298583984375,667.1658325195312,554.2310180664062,2074.147705078125,396.29815673828125,388.8846435546875,458.5733947753906,495.15838623046875,644.0056762695312,1270.8441162109375,617.9185791015625,750.9020385742188,2162.752197265625,465.446044921875,337.89337158203125,1259.3985595703125,305.670166015625,1183.7960205078125
454.4815979003906,284.6180419921875,24.019351959228516,249.4232635498047,1032.94873046875,354.7770080566406,5096.109375,363.1086730957031,1112.74267578125,718.3740234375,402.7007141113281,1828.357177734375,378.192138671875,664.6126708984375,560.6383056640625,2038.692626953125,392.20697021484375,383.7117004394531,455.3005065917969,481.750244140625,632.4432983398438,1240.8134765625,608.93359375,756.9093017578125,2203.032470703125,457.68865966796875,334.5227355957031,1256.0487060546875,304.7360534667969,1180.1925048828125
455.8503723144531,287.0603332519531,23.853933334350586,248.14425659179688,1047.59375,351.36566162109375,5173.1005859375,361.3035583496094,1110.307861328125,728.7390747070312,403.4826354980469,1834.37451171875,388.5565185546875,670.740478515625,581.7823486328125,2029.8287353515625,387.5703430175781,395.88336181640625,462.7555236816406,480.80926513671875,639.2061767578125,1236.71826171875,613.8109741210938,756.9093017578125,2261.904296875,456.98333740234375,341.26373291015625,1275.4755859375,303.5684814453125,1174.7872314453125
455.1659240722656,271.2795104980469,24.184778213500977,257.097900390625,1049.8824462890625,354.0947570800781,5617.27001953125,362.8508605957031,1094.4814453125,730.3336791992188,408.1742858886719,1833.51513671875,388.3450927734375,696.0177001953125,586.2674560546875,2044.6014404296875,388.66131591796875,399.23065185546875,462.9373474121094,490.2184753417969,638.115478515625,1272.2091064453125,610.73046875,786.9454345703125,2325.423095703125,466.1513977050781,337.0506896972656,1264.0875244140625,301.4668884277344,1178.3905029296875
447.636962890625,268.6493835449219,24.25094985961914,248.14425659179688,1030.2025146484375,354.0947570800781,5534.357421875,361.3035583496094,1062.8277587890625,711.9956665039062,393.3173522949219,1811.1656494140625,375.0193176269531,674.8256225585938,570.8900146484375,2056.42041015625,390.29779052734375,386.7546081542969,454.2095031738281,477.5161437988281,625.680419921875,1269.4791259765625,612.0140991210938,762.9164428710938,2261.904296875,464.03570556640625,330.3097229003906,1246.6702880859375,291.4258117675781,1183.7960205078125
