RY.TO,TD.TO,CNR.TO,ENB.TO,CP.TO,BAM-A.TO,CNQ.TO,BMO.TO,BNS.TO,TRI.TO,ATD.TO,BCE.TO,NTR.TO,TRP.TO,SU.TO,CM.TO,CVE.TO,WCN.TO,MFC.TO,CSU.TO,IMO.TO,T.TO,ABX.TO,L.TO,FNV.TO,SLF.TO,IFC.TO,RCI-B.TO,NA.TO,AEM.TO
134.370,81.990,162.350,53.600,107.400,43.570,81.600,121.710,67.480,185.766,67.270,65.450,94.630,56.370,41.770,56.540,22.290,188.540,26.830,2695.000,67.880,28.600,25.740,128.500,208.860,66.400,206.170,67.260,101.190,75.760
131.440,81.080,161.240,52.540,106.430,41.930,77.970,118.260,65.930,184.780,67.240,65.360,93.660,55.190,39.770,55.090,21.070,189.430,26.680,2731.950,63.310,28.600,26.970,128.660,214.380,65.680,204.730,66.850,100.570,79.210
131.120,81.470,160.750,52.950,107.440,42.030,76.440,118.250,66.150,176.450,67.330,65.380,91.360,55.650,38.970,55.200,20.640,189.450,26.600,2721.130,62.220,28.660,27.220,124.630,214.060,65.530,200.650,66.320,100.020,79.090
129.270,81.670,160.620,53.180,106.100,40.950,74.180,114.400,65.660,167.227,66.540,64.440,85.610,55.300,38.590,54.010,20.660,188.540,26.080,2620.290,60.270,28.200,27.620,122.020,214.560,64.390,201.060,65.750,100.120,81.750
131.080,83.300,163.070,53.430,108.390,41.980,77.090,117.730,66.940,166.366,67.210,64.440,87.030,55.940,39.680,55.560,21.330,188.450,26.490,2603.720,62.340,28.130,27.050,122.340,212.880,65.130,199.870,65.890,101.560,80.040
131.350,82.300,161.710,53.060,108.360,42.580,76.430,117.990,67.280,168.317,67.540,64.260,86.250,56.090,40.080,55.630,21.720,189.730,26.730,2636.720,62.570,27.650,26.560,123.340,213.240,65.240,200.360,66.120,101.420,79.430
129.430,81.350,161.110,53.350,108.400,43.070,76.330,117.630,65.880,171.356,67.990,64.060,85.370,56.240,39.680,55.170,22.000,191.080,26.650,2639.700,63.290,27.490,26.500,124.180,214.870,65.190,200.750,65.940,101.180,80.290
128.960,82.150,162.450,53.140,109.210,41.640,75.680,117.780,66.090,174.219,66.970,64.140,84.670,55.740,39.180,55.640,21.720,193.760,26.240,2635.160,62.140,27.570,26.450,123.590,213.020,64.710,202.710,66.180,100.480,79.270
129.840,82.170,161.960,53.280,109.240,42.110,75.190,118.080,66.560,172.082,67.210,64.290,83.290,55.850,38.870,56.210,21.410,193.720,26.190,2597.190,61.160,27.670,25.670,123.460,208.810,64.530,199.530,66.000,101.050,76.620
129.890,82.330,163.410,52.110,111.040,41.110,75.190,118.910,66.520,173.794,66.680,64.170,81.130,55.940,38.870,56.430,21.500,195.050,25.580,2533.240,61.290,27.740,26.000,123.450,212.370,64.970,199.570,66.140,101.470,76.960
130.920,82.880,163.580,52.060,111.670,41.150,76.200,119.950,67.090,172.767,66.620,63.980,83.820,55.990,39.160,57.080,21.860,193.520,25.980,2630.120,62.070,27.730,26.050,122.530,212.490,66.320,201.060,66.150,102.720,77.250
128.300,81.510,161.730,50.080,111.660,40.740,74.350,118.230,66.140,174.427,66.010,63.560,83.690,54.250,37.960,56.090,21.430,191.590,25.780,2613.750,61.180,27.450,25.310,121.240,207.760,66.080,200.910,66.210,102.080,75.310
128.620,82.270,160.250,50.000,110.790,41.760,75.340,119.630,66.940,172.321,66.420,63.200,82.150,54.400,38.490,56.730,21.770,189.070,26.010,2614.910,61.920,27.210,24.790,120.640,206.600,66.480,201.050,65.940,101.860,74.110
127.900,82.220,161.000,50.000,111.630,41.520,75.690,119.040,67.020,175.952,66.060,63.150,82.930,54.080,38.470,56.570,22.160,188.350,26.020,2645.000,62.840,27.320,24.020,121.570,205.460,66.900,201.870,65.610,102.510,72.540
127.190,82.270,161.390,50.070,111.580,41.630,77.060,117.980,66.530,176.491,66.010,63.430,83.730,54.360,38.830,56.140,22.290,189.530,26.140,2729.360,63.270,27.380,24.130,122.980,206.800,67.180,203.600,65.920,102.720,73.070
127.190,82.270,161.390,50.070,111.580,41.630,77.060,117.980,66.530,176.491,66.010,63.430,83.730,54.360,38.830,56.140,22.290,189.530,26.140,2729.360,63.270,27.380,24.130,122.980,206.800,67.180,203.600,65.920,102.720,73.070
125.880,82.710,156.130,49.570,106.740,42.420,78.450,117.430,66.510,174.406,65.480,62.880,81.390,54.110,39.350,56.250,22.530,185.800,25.590,2603.250,64.620,26.920,23.980,119.360,203.620,66.900,202.060,64.400,101.280,72.160
123.750,81.180,153.910,49.780,104.390,41.620,77.470,112.840,65.660,173.649,66.020,62.410,78.470,54.210,39.320,55.640,22.900,186.510,25.020,2599.790,63.910,26.750,23.760,120.680,200.580,65.940,199.950,64.220,99.110,70.720
121.480,77.780,155.040,48.920,104.920,42.160,75.170,113.000,66.720,174.282,66.610,61.460,76.850,53.690,38.790,56.780,22.360,187.550,25.190,2637.980,63.950,26.290,23.310,119.720,198.450,66.320,200.620,62.190,99.240,69.670
123.080,78.260,155.160,48.850,104.920,42.870,75.820,114.740,66.800,175.464,67.390,61.870,76.110,54.110,38.860,57.540,22.690,188.480,25.530,2688.930,63.990,26.340,23.140,120.850,198.400,66.950,202.590,61.510,100.100,69.450
123.490,79.120,156.040,49.040,104.920,42.290,76.150,115.070,67.300,175.267,66.710,61.720,77.070,54.220,39.340,57.600,22.780,188.150,25.660,2669.020,63.830,26.340,23.040,119.850,196.780,67.340,203.400,61.150,100.450,69.020
123.110,77.480,155.430,48.440,104.920,41.630,74.460,114.040,66.410,176.315,65.400,61.790,74.000,53.380,38.800,57.030,22.200,186.200,25.560,2674.080,63.380,26.190,22.800,119.590,194.170,65.770,199.050,60.360,100.120,68.310
