RY.TO,TD.TO,CNR.TO,ENB.TO,CP.TO,BAM-A.TO,CNQ.TO,BMO.TO,BNS.TO,TRI.TO,ATD.TO,BCE.TO,NTR.TO,TRP.TO,SU.TO,CM.TO,CVE.TO,WCN.TO,MFC.TO,CSU.TO,IMO.TO,T.TO,ABX.TO,L.TO,FNV.TO,SLF.TO,IFC.TO,RCI-B.TO,NA.TO,AEM.TO
136.490,91.490,158.610,54.120,103.620,49.220,78.700,133.780,72.350,165.983,60.000,63.240,111.120,54.110,45.620,61.080,25.590,176.770,26.610,2373.060,70.330,28.940,26.520,115.490,197.790,67.110,193.270,64.620,100.520,76.000
136.390,91.950,159.200,53.980,105.580,50.820,77.030,133.600,73.390,167.331,59.230,61.390,112.450,55.610,43.910,61.460,24.500,175.740,26.210,2374.980,67.790,28.720,25.780,114.920,193.990,66.890,194.700,64.400,100.640,73.190
138.150,92.420,160.660,54.380,106.040,50.550,77.730,134.880,73.360,166.885,60.330,61.770,111.170,56.050,44.130,61.760,25.000,177.150,26.230,2386.260,67.560,28.620,24.560,115.240,190.520,67.040,195.080,65.340,100.930,70.270
138.120,91.700,159.120,54.460,104.870,48.730,77.690,135.460,72.820,165.236,59.660,61.780,111.190,56.300,43.880,61.400,25.030,178.660,25.820,2356.390,67.130,28.470,24.650,116.410,184.170,67.180,195.900,65.920,100.270,70.460
138.620,92.820,158.190,54.630,104.120,49.360,79.330,136.680,73.750,163.897,59.730,61.190,108.820,56.000,44.910,62.160,26.090,178.610,25.970,2370.010,68.570,28.070,24.810,114.140,184.500,67.210,197.650,65.200,100.930,70.750
139.550,92.880,157.850,53.160,104.450,49.420,79.740,136.650,73.220,163.617,60.860,61.300,105.210,55.520,44.680,61.930,26.240,179.350,26.090,2376.300,69.570,28.090,24.670,116.690,184.270,67.440,191.480,65.780,101.210,70.850
139.250,92.670,157.110,52.900,104.540,49.430,79.320,135.870,73.120,160.598,61.590,60.650,105.760,55.090,44.460,61.550,26.010,179.860,26.130,2372.480,69.590,27.030,23.980,117.440,182.150,68.260,193.670,65.220,101.400,69.390
138.760,93.010,159.900,54.150,106.310,48.510,80.930,135.410,73.570,166.844,62.560,60.820,106.860,55.470,45.710,61.660,26.800,180.620,26.090,2370.500,71.750,27.250,23.940,117.110,181.520,67.670,197.040,64.590,100.600,68.360
138.990,93.560,160.890,54.540,106.470,48.990,81.460,135.470,74.160,169.748,63.360,61.120,104.840,55.640,45.710,62.190,26.540,179.570,26.200,2382.920,71.220,27.270,23.900,118.310,180.400,68.540,198.720,64.990,101.270,68.400
138.850,93.150,159.520,53.060,106.350,48.770,80.350,135.210,73.950,171.833,63.990,61.150,102.680,56.420,46.380,62.460,26.560,179.630,26.110,2405.910,70.660,27.380,23.780,117.390,181.500,68.160,199.170,65.490,100.910,68.140
138.670,93.020,158.600,52.890,106.180,48.840,79.580,135.020,73.640,174.012,64.570,61.060,103.070,56.660,46.550,62.460,26.010,181.350,26.130,2364.040,69.800,27.340,23.000,118.610,179.660,67.980,200.290,65.070,100.510,65.800
138.540,92.650,158.030,52.710,105.480,48.450,78.680,135.110,73.470,172.943,64.840,60.990,104.880,57.050,45.670,62.230,24.850,183.350,27.120,2364.700,69.210,27.290,22.800,118.430,181.440,68.200,200.510,65.550,100.490,66.350
138.790,92.870,157.220,52.380,104.580,48.260,75.050,135.180,72.950,172.238,65.590,61.780,100.700,56.840,44.590,62.520,24.510,183.470,27.070,2370.610,67.570,27.790,22.570,118.890,178.500,68.910,202.700,66.170,101.500,62.310
138.790,92.870,157.220,52.380,104.580,48.260,75.050,135.180,72.950,172.238,65.590,61.780,100.700,56.840,44.590,62.520,24.510,183.470,27.070,2370.610,67.570,27.790,22.570,118.890,178.500,68.910,202.700,66.170,101.500,62.310
138.230,91.990,157.370,51.550,103.910,46.670,74.710,132.340,71.820,171.626,63.660,61.110,101.620,54.520,45.440,61.420,24.940,183.070,26.720,2355.020,68.070,27.390,22.470,116.880,176.500,67.680,199.600,65.970,100.020,62.960
136.550,91.330,156.170,51.250,103.360,46.270,74.480,131.290,71.570,171.097,65.590,60.930,105.210,54.890,44.350,61.290,24.260,184.340,26.940,2361.320,66.690,27.430,21.960,116.370,173.190,66.890,199.970,65.810,99.020,61.530
135.870,90.410,157.100,51.260,104.110,46.190,75.540,130.390,71.310,171.284,64.330,60.840,105.270,55.500,45.240,61.230,24.470,182.560,26.720,2360.240,67.480,27.210,21.770,118.440,168.730,66.010,198.340,65.240,98.770,61.470
137.220,91.110,156.760,51.460,103.600,45.950,76.990,130.880,71.340,171.553,64.290,60.460,104.620,56.220,46.220,62.890,24.780,182.410,26.740,2317.580,67.910,27.170,21.770,119.630,170.600,65.950,198.060,65.340,99.080,61.830
138.040,90.550,157.400,51.630,104.910,45.700,77.510,130.820,71.530,171.315,64.120,60.390,105.570,55.170,46.320,62.740,25.210,184.490,26.570,2332.150,68.750,27.170,21.710,117.090,172.240,66.490,197.300,64.810,99.740,62.390
138.540,90.850,155.410,51.190,103.630,45.400,77.110,129.320,67.440,171.439,64.010,60.370,106.320,54.310,45.860,62.400,25.160,182.720,26.980,2346.160,67.490,27.130,22.050,116.610,174.170,65.940,196.010,65.180,100.220,62.820
