7203.T,6758.T,9432.T,8306.T,9984.T,9433.T,9983.T,4568.T,8035.T,4063.T,6501.T,6367.T,8058.T,8316.T,8001.T,4502.T,4519.T,8031.T,6902.T,8766.T,7267.T,2914.T,3382.T,8411.T,6954.T,4503.T,6702.T,5108.T,7733.T,9022.T
1244.000,2104.000,1275.000,625.000,3335.000,1816.667,34200,545.333,4420,6330,3335.000,4195,1816.000,4670.000,1180.000,4580.000,662.667,1340.000,4640.000,1078.333,3605.000,3490.000,3795.000,2130.000,15480,1068.000,3810,3595.000,760.000,12350
1286.000,2123.000,1302.500,643.000,3450.000,1886.667,35600,549.000,4615,6540,3355.000,4325,1888.000,4780.000,1227.000,4635.000,691.000,1385.000,4775.000,1123.333,3710.000,3590.000,3875.000,2170.000,15990,1086.000,3900,3685.000,786.250,12870
1272.000,2137.000,1300.000,634.000,3385.000,1866.667,34700,547.000,4495,6430,3300.000,4300,1892.000,4715.000,1208.000,4615.000,681.667,1381.000,4610.000,1086.667,3720.000,3540.000,3830.000,2160.000,15660,1070.000,3830,3650.000,770.000,12780
1276.000,2039.000,1325.000,636.000,3325.000,1886.667,35050,548.333,4630,6530,3300.000,4340,1926.000,4705.000,1220.000,4670.000,687.333,1403.000,4640.000,1108.333,3795.000,3595.000,3820.000,2160.000,15830,1084.000,3880,3660.000,783.750,12950
1246.000,1952.000,1270.000,611.000,3170.000,1773.333,32900,528.667,4320,6260,3205.000,4455,1866.000,4560.000,1200.000,4575.000,669.000,1366.000,4460.000,1060.000,3735.000,3465.000,3700.000,2100.000,15170,1052.000,3790,3500.000,747.250,12320
1232.000,1927.000,1257.500,607.000,3085.000,1700.000,32100,530.000,4255,6220,3150.000,4520,1867.000,4505.000,1185.000,4595.000,668.333,1357.000,4455.000,1031.667,3685.000,3365.000,3620.000,2090.000,15010,1038.000,3710,3365.000,730.750,12130
1234.000,1943.000,1272.500,609.000,3120.000,1746.667,31650,547.000,4190,6230,3155.000,4580,1885.000,4530.000,1185.000,4565.000,677.667,1365.000,4465.000,1036.667,3700.000,3365.000,3585.000,2090.000,14990,1032.000,3720,3350.000,715.250,12260
1238.000,1932.000,1270.000,602.000,2995.000,1716.667,31300,545.667,4150,6250,3135.000,4605,1902.000,4450.000,1199.000,4585.000,664.333,1393.000,4440.000,1036.667,3725.000,3315.000,3575.000,2060.000,15010,1022.000,3690,3445.000,702.500,12350
1266.000,1967.000,1295.000,609.000,3185.000,1753.333,32650,554.000,4225,6370,3160.000,4695,1922.000,4540.000,1206.000,4670.000,699.667,1398.000,4600.000,1030.000,3795.000,3400.000,3650.000,2100.000,15050,1042.000,3840,3475.000,689.750,12510
1282.000,2000.000,1305.000,612.000,3225.000,1740.000,33200,563.667,4185,6390,3175.000,4735,1936.000,4580.000,1209.000,4715.000,696.667,1414.000,4705.000,1065.000,3855.000,3525.000,3705.000,2110.000,15430,1050.000,4020,3500.000,707.250,12540
1262.000,1968.000,1280.000,605.000,3120.000,1700.000,32100,562.333,4110,6240,3120.000,4630,1920.000,4540.000,1199.000,4645.000,685.333,1415.000,4625.000,1048.333,3810.000,3465.000,3620.000,2080.000,15090,1036.000,3960,3380.000,711.750,12380
1258.000,1963.000,1248.750,597.000,3085.000,1670.000,32000,560.000,4100,6160,3105.000,4615,1893.000,4485.000,1193.000,4630.000,683.000,1400.000,4615.000,1030.000,3790.000,3425.000,3575.000,2060.000,15020,1036.000,3920,3375.000,718.500,12280
