RY.TO,TD.TO,CNR.TO,ENB.TO,CP.TO,BAM-A.TO,CNQ.TO,BMO.TO,BNS.TO,TRI.TO,ATD.TO,BCE.TO,NTR.TO,TRP.TO,SU.TO,CM.TO,CVE.TO,WCN.TO,MFC.TO,CSU.TO,IMO.TO,T.TO,ABX.TO,L.TO,FNV.TO,SLF.TO,IFC.TO,RCI-B.TO,NA.TO,AEM.TO
126.520,82.110,160.420,49.240,107.000,44.600,74.480,119.640,66.280,178.860,67.930,60.400,78.210,53.540,38.860,56.560,22.500,189.330,25.040,2744.760,67.780,25.780,22.410,121.280,188.810,69.060,204.540,60.440,98.700,66.150
126.720,83.340,160.740,49.230,107.840,44.110,74.480,120.050,65.300,176.630,67.680,60.390,79.230,53.410,39.360,56.750,22.850,186.850,25.120,2751.980,68.120,25.900,22.470,120.530,188.500,68.930,202.530,61.100,98.940,66.020
127.080,83.180,159.150,48.860,106.620,44.280,73.790,120.490,64.790,177.550,68.000,60.500,79.430,52.760,39.080,56.430,22.850,187.490,24.820,2698.520,68.040,25.990,22.170,120.490,185.660,68.620,202.380,60.770,98.600,65.480
125.510,81.420,156.700,48.480,105.250,42.580,72.220,118.740,63.290,179.240,66.200,60.130,78.720,52.390,38.000,55.900,22.450,187.240,24.580,2656.350,65.610,25.800,21.700,119.870,183.700,67.890,199.750,60.250,97.580,64.440
125.520,80.880,153.520,48.380,104.030,43.290,74.170,119.150,63.950,172.360,65.260,59.540,80.860,52.000,38.820,55.840,23.020,184.320,24.600,2659.640,65.420,25.760,21.710,118.660,184.250,67.630,199.300,60.200,98.210,64.260
125.270,81.030,153.930,48.010,103.560,43.030,74.390,119.370,63.520,174.180,65.090,58.810,78.850,51.780,38.830,55.620,23.100,184.170,24.380,2615.110,64.570,25.440,21.960,118.770,186.860,67.060,197.580,58.740,97.860,65.650
125.840,81.460,153.010,48.150,103.690,42.870,75.420,119.830,63.800,172.440,65.400,58.630,79.710,51.810,39.000,55.620,23.430,183.370,24.560,2626.570,65.610,25.320,22.100,117.000,186.780,66.830,194.210,59.070,98.230,66.060
126.080,82.070,154.280,48.590,104.700,43.590,76.180,120.270,64.670,172.180,65.450,58.720,78.300,51.630,39.160,55.740,23.000,183.450,24.600,2612.950,64.810,25.370,23.040,116.440,192.570,67.010,194.750,58.800,99.320,69.440
127.420,83.250,155.510,48.950,105.460,45.340,76.860,121.320,65.530,171.640,66.310,59.090,80.250,52.220,39.060,56.770,23.230,184.990,24.890,2684.070,65.770,25.550,23.070,117.180,192.210,67.230,193.400,59.440,99.480,69.410
128.120,83.880,156.500,48.640,106.590,45.450,74.870,121.370,65.320,175.440,66.880,58.570,80.100,51.670,38.250,56.680,22.810,187.020,24.920,2698.040,64.750,24.320,22.950,119.700,193.000,67.560,196.160,58.910,99.800,69.560
129.070,84.250,155.080,48.130,105.290,45.140,73.680,121.650,65.540,174.920,67.140,57.650,79.940,50.810,37.890,57.080,22.270,186.570,25.350,2751.460,64.270,23.920,22.930,120.280,192.680,68.000,195.970,57.950,100.630,69.400
129.660,85.010,154.670,48.230,105.890,46.170,75.840,122.590,66.280,173.540,67.330,57.250,83.010,50.540,38.530,57.740,22.630,184.370,25.380,2798.170,64.920,23.800,23.240,119.000,195.310,68.270,195.030,59.040,100.450,70.920
130.170,86.050,155.370,48.520,106.330,47.110,76.090,123.380,67.020,174.660,67.080,57.770,84.880,50.800,38.370,57.870,22.520,185.490,25.430,2813.150,63.920,24.290,23.230,118.650,195.400,68.460,196.430,59.310,100.950,70.580
130.430,85.730,155.010,49.100,106.100,46.540,76.260,123.650,67.210,174.070,67.130,58.170,84.660,51.900,38.350,57.960,22.580,189.290,25.620,2800.000,65.250,24.330,22.750,119.340,193.320,68.970,197.370,59.010,100.950,68.390
131.030,86.240,156.710,49.430,107.630,46.910,77.040,123.390,67.260,173.990,67.630,58.730,84.950,52.230,38.950,57.900,23.010,191.150,25.800,2811.430,67.170,24.790,22.960,120.360,193.510,69.450,199.250,59.280,101.400,68.860
132.060,86.320,156.720,49.650,108.320,46.760,78.630,123.420,67.110,173.290,67.150,58.390,87.220,50.890,39.800,58.070,23.640,191.300,25.910,2806.130,68.980,24.660,22.880,120.600,192.710,69.350,198.640,59.440,102.030,68.260
130.010,85.230,156.380,49.350,109.090,46.980,79.510,123.170,65.360,176.900,67.090,57.750,88.020,48.500,39.980,57.400,23.910,188.540,26.100,2815.650,68.820,24.440,23.100,119.480,195.160,69.550,198.320,59.150,102.050,68.910
130.170,86.000,156.690,49.330,110.890,46.740,79.150,123.410,65.710,175.010,67.150,57.520,88.890,48.940,40.140,57.610,23.810,188.670,26.230,2768.840,68.880,24.090,22.760,116.820,194.600,69.630,199.130,60.820,102.400,68.890
130.160,85.900,156.710,48.650,109.940,46.080,78.340,121.600,65.810,175.230,66.950,57.100,89.030,47.300,39.780,57.530,24.460,186.500,26.300,2748.260,68.250,23.880,22.210,116.690,189.250,69.480,197.180,57.480,102.450,66.940
130.310,86.080,159.910,48.190,109.930,45.930,79.970,121.750,66.050,177.350,66.690,57.040,89.650,45.250,40.740,57.890,24.990,187.180,26.320,2785.390,71.630,23.620,22.480,116.750,190.650,69.630,198.090,58.360,102.880,67.930
130.730,86.960,159.840,48.480,108.500,46.030,80.190,122.540,66.400,178.000,66.760,56.960,90.870,47.260,41.260,58.080,25.080,186.230,26.360,2785.960,71.040,23.480,22.780,117.000,192.420,69.400,194.810,57.740,103.280,69.130
