7203.T,6758.T,9432.T,8306.T,9984.T,9433.T,9983.T,4568.T,8035.T,4063.T,6501.T,6367.T,8058.T,8316.T,8001.T,4502.T,4519.T,8031.T,6902.T,8766.T,7267.T,2914.T,3382.T,8411.T,6954.T,4503.T,6702.T,5108.T,7733.T,9022.T
1406.400,6122.000,2322.500,630.000,4826.500,2684.000,58580,1430.333,16015,10205,3424.000,12840,3123.000,4214.000,2065.000,4230.000,2540.000,1799.000,5316.000,1883.667,3269.000,2862.000,4881.000,1885.000,19595,1763.500,7073,4605.000,797.500,23475
1382.200,5954.000,2259.500,616.300,4752.500,2636.500,56980,1398.667,15600,9895,3293.000,12485,3045.000,4099.000,2018.000,4195.000,2503.333,1763.500,5223.000,1847.667,3191.000,2839.500,4786.000,1859.000,18590,1702.000,6966,4592.000,780.000,22540
1382.000,5935.000,2269.500,610.900,4796.500,2643.000,57550,1407.667,15320,9781,3273.000,12325,3079.000,4080.000,2065.000,4240.000,2466.667,1740.000,5126.000,1821.333,3115.000,2861.000,4793.000,1850.000,17955,1693.000,6835,4564.000,780.000,22740
1375.200,5776.000,2266.500,604.500,4560.000,2628.000,57300,1342.667,14625,9446,3209.000,12110,3036.000,4033.000,2022.500,4104.000,2416.667,1711.500,5114.000,1801.000,3079.000,2818.500,4825.000,1836.000,17750,1654.000,6770,4524.000,778.750,22705
1371.600,5886.000,2299.500,602.200,4464.500,2640.000,58990,1372.000,14525,9527,3222.000,12270,3060.000,4003.000,2027.000,3889.000,2433.333,1714.000,5149.000,1839.333,3086.000,2852.500,4910.000,1835.000,17730,1682.500,6981,4548.000,790.000,23210
1364.000,5694.000,2297.500,596.500,4308.000,2619.500,57550,1388.000,14065,9318,3254.000,12205,3034.000,3962.000,1988.500,3771.000,2400.000,1699.000,5093.000,1825.000,3033.000,2803.500,4867.000,1810.000,17390,1647.500,6930,4475.000,780.000,23035
1349.000,5735.000,2350.000,584.600,4413.500,2650.000,58150,1328.667,13885,9216,3200.000,11840,3048.000,3898.000,1993.000,3692.000,2390.000,1682.000,5072.000,1798.667,3021.000,2815.000,4933.000,1790.000,17020,1639.500,6944,4464.000,790.000,22700
1379.000,5941.000,2340.000,587.200,4513.000,2651.000,59820,1378.667,14080,9363,3300.000,12475,3126.000,3910.000,2009.500,3718.000,2446.667,1726.000,5192.000,1798.667,3082.000,2854.000,4919.000,1811.000,17225,1660.000,7170,4560.000,815.000,22920
1374.000,5954.000,2348.500,591.400,4454.500,2649.500,61220,1394.667,14115,9271,3283.000,12645,3156.000,3944.000,2013.000,3980.000,2446.667,1759.000,5238.000,1800.333,3114.000,2879.000,4905.000,1809.000,17470,1690.500,7195,4510.000,828.750,22935
1365.800,5855.000,2348.000,583.100,4248.000,2639.000,60770,1388.667,13345,9047,3252.000,12395,3146.000,3917.000,1996.000,3981.000,2413.333,1752.000,5132.000,1781.000,3054.000,2858.500,4873.000,1793.000,16905,1656.000,7106,4506.000,805.000,22895
