MC.PA,OR.PA,RMS.PA,TTE.PA,SAN.PA,AIR.PA,EL.PA,SU.PA,AI.PA,KER.PA,BNP.PA,CS.PA,DG.PA,SAF.PA,RI.PA,DSY.PA,STLA.PA,ENGI.PA,STM.PA,BN.PA,CAP.PA,ACA.PA,HO.PA,ORA.PA,SGO.PA,LR.PA,ML.PA,GLE.PA,VIE.PA,PUB.PA
584.7673950195312,319.642578125,1169.2685546875,36.79806137084961,78.37823486328125,99.90926361083984,136.4247283935547,123.27149200439453,113.85102081298828,545.8890991210938,37.521820068359375,18.32940101623535,79.20464324951172,101.15233612060547,176.1262969970703,42.77915573120117,,8.79257583618164,,46.904258728027344,173.50363159179688,8.168614387512207,101.259765625,8.832679748535156,49.84891891479492,77.08975219726562,26.43170928955078,19.510305404663086,25.12489128112793,48.509307861328125
596.1675415039062,323.1194763183594,1207.8211669921875,39.8057975769043,77.91802978515625,105.18379211425781,137.06265258789062,127.55484771728516,114.51277160644531,552.8499145507812,38.311588287353516,18.404359817504883,80.5812759399414,105.6003189086914,174.57211303710938,43.22712707519531,,8.573933601379395,,46.08152770996094,175.40504455566406,8.292194366455078,96.29972076416016,8.842501640319824,48.96446228027344,78.32302856445312,26.442806243896484,19.5606746673584,23.869487762451172,47.09138870239258
576.9182739257812,321.0797119140625,1180.0045166015625,38.31230545043945,76.8101577758789,100.7148208618164,134.69320678710938,126.14559936523438,113.51245880126953,539.2852172851562,38.921173095703125,18.534549713134766,79.41243743896484,101.21086120605469,173.56646728515625,42.40502166748047,,8.037263870239258,,44.83868408203125,174.83462524414062,8.310730934143066,99.9495620727539,8.775390625,48.517669677734375,77.23699951171875,26.021141052246094,19.413761138916016,23.220720291137695,43.938621520996094
539.9146728515625,311.90069580078125,1132.667724609375,36.92251968383789,74.83301544189453,93.11949920654297,130.04547119140625,120.17486572265625,110.2191162109375,498.50189208984375,36.18764114379883,17.56008529663086,74.65911865234375,94.616943359375,166.892578125,41.4893798828125,,7.618434906005859,,43.02693557739258,162.80821228027344,7.697465896606445,100.74504852294922,8.536402702331543,45.79134750366211,75.24901580810547,24.156938552856445,17.466089248657227,21.291278839111328,42.120357513427734
530.5703735351562,316.9537658691406,1116.5635986328125,37.246116638183594,75.63409423828125,90.1369857788086,128.93365478515625,121.12055206298828,108.63399505615234,483.6878662109375,34.734615325927734,17.532470703125,71.04002380371094,92.96846008300781,162.1842803955078,42.7200813293457,,7.169790744781494,,42.05541229248047,162.28530883789062,7.5159592628479,107.4364242553711,8.407089233398438,44.478328704833984,73.88687133789062,23.302513122558594,16.73151397705078,20.878429412841797,41.21955871582031
514.0309448242188,304.39056396484375,1054.5863037109375,37.94723129272461,78.21630859375,90.27125549316406,130.5193634033203,124.2728042602539,105.89468383789062,477.6195068359375,35.85792922973633,17.804689407348633,73.12662506103516,93.10501098632812,157.93313598632812,39.53995132446289,,7.442383766174316,,41.556522369384766,158.3398895263672,7.588562488555908,108.27869415283203,8.403815269470215,46.01018142700195,73.99732208251953,23.213743209838867,17.68855857849121,21.645151138305664,41.70332336425781
563.088623046875,330.07330322265625,1142.427978515625,38.353782653808594,80.35536193847656,98.91189575195312,141.91087341308594,134.6752166748047,112.32746124267578,518.3135375976562,39.42723846435547,19.20523452758789,78.55528259277344,101.91317749023438,169.08673095703125,41.41061782836914,,7.984732627868652,,44.72490310668945,170.50892639160156,8.276745796203613,103.6929931640625,8.574051856994629,50.085994720458984,78.12054443359375,25.48851203918457,19.728580474853516,24.299190521240234,45.03959274291992
549.3525390625,314.12591552734375,1097.5311279296875,37.91818618774414,79.35828399658203,95.69923400878906,134.76611328125,129.27932739257812,109.23418426513672,492.4334716796875,37.8361930847168,18.648962020874023,76.06172943115234,98.77228546142578,163.37278747558594,40.80018615722656,,7.859793186187744,,44.1822509765625,166.13568115234375,7.660392761230469,104.6756362915039,8.623157501220703,49.119468688964844,75.9300765991211,24.84491729736328,18.60782814025879,23.085914611816406,44.9061393737793
555.8935546875,313.5696105957031,1098.0191650390625,37.82691955566406,79.78438568115234,99.31468200683594,138.64834594726562,131.1150360107422,110.61923217773438,497.163330078125,37.594661712646484,19.015865325927734,76.58988189697266,101.58152770996094,162.32144165039062,40.913414001464844,,7.858373165130615,,44.67238998413086,166.37335205078125,7.695922374725342,104.8628158569336,8.58714771270752,49.87627410888672,77.05292510986328,25.033557891845703,18.641408920288086,22.976383209228516,46.1572380065918
559.4443969726562,320.10614013671875,1121.9315185546875,37.95967102050781,79.221923828125,100.273681640625,144.42611694335938,135.26856994628906,113.77407836914062,503.8564147949219,39.11286163330078,19.62737274169922,79.19598388671875,102.75204467773438,163.78419494628906,41.2776985168457,,8.11251163482666,,46.47538757324219,169.5106658935547,7.770070552825928,102.61676788330078,8.673901557922363,50.81544494628906,79.39065551757812,25.66605567932129,19.371788024902344,23.60829734802246,45.70684051513672
551.3147583007812,318.9471740722656,1086.795166015625,37.96381759643555,80.09117889404297,98.8927230834961,142.0566864013672,135.71360778808594,113.9125747680664,497.2525329589844,39.32755661010742,19.77729034423828,79.06611633300781,100.64511108398438,162.09288024902344,41.632144927978516,,8.187758445739746,,46.17780303955078,170.60398864746094,7.841128349304199,104.30130004882812,8.732830047607422,50.35041809082031,79.05931854248047,26.121007919311523,19.350797653198242,23.894763946533203,46.27400588989258
