country,dataset_name,cleaned_filename,data_type,total_fs,trend_value,risk,expected_return
US,H2H,2013_Q3-Q4,Train,10000000.0,0.33338614667889327,45162.39969582088,15056.518409361744
US,H2H,2013_Q3-Q4,Train,10017279.329,0.33338614667889327,45162.39969582088,15056.518409361744
US,H2H,2013_Q3-Q4,Train,10015405.826000005,0.33338614667889327,45162.39969582088,15056.518409361744
US,H2H,2013_Q3-Q4,Train,10015405.826000005,0.33338614667889327,45162.39969582088,15056.518409361744
US,H2H,2013_Q3-Q4,Train,10040054.436999999,0.33338614667889327,45162.39969582088,15056.518409361744
US,H2H,2013_Q3-Q4,Train,10070549.501999997,0.33338614667889327,45162.39969582088,15056.518409361744
US,H2H,2013_Q3-Q4,Train,10112677.931000002,0.33338614667889327,45162.39969582088,15056.518409361744
US,H2H,2013_Q3-Q4,Train,10109792.019000001,0.33338614667889327,45162.39969582088,15056.518409361744
US,H2H,2013_Q3-Q4,Train,10159311.295000002,0.33338614667889327,45162.39969582088,15056.518409361744
US,H2H,2013_Q3-Q4,Train,10154393.523000002,0.33338614667889327,45162.39969582088,15056.518409361744
US,H2H,2013_Q3-Q4,Train,10183665.708999999,0.33338614667889327,45162.39969582088,15056.518409361744
US,H2H,2013_Q3-Q4,Train,10133090.701000001,0.33338614667889327,45162.39969582088,15056.518409361744
US,H2H,2013_Q3-Q4,Train,10189280.306999996,0.33338614667889327,45162.39969582088,15056.518409361744
US,H2H,2013_Q3-Q4,Train,10295643.454999998,0.33338614667889327,45162.39969582088,15056.518409361744
US,H2H,2013_Q3-Q4,Train,10189317.497999996,0.33338614667889327,45162.39969582088,15056.518409361744
US,H2H,2013_Q3-Q4,Train,10240882.939999998,0.33338614667889327,45162.39969582088,15056.518409361744
US,H2H,2013_Q3-Q4,Train,10267488.200999998,0.33338614667889327,45162.39969582088,15056.518409361744
US,H2H,2013_Q3-Q4,Train,10308021.652999997,0.33338614667889327,45162.39969582088,15056.518409361744
US,H2H,2013_Q3-Q4,Train,10309093.413999997,0.33338614667889327,45162.39969582088,15056.518409361744
US,H2H,2013_Q3-Q4,Train,10266295.179000001,0.33338614667889327,45162.39969582088,15056.518409361744
US,H2H,2013_Q3-Q4,Train,10255885.143,0.33338614667889327,45162.39969582088,15056.518409361744
US,H2H,2013_Q3-Q4,Train,10282777.685000002,0.33338614667889327,45162.39969582088,15056.518409361744
US,H2H,2013_Q3-Q4,Train,10342347.173,0.33338614667889327,45162.39969582088,15056.518409361744
US,H2H,2013_Q3-Q4,Train,10343034.898999996,0.33338614667889327,45162.39969582088,15056.518409361744
US,H2H,2013_Q3-Q4,Train,10397680.306000002,0.33338614667889327,45162.39969582088,15056.518409361744
US,H2H,2013_Q3-Q4,Train,10424301.868999999,0.33338614667889327,45162.39969582088,15056.518409361744
US,H2H,2013_Q3-Q4,Train,10435363.559,0.33338614667889327,45162.39969582088,15056.518409361744
US,H2H,2013_Q3-Q4,Train,10428463.825,0.33338614667889327,45162.39969582088,15056.518409361744
US,H2H,2013_Q3-Q4,Train,10461496.969999999,0.33338614667889327,45162.39969582088,15056.518409361744
US,H2H,2013_Q3-Q4,Train,10459068.837000005,0.33338614667889327,45162.39969582088,15056.518409361744
US,H2H,2013_Q3-Q4,Train,10398804.294,0.33338614667889327,45162.39969582088,15056.518409361744
US,H2H,2013_Q3-Q4,Train,10481167.57,0.33338614667889327,45162.39969582088,15056.518409361744
US,H2H,2013_Q3-Q4,Train,10482706.039,0.33338614667889327,45162.39969582088,15056.518409361744
US,H2H,2013_Q3-Q4,Train,10473900.013,0.33338614667889327,45162.39969582088,15056.518409361744
US,H2H,2013_Q3-Q4,Train,10544640.865000002,0.33338614667889327,45162.39969582088,15056.518409361744
US,H2H,2013_Q3-Q4,Train,10512252.277000003,0.33338614667889327,45162.39969582088,15056.518409361744
US,H2H,2013_Q3-Q4,Train,10511928.869999997,0.33338614667889327,45162.39969582088,15056.518409361744
US,H2H,2013_Q3-Q4,Train,10538840.913999997,0.33338614667889327,45162.39969582088,15056.518409361744
US,H2H,2013_Q3-Q4,Train,10596612.651999995,0.33338614667889327,45162.39969582088,15056.518409361744
US,H2H,2013_Q3-Q4,Train,10681494.640999999,0.33338614667889327,45162.39969582088,15056.518409361744
