country,dataset_name,cleaned_filename,data_type,total_fs,trend_value,risk,expected_return
US,H2M,2014_04-09,Train,10000000.0,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,10035899.524000004,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,10005745.884000003,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,10035734.906,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,10053191.152000003,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,10039912.316,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,10026344.561999999,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,10140366.498,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,10127996.630000003,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,10058845.398000002,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,10085094.296,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,10112715.518,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,10164830.91,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,10164830.91,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,10193255.822000004,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,10198189.736000001,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,10142073.897999998,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,10228606.254,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,10237139.708,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,10241875.350000001,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,10221943.982,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,10238663.662,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,10249944.456,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,10240577.516000003,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,10248137.060000002,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,10261061.956,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,10274924.452,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,10304122.302000001,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,10267283.754,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,10288144.833999999,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,10287103.958000004,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,10320896.292,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,10355578.895999998,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,10361666.101999998,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,10383677.979999997,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,10430713.943999998,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,10395440.296000004,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,10420713.559999999,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,10432640.380000003,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,10432640.380000003,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,10440789.434,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,10488727.008000001,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,10486999.894000001,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,10461275.993999999,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,10479131.934,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,10498121.776,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,10534536.746,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,10468925.552000001,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,10468244.368,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,10501035.832000002,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,10525875.974,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,10564129.491999999,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,10558306.39,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,10518940.311999999,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,10592944.542000003,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,10602509.292,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,10600726.101999998,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,10605431.561999999,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,10609064.263999999,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,10618025.923999999,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,10642175.872000001,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,10696180.782000002,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,10712741.872000001,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,10695555.252000004,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,10722174.61,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,10706510.022,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,10698995.342,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,10707605.41,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,10707605.41,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,10763183.333999999,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,10764921.354000002,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,10721418.130000003,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,10722657.806000002,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,10765113.982,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,10782887.550000004,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,10773520.152000003,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,10736744.281999998,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,10864338.193999998,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,10820532.850000001,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,10841064.802000001,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,10810122.132,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,10917835.404,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,10921333.630000003,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,10936682.21,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,10951610.522,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,10936624.741999999,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,10930832.61,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,10932624.921999998,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,10993975.913999997,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,10971373.18,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,11028090.962000001,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,11033969.892,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,11043738.192000002,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,10993498.362,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,11007592.054000001,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,11027416.224,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,11037830.802000001,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,11058710.202,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,11073198.702,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,11152315.592,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,11142501.670000002,0.324178998627234,32976.12478059053,10690.167109978554
US,H2M,2014_04-09,Train,11129736.344,0.324178998627234,32976.12478059053,10690.167109978554
