country,dataset_name,cleaned_filename,data_type,total_fs,trend_value,risk,expected_return
US,Y2Y,2022,Train,10000000.0,0.14184295059357785,89507.03045958074,12695.941299256177
US,Y2Y,2022,Train,9986773.790000003,0.14184295059357785,89507.03045958074,12695.941299256177
US,Y2Y,2022,Train,10015230.3,0.14184295059357785,89507.03045958074,12695.941299256177
US,Y2Y,2022,Train,10001101.630000003,0.14184295059357785,89507.03045958074,12695.941299256177
US,Y2Y,2022,Train,9967470.11,0.14184295059357785,89507.03045958074,12695.941299256177
US,Y2Y,2022,Train,9972236.229999997,0.14184295059357785,89507.03045958074,12695.941299256177
US,Y2Y,2022,Train,10007175.939999998,0.14184295059357785,89507.03045958074,12695.941299256177
US,Y2Y,2022,Train,10023466.02,0.14184295059357785,89507.03045958074,12695.941299256177
US,Y2Y,2022,Train,10057682.220000003,0.14184295059357785,89507.03045958074,12695.941299256177
US,Y2Y,2022,Train,10039940.549999997,0.14184295059357785,89507.03045958074,12695.941299256177
US,Y2Y,2022,Train,10039940.549999997,0.14184295059357785,89507.03045958074,12695.941299256177
US,Y2Y,2022,Train,10058800.93,0.14184295059357785,89507.03045958074,12695.941299256177
US,Y2Y,2022,Train,10015001.189999998,0.14184295059357785,89507.03045958074,12695.941299256177
US,Y2Y,2022,Train,10069599.759999998,0.14184295059357785,89507.03045958074,12695.941299256177
US,Y2Y,2022,Train,10134654.27,0.14184295059357785,89507.03045958074,12695.941299256177
US,Y2Y,2022,Train,10175872.36,0.14184295059357785,89507.03045958074,12695.941299256177
US,Y2Y,2022,Train,10253018.400000002,0.14184295059357785,89507.03045958074,12695.941299256177
US,Y2Y,2022,Train,10275236.530000001,0.14184295059357785,89507.03045958074,12695.941299256177
US,Y2Y,2022,Train,10359925.07,0.14184295059357785,89507.03045958074,12695.941299256177
US,Y2Y,2022,Train,10310454.530000001,0.14184295059357785,89507.03045958074,12695.941299256177
US,Y2Y,2022,Train,10401144.39,0.14184295059357785,89507.03045958074,12695.941299256177
US,Y2Y,2022,Train,10432092.34,0.14184295059357785,89507.03045958074,12695.941299256177
US,Y2Y,2022,Train,10431071.689999998,0.14184295059357785,89507.03045958074,12695.941299256177
US,Y2Y,2022,Train,10394672.23,0.14184295059357785,89507.03045958074,12695.941299256177
US,Y2Y,2022,Train,10470213.620000001,0.14184295059357785,89507.03045958074,12695.941299256177
US,Y2Y,2022,Train,10493639.57,0.14184295059357785,89507.03045958074,12695.941299256177
US,Y2Y,2022,Train,10487562.940000001,0.14184295059357785,89507.03045958074,12695.941299256177
US,Y2Y,2022,Train,10428461.969999999,0.14184295059357785,89507.03045958074,12695.941299256177
US,Y2Y,2022,Train,10415800.469999999,0.14184295059357785,89507.03045958074,12695.941299256177
US,Y2Y,2022,Train,10430106.280000001,0.14184295059357785,89507.03045958074,12695.941299256177
US,Y2Y,2022,Train,10396393.5,0.14184295059357785,89507.03045958074,12695.941299256177
US,Y2Y,2022,Train,10367402.990000002,0.14184295059357785,89507.03045958074,12695.941299256177
US,Y2Y,2022,Train,10356396.43,0.14184295059357785,89507.03045958074,12695.941299256177
US,Y2Y,2022,Train,10364964.46,0.14184295059357785,89507.03045958074,12695.941299256177
US,Y2Y,2022,Train,10403653.959999997,0.14184295059357785,89507.03045958074,12695.941299256177
US,Y2Y,2022,Train,10403653.959999997,0.14184295059357785,89507.03045958074,12695.941299256177
US,Y2Y,2022,Train,10330329.729999997,0.14184295059357785,89507.03045958074,12695.941299256177
US,Y2Y,2022,Train,10412849.09,0.14184295059357785,89507.03045958074,12695.941299256177
US,Y2Y,2022,Train,10362853.75,0.14184295059357785,89507.03045958074,12695.941299256177
US,Y2Y,2022,Train,10374153.630000003,0.14184295059357785,89507.03045958074,12695.941299256177
US,Y2Y,2022,Train,10537181.580000002,0.14184295059357785,89507.03045958074,12695.941299256177
US,Y2Y,2022,Train,10656398.579999998,0.14184295059357785,89507.03045958074,12695.941299256177
US,Y2Y,2022,Train,10602388.329999998,0.14184295059357785,89507.03045958074,12695.941299256177
US,Y2Y,2022,Train,10562433.05,0.14184295059357785,89507.03045958074,12695.941299256177
US,Y2Y,2022,Train,10605084.54,0.14184295059357785,89507.03045958074,12695.941299256177
US,Y2Y,2022,Train,10631460.27,0.14184295059357785,89507.03045958074,12695.941299256177
US,Y2Y,2022,Train,10660605.280000001,0.14184295059357785,89507.03045958074,12695.941299256177
US,Y2Y,2022,Train,10537111.219999999,0.14184295059357785,89507.03045958074,12695.941299256177
US,Y2Y,2022,Train,10680615.39,0.14184295059357785,89507.03045958074,12695.941299256177
US,Y2Y,2022,Train,10705292.350000001,0.14184295059357785,89507.03045958074,12695.941299256177
US,Y2Y,2022,Train,10678136.68,0.14184295059357785,89507.03045958074,12695.941299256177
US,Y2Y,2022,Train,10602057.989999998,0.14184295059357785,89507.03045958074,12695.941299256177
US,Y2Y,2022,Train,10640681.769999996,0.14184295059357785,89507.03045958074,12695.941299256177
US,Y2Y,2022,Train,10646579.480000004,0.14184295059357785,89507.03045958074,12695.941299256177
US,Y2Y,2022,Train,10725984.829999998,0.14184295059357785,89507.03045958074,12695.941299256177
US,Y2Y,2022,Train,10651946.36,0.14184295059357785,89507.03045958074,12695.941299256177
US,Y2Y,2022,Train,10660003.809999999,0.14184295059357785,89507.03045958074,12695.941299256177
US,Y2Y,2022,Train,10698679.510000002,0.14184295059357785,89507.03045958074,12695.941299256177
US,Y2Y,2022,Train,10669577.14,0.14184295059357785,89507.03045958074,12695.941299256177
US,Y2Y,2022,Train,10681171.68,0.14184295059357785,89507.03045958074,12695.941299256177
US,Y2Y,2022,Train,10671470.629999999,0.14184295059357785,89507.03045958074,12695.941299256177
US,Y2Y,2022,Train,10604257.939999998,0.14184295059357785,89507.03045958074,12695.941299256177
US,Y2Y,2022,Train,10678173.940000001,0.14184295059357785,89507.03045958074,12695.941299256177
US,Y2Y,2022,Train,10731074.719999999,0.14184295059357785,89507.03045958074,12695.941299256177
US,Y2Y,2022,Train,10792827.61,0.14184295059357785,89507.03045958074,12695.941299256177
US,Y2Y,2022,Train,10768832.530000001,0.14184295059357785,89507.03045958074,12695.941299256177
US,Y2Y,2022,Train,10799465.09,0.14184295059357785,89507.03045958074,12695.941299256177
US,Y2Y,2022,Train,10867247.36,0.14184295059357785,89507.03045958074,12695.941299256177
US,Y2Y,2022,Train,10962347.199999996,0.14184295059357785,89507.03045958074,12695.941299256177
US,Y2Y,2022,Train,10990882.620000001,0.14184295059357785,89507.03045958074,12695.941299256177
US,Y2Y,2022,Train,10964747.989999998,0.14184295059357785,89507.03045958074,12695.941299256177
US,Y2Y,2022,Train,11039626.29,0.14184295059357785,89507.03045958074,12695.941299256177
US,Y2Y,2022,Train,11119053.449999996,0.14184295059357785,89507.03045958074,12695.941299256177
US,Y2Y,2022,Train,11129661.170000002,0.14184295059357785,89507.03045958074,12695.941299256177
US,Y2Y,2022,Train,11129661.170000002,0.14184295059357785,89507.03045958074,12695.941299256177
US,Y2Y,2022,Train,11122663.11,0.14184295059357785,89507.03045958074,12695.941299256177
US,Y2Y,2022,Train,11039775.61,0.14184295059357785,89507.03045958074,12695.941299256177
US,Y2Y,2022,Train,11032162.990000002,0.14184295059357785,89507.03045958074,12695.941299256177
US,Y2Y,2022,Train,10946652.14,0.14184295059357785,89507.03045958074,12695.941299256177
